Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z
0.03,4.49658,0.681476,8.411,0.0423446,0.00411465,0.12634,0.375087,9.43674,0.587518,-0.00666325,-0.179384,-0.0226542,0.792908,-9.87043,-1.21649,-0.0703856,0.252398,0.0765997,9.50793,-0.697436,2.95491,0.0420102,-0.0625681,-0.0349478,5.12155,1.25509,8.28688,-0.213114,0.073126,0.113043,1.4202,-9.57251,-2.18034,-0.085923,0.644197,0.31396,-1.14606,9.2888,-1.35335,0.13244,0.422042,-0.259741
0.031,4.51605,0.677622,8.39576,0.0385248,0.00201683,0.130673,0.355701,9.4223,0.590804,-0.00581874,-0.183139,-0.0276846,0.751309,-9.80999,-1.20712,-0.0655755,0.25209,0.0768814,9.49839,-0.696961,2.96598,0.03868,-0.0602515,-0.0376686,5.1178,1.25531,8.29093,-0.221276,0.0776199,0.11876,1.41329,-9.5639,-2.1789,-0.0940173,0.667568,0.314794,-1.21183,9.31611,-1.37195,0.129998,0.422284,-0.252606
0.032,4.54034,0.703945,8.39407,0.0371321,0.00147571,0.13452,0.35782,9.4119,0.574366,-0.00506705,-0.186526,-0.0339636,0.64237,-9.83926,-1.21744,-0.0617028,0.251046,0.0778031,9.49265,-0.685708,2.94785,0.0347885,-0.0545118,-0.0389481,5.12522,1.20897,8.2696,-0.227921,0.0786705,0.122103,1.37617,-9.54262,-2.17878,-0.104154,0.686993,0.313607,-1.24443,9.31711,-1.39132,0.125288,0.416821,-0.244642
0.033,4.56523,0.73404,8.39407,0.0360426,0.00112918,0.138306,0.362627,9.40201,0.555462,-0.00432697,-0.189867,-0.0403986,0.525014,-9.87974,-1.23023,-0.0579473,0.24991,0.0788049,9.48737,-0.673106,2.92606,0.0308268,-0.0483443,-0.0400473,5.13403,1.1568,8.24511,-0.234377,0.0792907,0.125148,1.33526,-9.51975,-2.17883,-0.114547,0.705925,0.312167,-1.27288,9.31483,-1.41078,0.120296,0.410644,-0.236573
0.034,4.59012,0.764135,8.39407,0.0349532,0.000782644,0.142092,0.367435,9.39212,0.536558,-0.00358689,-0.193208,-0.0468337,0.407657,-9.92023,-1.24301,-0.0541918,0.248774,0.0798067,9.4821,-0.660505,2.90428,0.0268651,-0.0421767,-0.0411466,5.14285,1.10464,8.22061,-0.240833,0.0799108,0.128194,1.29436,-9.49689,-2.17888,-0.124939,0.724857,0.310727,-1.30134,9.31254,-1.43025,0.115303,0.404467,-0.228504
0.035,4.61502,0.79423,8.39407,0.0338638,0.00043611,0.145878,0.372242,9.38223,0.517654,-0.0028468,-0.196549,-0.0532687,0.2903,-9.96072,-1.2558,-0.0504363,0.247638,0.0808084,9.47683,-0.647904,2.8825,0.0229034,-0.0360091,-0.0422459,5.15166,1.05248,8.19612,-0.247289,0.080531,0.131239,1.25346,-9.47403,-2.17892,-0.135331,0.743789,0.309287,-1.3298,9.31025,-1.44971,0.11031,0.39829,-0.220436
0.036,4.65617,0.808945,8.39277,0.0316675,-0.00150497,0.149691,0.369531,9.39319,0.495708,-0.00258098,-0.198804,-0.0589098,0.19862,-9.97164,-1.2407,-0.0488546,0.248615,0.0820449,9.46437,-0.661566,2.86662,0.0191177,-0.0299803,-0.0422962,5.16897,1.01136,8.18614,-0.251689,0.0814784,0.134762,1.21181,-9.45749,-2.18079,-0.146723,0.761152,0.306846,-1.34586,9.30143,-1.46825,0.104873,0.388864,-0.212803
0.037,4.71767,0.804434,8.38985,0.0280876,-0.00543922,0.153537,0.357424,9.43021,0.469959,-0.00290798,-0.199703,-0.0635585,0.139035,-9.94562,-1.19074,-0.0499902,0.252235,0.0835749,9.44295,-0.708057,2.85811,0.0155518,-0.024125,-0.0410352,5.19689,0.984047,8.19431,-0.253519,0.082835,0.138879,1.16924,-9.44885,-2.18492,-0.159363,0.776555,0.303154,-1.34643,9.28446,-1.48562,0.0988794,0.375375,-0.205714
0.038,4.77916,0.799924,8.38693,0.0245077,-0.00937348,0.157383,0.345316,9.46724,0.444209,-0.00323497,-0.200601,-0.0682072,0.079451,-9.91961,-1.14078,-0.0511257,0.255855,0.0851049,9.42152,-0.754549,2.8496,0.0119859,-0.0182696,-0.0397742,5.22481,0.956733,8.20247,-0.255349,0.0841915,0.142997,1.12666,-9.44021,-2.18904,-0.172003,0.791958,0.299463,-1.347,9.26749,-1.503,0.0928861,0.361886,-0.198625
0.039,4.84065,0.795413,8.38401,0.0209277,-0.0133077,0.161229,0.333208,9.50426,0.41846,-0.00356197,-0.2015,-0.0728559,0.0198667,-9.89359,-1.09083,-0.0522612,0.259475,0.0866348,9.4001,-0.80104,2.84109,0.00842006,-0.0124143,-0.0385132,5.25274,0.92942,8.21064,-0.25718,0.0855481,0.147114,1.08408,-9.43158,-2.19317,-0.184643,0.807362,0.295771,-1.34758,9.25053,-1.52037,0.0868928,0.348397,-0.191536
