Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z
0.039,4.67311,-0.953619,8.19343,0.644429,0.124893,-0.174537,0.889664,9.51207,-0.457192,-0.191184,-0.516077,-0.0574984,1.26843,-10.0314,-0.735432,-0.187192,0.172263,-0.0751191,9.45735,-1.67461,3.04437,0.226165,0.0645895,0.134847,4.88869,0.83591,8.43404,0.0564613,0.0150562,-0.0539855,2.55913,-9.49357,-2.2513,0.0262736,0.01394,0.130559,0.985679,9.3841,-3.14505,0.268979,-0.465349,0.110184
0.04,4.6471,-0.968115,8.20542,0.658439,0.126283,-0.170602,0.940759,9.49593,-0.455339,-0.190315,-0.514402,-0.0603783,1.17953,-10.0458,-0.70622,-0.18565,0.178344,-0.072035,9.51692,-1.68426,3.07343,0.220808,0.0672127,0.135942,4.98265,0.793248,8.4235,0.0554486,0.0159064,-0.0562735,2.58849,-9.51199,-2.25531,0.0246257,0.0282324,0.130246,0.998099,9.38214,-3.1235,0.267315,-0.449764,0.106309
0.041,4.63922,-0.951381,8.20845,0.670329,0.127087,-0.166193,0.973059,9.50263,-0.432863,-0.188182,-0.511646,-0.0647318,1.10551,-10.0622,-0.670774,-0.183184,0.18218,-0.0692526,9.56282,-1.70183,3.1125,0.217905,0.0645618,0.137272,5.04345,0.744052,8.39317,0.0539951,0.0185578,-0.0560725,2.63738,-9.49868,-2.24945,0.0196798,0.0374508,0.131389,0.976051,9.38512,-3.10315,0.260116,-0.426224,0.101181
0.042,4.63133,-0.934647,8.21148,0.682219,0.127892,-0.161784,1.00536,9.50932,-0.410388,-0.18605,-0.508891,-0.0690854,1.03149,-10.0787,-0.635328,-0.180717,0.186016,-0.0664702,9.60872,-1.71941,3.15156,0.215002,0.0619109,0.138601,5.10425,0.694855,8.36284,0.0525417,0.0212091,-0.0558715,2.68628,-9.48536,-2.24359,0.0147339,0.0466693,0.132531,0.954002,9.38811,-3.0828,0.252917,-0.402684,0.096053
0.043,4.62345,-0.917914,8.21451,0.694109,0.128696,-0.157375,1.03766,9.51601,-0.387912,-0.183917,-0.506136,-0.073439,0.957479,-10.0951,-0.599882,-0.178251,0.189853,-0.0636878,9.65462,-1.73698,3.19063,0.212099,0.0592599,0.13993,5.16505,0.645658,8.33252,0.0510882,0.0238605,-0.0556705,2.73518,-9.47205,-2.23774,0.00978805,0.0558878,0.133674,0.931954,9.39109,-3.06245,0.245718,-0.379143,0.0909249
0.044,4.61556,-0.90118,8.21753,0.705998,0.1295,-0.152966,1.06996,9.52271,-0.365436,-0.181785,-0.50338,-0.0777926,0.883463,-10.1116,-0.564436,-0.175785,0.193689,-0.0609054,9.70053,-1.75455,3.2297,0.209196,0.056609,0.14126,5.22585,0.596462,8.30219,0.0496348,0.0265119,-0.0554695,2.78408,-9.45873,-2.23188,0.00484218,0.0651063,0.134817,0.909905,9.39407,-3.0421,0.238519,-0.355603,0.0857969
0.045,4.60826,-0.873416,8.21792,0.717407,0.129576,-0.149122,1.09578,9.52205,-0.354466,-0.181475,-0.499878,-0.0815932,0.829083,-10.114,-0.537036,-0.173275,0.196066,-0.0571429,9.75367,-1.74741,3.26276,0.206511,0.0525491,0.142035,5.24632,0.555858,8.26954,0.0470906,0.0281156,-0.0556421,2.81464,-9.4295,-2.20895,-0.000399624,0.0713127,0.136102,0.909065,9.40855,-3.02098,0.227258,-0.329222,0.0789595
0.046,4.60143,-0.836827,8.21618,0.72843,0.12907,-0.14573,1.11642,9.51552,-0.352701,-0.182623,-0.495777,-0.0849514,0.790413,-10.1053,-0.516073,-0.17073,0.197276,-0.0525964,9.8126,-1.72049,3.29102,0.204001,0.0473621,0.142368,5.23452,0.522129,8.23503,0.0436737,0.0288812,-0.0561135,2.83053,-9.38752,-2.17237,-0.00587818,0.0751095,0.137502,0.925191,9.43223,-2.99924,0.212747,-0.300569,0.0707546
0.047,4.5946,-0.800239,8.21445,0.739453,0.128563,-0.142339,1.13706,9.50899,-0.350935,-0.183771,-0.491677,-0.0883096,0.751743,-10.0965,-0.49511,-0.168185,0.198487,-0.0480499,9.87153,-1.69357,3.31928,0.20149,0.042175,0.142701,5.22272,0.488399,8.20052,0.0402569,0.0296467,-0.0565849,2.84643,-9.34555,-2.13578,-0.0113567,0.0789062,0.138902,0.941317,9.45592,-2.97749,0.198236,-0.271915,0.0625497
0.048,4.58777,-0.76365,8.21272,0.750476,0.128056,-0.138947,1.1577,9.50246,-0.349169,-0.18492,-0.487577,-0.0916678,0.713073,-10.0878,-0.474147,-0.16564,0.199697,-0.0435035,9.93046,-1.66665,3.34754,0.19898,0.036988,0.143035,5.21093,0.45467,8.16602,0.0368401,0.0304123,-0.0570563,2.86232,-9.30357,-2.0992,-0.0168353,0.082703,0.140302,0.957444,9.4796,-2.95575,0.183725,-0.243262,0.0543448
