Time,RTibialisAnterior,RSoleus,RBicepsFemoris,RGastrocnemiusMedialis,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.132,0.0592267,0.0209021,0.0677045,0.0502609,0.0486881,0.0529984,0.0497214,0.0605551,0.0583322,0.0699149,0.0587604,0.0865878,0.0480963,0.0453439,0.0429041,0.0700574
0.133,0.0519025,0.0263953,0.0719769,0.0780319,0.0306827,0.0618485,0.0658957,0.0379721,0.0717599,0.0555716,0.0590656,0.0707187,0.0508429,0.0514474,0.0624353,0.0517468
0.134,0.0619733,0.0425696,0.0570233,0.0630783,0.0435001,0.0542191,0.0509421,0.0565878,0.0693185,0.0299368,0.0670001,0.0771274,0.0404669,0.0514474,0.0450403,0.041676
0.135,0.0509869,0.0205969,0.0643475,0.0545334,0.0496036,0.0404861,0.0448386,0.0575034,0.0635202,0.0375662,0.0584552,0.0609531,0.054505,0.0538889,0.0548059,0.0587659
0.136,0.0515973,0.0324988,0.0570233,0.0697922,0.0251895,0.0658157,0.0433127,0.0599448,0.056196,0.0369559,0.0779864,0.059122,0.0920416,0.0407663,0.0493127,0.0612073
0.137,0.0549542,0.0483679,0.051225,0.0212692,0.0535709,0.0563553,0.0671164,0.0562827,0.0497873,0.0628958,0.0718829,0.0655307,0.0557257,0.0499216,0.0581628,0.0514417
0.138,0.0488507,0.0791907,0.0680096,0.0661301,0.0505191,0.0554398,0.0308005,0.0584189,0.066572,0.0299368,0.0676105,0.0554599,0.0651862,0.0413766,0.0630457,0.0477795
0.139,0.0378644,0.0767493,0.0542767,0.0636887,0.0511295,0.0529984,0.0564352,0.0575034,0.0946481,0.0149832,0.0370929,0.0612582,0.0572516,0.0636545,0.0432092,0.0563245
0.14,0.0781476,0.0697302,0.046037,0.0432419,0.0517398,0.0600174,0.0344626,0.0486533,0.0430734,0.0329886,0.0575397,0.0588168,0.0484015,0.0636545,0.0578577,0.0465588
0.141,0.070213,0.0324988,0.0326093,0.0404953,0.0541812,0.0462845,0.0414816,0.0486533,0.0433786,0.0516043,0.0828693,0.0344028,0.0682379,0.0532785,0.058468,0.0483899
0.142,0.0729596,0.0370764,0.0448163,0.0514816,0.0257999,0.059407,0.0396506,0.0382773,0.00462128,0.0534354,0.0706622,0.0307407,0.0523688,0.0517526,0.0465662,0.0633435
0.143,0.0610577,0.0749182,0.0701459,0.0398849,0.0682193,0.0597122,0.0747458,0.0584189,0.056196,0.045806,0.0746295,0.0386752,0.0569464,0.0566354,0.0569421,0.0789075
