Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.039,2.2489,8.67213,-2.75819,-0.498486,-1.72701,0.322004,0.570578,-13.8579,-11.5965,1.72264,7.07353,-3.75943,13.7803,15.8896,5.10201,-3.86344,3.62152,-7.16765,5.36051,-0.00257175,8.18538,-0.288234,-0.213885,0.0205796,7.75613,-0.839117,3.81289,-2.09315,0.395817,-1.42659,1.25751,9.32946,-1.68705,-0.335184,-0.521653,0.418893,-1.77397,-8.33245,-1.32787,-0.112309,7.94668,-0.551028
0.04,2.30064,8.66667,-2.8188,-0.500776,-1.7234,0.322315,0.562222,-13.8354,-11.7531,1.6965,7.16517,-3.73975,13.9449,15.9333,4.91648,-3.8846,3.57936,-7.23311,5.39688,-0.0292589,8.17398,-0.288931,-0.2102,0.0198012,7.71187,-0.833448,3.80252,-2.10587,0.388298,-1.42229,1.26338,9.3405,-1.68537,-0.330795,-0.515312,0.414862,-1.84246,-8.45071,-1.23185,-0.104903,7.9982,-0.532121
0.041,2.35273,8.66682,-2.86378,-0.505794,-1.71817,0.321171,0.547808,-13.7795,-11.9052,1.66622,7.25925,-3.71255,14.0778,15.9669,4.74782,-3.90034,3.53143,-7.29853,5.42836,-0.0995907,8.17937,-0.289893,-0.206117,0.019039,7.70703,-0.838612,3.82348,-2.11478,0.381606,-1.41532,1.26565,9.33456,-1.74431,-0.331118,-0.51066,0.4152,-1.91111,-8.60208,-1.0035,-0.101023,8.06871,-0.494324
0.042,2.40482,8.66697,-2.90875,-0.510811,-1.71295,0.320026,0.533395,-13.7235,-12.0573,1.63595,7.35332,-3.68536,14.2108,16.0005,4.57915,-3.91607,3.4835,-7.36396,5.45984,-0.169922,8.18476,-0.290856,-0.202035,0.0182768,7.7022,-0.843777,3.84444,-2.12369,0.374914,-1.40835,1.26793,9.32863,-1.80326,-0.331441,-0.506008,0.415538,-1.97975,-8.75345,-0.775152,-0.0971433,8.13922,-0.456527
0.043,2.45692,8.66711,-2.95372,-0.515828,-1.70772,0.318882,0.518981,-13.6676,-12.2093,1.60567,7.4474,-3.65816,14.3437,16.0341,4.41049,-3.93181,3.43557,-7.42938,5.49133,-0.240254,8.19015,-0.291818,-0.197952,0.0175146,7.69736,-0.848942,3.86539,-2.1326,0.368221,-1.40138,1.2702,9.32269,-1.86221,-0.331764,-0.501356,0.415876,-2.0484,-8.90483,-0.546801,-0.0932634,8.20972,-0.41873
0.044,2.50901,8.66726,-2.99869,-0.520846,-1.70249,0.317738,0.504567,-13.6116,-12.3614,1.57539,7.54148,-3.63096,14.4766,16.0677,4.24182,-3.94754,3.38764,-7.49481,5.52281,-0.310586,8.19554,-0.292781,-0.19387,0.0167524,7.69252,-0.854107,3.88635,-2.1415,0.361529,-1.39441,1.27248,9.31676,-1.92115,-0.332086,-0.496704,0.416215,-2.11705,-9.0562,-0.318451,-0.0893835,8.28023,-0.380932
0.045,2.55607,8.66705,-3.04217,-0.523429,-1.6958,0.318004,0.464275,-13.5667,-12.5065,1.54585,7.63683,-3.60208,14.6023,16.095,4.08602,-3.95784,3.3352,-7.5616,5.53065,-0.353871,8.2006,-0.293998,-0.190233,0.015661,7.68432,-0.844521,3.91012,-2.14953,0.356289,-1.38836,1.29827,9.31934,-1.96877,-0.331581,-0.494315,0.413094,-2.16867,-9.22647,-0.0383137,-0.0930258,8.35707,-0.345659
0.046,2.59911,8.66655,-3.08444,-0.524066,-1.68792,0.319399,0.403281,-13.5305,-12.6461,1.51689,7.73321,-3.57185,14.7222,16.1172,3.9405,-3.96379,3.27917,-7.6295,5.51959,-0.375519,8.2054,-0.295419,-0.186952,0.0143063,7.67342,-0.823136,3.93616,-2.15684,0.35221,-1.38304,1.34289,9.32874,-2.00733,-0.330412,-0.493736,0.407206,-2.20668,-9.41187,0.283253,-0.102686,8.43896,-0.312404
0.047,2.64216,8.66605,-3.12672,-0.524702,-1.68005,0.320793,0.342287,-13.4944,-12.7856,1.48794,7.82959,-3.54162,14.8421,16.1394,3.79498,-3.96974,3.22313,-7.69739,5.50852,-0.397168,8.2102,-0.296839,-0.183672,0.0129516,7.66252,-0.801751,3.96219,-2.16415,0.348131,-1.37772,1.3875,9.33813,-2.04588,-0.329243,-0.493157,0.401318,-2.2447,-9.59727,0.60482,-0.112346,8.52086,-0.27915
0.048,2.6852,8.66555,-3.16899,-0.525338,-1.67217,0.322188,0.281292,-13.4582,-12.9251,1.45899,7.92596,-3.51139,14.962,16.1616,3.64946,-3.97568,3.16709,-7.76529,5.49745,-0.418816,8.215,-0.29826,-0.180391,0.0115969,7.65162,-0.780365,3.98822,-2.17146,0.344052,-1.3724,1.43211,9.34753,-2.08444,-0.328075,-0.492577,0.39543,-2.28271,-9.78267,0.926387,-0.122006,8.60275,-0.245895
0.049,2.72638,8.66597,-3.21136,-0.526102,-1.6644,0.323572,0.207463,-13.4222,-13.0688,1.42963,8.02198,-3.48025,15.0835,16.1775,3.50234,-3.98044,3.11032,-7.83305,5.48346,-0.440675,8.22113,-0.299189,-0.177243,0.0103254,7.63904,-0.760131,4.0123,-2.17836,0.339996,-1.36676,1.47327,9.35245,-2.11532,-0.327219,-0.491956,0.389816,-2.30459,-9.95847,1.25252,-0.13407,8.68513,-0.214113
0.05,2.75269,8.67372,-3.25446,-0.527877,-1.65745,0.324876,0.0309578,-13.3868,-13.2459,1.39702,8.11513,-3.44192,15.2183,16.1439,3.34241,-3.97564,3.04768,-7.89978,5.44602,-0.464227,8.23787,-0.296192,-0.175154,0.00971977,7.61294,-0.749106,4.02077,-2.18192,0.336119,-1.35852,1.4868,9.32157,-2.08487,-0.328867,-0.490997,0.386393,-2.19742,-10.0575,1.61521,-0.16536,8.77132,-0.194111
0.051,2.779,8.68148,-3.29755,-0.529653,-1.65051,0.326179,-0.145547,-13.3514,-13.423,1.36442,8.20828,-3.4036,15.353,16.1103,3.18248,-3.97084,2.98504,-7.96651,5.40858,-0.487779,8.25462,-0.293194,-0.173064,0.00911415,7.58685,-0.738081,4.02925,-2.18547,0.332243,-1.35028,1.50032,9.29069,-2.05442,-0.330514,-0.490038,0.38297,-2.09024,-10.1566,1.9779,-0.19665,8.85752,-0.174109
0.052,2.80531,8.68923,-3.34065,-0.531429,-1.64357,0.327483,-0.322053,-13.316,-13.6,1.33182,8.30143,-3.36527,15.4878,16.0767,3.02255,-3.96604,2.9224,-8.03324,5.37114,-0.511331,8.27136,-0.290197,-0.170975,0.00850853,7.56076,-0.727056,4.03772,-2.18903,0.328366,-1.34205,1.51385,9.25981,-2.02396,-0.332162,-0.489078,0.379547,-1.98307,-10.2556,2.34058,-0.22794,8.94371,-0.154107
