Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.082,0.0555646,0.0724768,0.0475629,-0.00222931,0.00260651,0.0566605,0.0658957,0.0578085,0.04582,0.0531302,0.00413391,0.0533237,0.147278,0.0721994,0.0651819,0.0612073
0.083,0.0735699,0.0709509,0.0411542,-0.0507523,0.036481,0.0603226,0.0259177,0.0358359,0.0677927,0.0827322,0.00718567,0.0575961,0.138123,0.0664011,0.086239,0.0529675
0.084,0.0674664,0.111844,0.078996,-0.0657059,0.0291568,0.0804642,0.031716,0.0492636,0.0723703,0.0940237,0.0227496,0.0475253,0.150941,0.0996652,0.0874597,0.0761609
0.085,0.0723492,0.0996374,0.0625165,-0.036409,0.0431949,0.0493362,0.0558249,0.074288,0.0537546,0.0866995,0.0239703,0.06431,0.116151,0.059382,0.0868494,0.0679211
0.086,0.0900494,0.0590491,0.0680096,-0.00589142,0.0447208,0.0572708,0.0674216,0.0739828,0.0507028,0.0775442,0.0566241,0.0530185,0.0740363,0.0590768,0.0587732,0.0721936
0.087,0.0540387,0.128629,0.0637372,0.0734543,0.0462466,0.0499466,0.0808493,0.0755087,0.056196,0.03543,0.091109,0.0466098,-0.00500427,0.069758,0.0947839,0.0651746
0.088,0.0607526,0.143888,0.0991376,0.0926804,0.0285464,0.0539139,0.0579611,0.0562827,0.0442941,0.0729666,0.0734088,0.0496616,-0.0660394,0.0502267,0.0737268,0.0639539
0.089,0.0326764,0.192411,0.105241,0.110686,0.0254947,0.0578812,0.0341574,0.0626913,0.0677927,0.0653372,0.0715778,0.0392856,0.0184943,0.0606027,0.0816614,0.062428
0.09,0.04763,0.127408,0.0701459,0.0713181,0.0224429,0.0542191,0.0515524,0.0501791,0.0720651,0.07022,0.0648639,0.053934,0.0358893,0.0526682,0.0682336,0.0630383
0.091,0.0531232,0.0563025,0.0753339,0.102141,0.0325137,0.0529984,0.0423972,0.0623862,0.0748117,0.0213919,0.0801227,0.0432529,0.0456549,0.0682321,0.0926477,0.069447
0.092,0.0577008,0.0340247,0.103715,0.101225,0.0721866,0.0636795,0.0469748,0.0358359,0.0604684,0.0522147,0.0596759,0.0344028,0.00476135,0.0740305,0.0700647,0.0724988
0.093,0.0342023,0.0508093,0.0570233,0.0783371,0.0914127,0.0526932,0.0777975,0.0489584,0.0546701,0.0757132,0.0917194,0.0234164,0.0114752,0.0633493,0.0526697,0.0557141
0.094,0.058006,0.0614905,-0.000349731,0.0560593,0.0700504,0.0529984,0.0454489,0.0633017,0.0745065,0.0430594,0.0499103,0.0356235,0.0209357,0.0685373,0.0743372,0.0633435
0.095,0.0653302,0.0541663,-0.00675842,0.0633835,0.0492984,0.0682571,0.0655905,0.0486533,0.0677927,0.0464163,0.025191,0.041727,0.0172736,0.087153,0.0490076,0.0709729
