Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.032,0.469623,10.2842,-3.53812,0.00699439,0.403171,-0.416974,0.621229,-8.45384,-0.949358,0.214049,-0.0677382,-0.676699,0.970838,9.63347,-0.775161,0.31145,-0.00342829,-0.33971,-3.20939,-9.40086,-1.4712,-0.0894005,-0.516834,1.33565,4.2899,-3.14405,8.06441,0.251311,0.154414,-0.157744,6.05647,4.43022,6.72002,0.862179,-2.44988,0.666168,6.6358,1.63996,4.03297,0.318594,0.112808,-0.414813
0.033,0.400594,10.2695,-3.50702,-0.019022,0.44617,-0.41451,0.643123,-8.46705,-0.957714,0.216272,-0.041899,-0.67938,0.967558,9.66224,-0.776224,0.312693,-0.00288636,-0.336481,-3.22931,-9.45356,-1.50006,-0.0954095,-0.521737,1.34046,4.27678,-3.11455,8.0758,0.248669,0.156813,-0.156488,6.05206,4.47817,6.73898,0.865829,-2.45711,0.679143,6.64015,1.63652,4.07906,0.32023,0.110333,-0.413284
0.034,0.331565,10.2548,-3.47591,-0.0450384,0.489169,-0.412045,0.665016,-8.48026,-0.966071,0.218496,-0.0160599,-0.682061,0.964277,9.69102,-0.777288,0.313935,-0.00234443,-0.333252,-3.24922,-9.50625,-1.52891,-0.101418,-0.52664,1.34527,4.26367,-3.08505,8.0872,0.246028,0.159213,-0.155232,6.04766,4.52611,6.75795,0.86948,-2.46434,0.692118,6.6445,1.63308,4.12515,0.321866,0.107858,-0.411754
0.035,0.262536,10.24,-3.44481,-0.0710547,0.532168,-0.40958,0.68691,-8.49346,-0.974427,0.220719,0.00977929,-0.684742,0.960997,9.71979,-0.778351,0.315178,-0.0018025,-0.330023,-3.26914,-9.55894,-1.55777,-0.107427,-0.531542,1.35008,4.25055,-3.05555,8.09859,0.243386,0.161612,-0.153976,6.04326,4.57406,6.77692,0.873131,-2.47157,0.705093,6.64884,1.62964,4.17125,0.323502,0.105383,-0.410224
0.036,0.174031,10.2191,-3.40031,-0.0967101,0.572984,-0.409757,0.714959,-8.51745,-0.963469,0.223629,0.033878,-0.687106,0.956929,9.73866,-0.782353,0.31604,-0.00254092,-0.327101,-3.27428,-9.61066,-1.60381,-0.113996,-0.535605,1.35519,4.25782,-3.03124,8.11051,0.240868,0.163523,-0.152815,6.04422,4.61571,6.78084,0.876969,-2.478,0.717051,6.6601,1.62175,4.21375,0.323565,0.103448,-0.409077
0.037,0.0611821,10.1905,-3.33907,-0.121914,0.611071,-0.413238,0.750701,-8.55491,-0.928366,0.227399,0.0558011,-0.689076,0.951879,9.74516,-0.790026,0.316425,-0.00487977,-0.324564,-3.26096,-9.66116,-1.67132,-0.121263,-0.538616,1.36066,4.29058,-3.01341,8.12308,0.238504,0.164824,-0.151772,6.05189,4.64948,6.76595,0.881042,-2.48345,0.727736,6.67998,1.6083,4.25176,0.321665,0.102189,-0.408408
0.038,-0.0516672,10.1619,-3.27783,-0.147118,0.649157,-0.416718,0.786444,-8.59237,-0.893264,0.231168,0.0777242,-0.691046,0.946829,9.75166,-0.797699,0.316809,-0.00721863,-0.322026,-3.24764,-9.71166,-1.73884,-0.128531,-0.541628,1.36614,4.32334,-2.99559,8.13565,0.23614,0.166124,-0.15073,6.05957,4.68326,6.75106,0.885114,-2.48889,0.738422,6.69987,1.59484,4.28978,0.319764,0.100929,-0.407738
0.039,-0.164517,10.1333,-3.21659,-0.172323,0.687244,-0.420199,0.822186,-8.62984,-0.858161,0.234937,0.0996473,-0.693016,0.941779,9.75816,-0.805372,0.317194,-0.00955748,-0.319489,-3.23432,-9.76216,-1.80635,-0.135798,-0.54464,1.37161,4.3561,-2.97776,8.14822,0.233776,0.167425,-0.149687,6.06724,4.71703,6.73617,0.889187,-2.49433,0.749107,6.71976,1.58139,4.3278,0.317863,0.0996699,-0.407069
0.04,-0.277366,10.1046,-3.15535,-0.197527,0.72533,-0.423679,0.857929,-8.6673,-0.823059,0.238707,0.12157,-0.694986,0.936729,9.76466,-0.813046,0.317579,-0.0118963,-0.316951,-3.221,-9.81265,-1.87386,-0.143065,-0.547652,1.37709,4.38886,-2.95994,8.16079,0.231412,0.168725,-0.148645,6.07491,4.7508,6.72127,0.89326,-2.49978,0.759793,6.73965,1.56794,4.36581,0.315962,0.0984104,-0.4064
0.041,-0.377766,10.0601,-3.05431,-0.217489,0.753228,-0.42684,0.83735,-8.68476,-0.810776,0.244385,0.137324,-0.694405,0.948959,9.76079,-0.833941,0.317917,-0.0155669,-0.314387,-3.20854,-9.86343,-1.8952,-0.149639,-0.550758,1.38415,4.36668,-2.94548,8.16825,0.229856,0.16907,-0.145805,6.11312,4.7889,6.71747,0.893382,-2.50989,0.770568,6.75097,1.58503,4.39203,0.31368,0.0974286,-0.404727
