Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z
0.041,8.86717,1.78015,3.04865,-2.69873,-0.439949,-0.973348,2.97001,8.73628,-2.91382,-0.866732,-1.64045,-0.0163566,-1.32496,9.48615,-1.67811,-0.194545,-0.669044,-0.223018,0.277011,-9.97313,-4.05481,-0.187857,6.93344,-0.226251,16.0664,8.81667,-4.86906,-2.97089,-4.82616,-7.05912,-13.3954,-10.2749,-9.21329,-0.216668,8.33559,-0.830959,5.56019,-3.15168,7.36569,-0.502701,-0.0555033,-0.00448826
0.042,8.86266,1.78465,3.04076,-2.69484,-0.436483,-0.969792,2.94263,8.69918,-2.90986,-0.871147,-1.64739,-0.0218799,-1.35374,9.47651,-1.67605,-0.194154,-0.672547,-0.221597,0.316008,-9.96426,-4.03398,-0.181118,6.96971,-0.227433,16.1022,8.48953,-5.02785,-2.91248,-4.79655,-6.97277,-13.7919,-10.3164,-9.32588,-0.219234,8.28637,-0.794783,5.54053,-3.1365,7.38273,-0.50545,-0.0583128,-0.00284087
0.043,8.85815,1.78915,3.03287,-2.69095,-0.433017,-0.966237,2.91525,8.66208,-2.9059,-0.875562,-1.65433,-0.0274032,-1.38252,9.46687,-1.674,-0.193762,-0.67605,-0.220176,0.355005,-9.95538,-4.01316,-0.174378,7.00599,-0.228615,16.138,8.16238,-5.18665,-2.85408,-4.76693,-6.88643,-14.1884,-10.358,-9.43847,-0.2218,8.23714,-0.758607,5.52087,-3.12131,7.39977,-0.508199,-0.0611224,-0.00119349
0.044,8.85364,1.79365,3.02498,-2.68707,-0.429551,-0.962682,2.88787,8.62498,-2.90194,-0.879976,-1.66127,-0.0329265,-1.4113,9.45724,-1.67195,-0.19337,-0.679553,-0.218756,0.394002,-9.94651,-3.99234,-0.167638,7.04227,-0.229797,16.1738,7.83524,-5.34544,-2.79567,-4.73731,-6.80008,-14.5849,-10.3995,-9.55105,-0.224366,8.18792,-0.722431,5.50122,-3.10612,7.41682,-0.510948,-0.0639319,0.000453897
0.045,8.85636,1.79772,3.02873,-2.68413,-0.426517,-0.960511,2.86667,8.60402,-2.89388,-0.882309,-1.66514,-0.0376597,-1.42814,9.45176,-1.65336,-0.194353,-0.682361,-0.216809,0.431048,-9.93573,-3.95653,-0.158981,7.07383,-0.22574,16.274,7.60354,-5.49775,-2.74016,-4.7094,-6.6968,-14.9286,-10.4198,-9.60398,-0.225126,8.13393,-0.682311,5.4822,-3.11324,7.41823,-0.514454,-0.065768,0.00400745
0.046,8.86487,1.80144,3.04177,-2.68197,-0.423829,-0.959446,2.8504,8.59597,-2.88254,-0.882976,-1.66656,-0.0417607,-1.43542,9.4496,-1.62156,-0.196435,-0.684611,-0.214442,0.466533,-9.92343,-3.90873,-0.14879,7.1016,-0.217491,16.4258,7.4482,-5.64488,-2.68696,-4.68284,-6.57997,-15.2302,-10.423,-9.60917,-0.224441,8.07614,-0.639036,5.46369,-3.13822,7.40714,-0.518563,-0.0668252,0.00908595
0.047,8.87337,1.80516,3.05482,-2.6798,-0.421142,-0.958381,2.83413,8.58793,-2.8712,-0.883644,-1.66798,-0.0458618,-1.44269,9.44744,-1.58975,-0.198517,-0.686862,-0.212075,0.502019,-9.91113,-3.86093,-0.138599,7.12938,-0.209242,16.5776,7.29286,-5.792,-2.63376,-4.65628,-6.46313,-15.5317,-10.4263,-9.61436,-0.223756,8.01836,-0.595761,5.44518,-3.16319,7.39605,-0.522673,-0.0678824,0.0141644
0.048,8.88188,1.80887,3.06787,-2.67763,-0.418454,-0.957316,2.81786,8.57989,-2.85987,-0.884311,-1.66939,-0.0499629,-1.44997,9.44529,-1.55794,-0.200598,-0.689113,-0.209708,0.537504,-9.89883,-3.81313,-0.128408,7.15715,-0.200993,16.7294,7.13752,-5.93913,-2.58056,-4.62972,-6.3463,-15.8333,-10.4295,-9.61955,-0.223071,7.96057,-0.552486,5.42668,-3.18817,7.38496,-0.526782,-0.0689396,0.0192429
0.049,8.88818,1.81142,3.08018,-2.67561,-0.415814,-0.956116,2.8043,8.57562,-2.85052,-0.885292,-1.67117,-0.0541095,-1.45576,9.44495,-1.53066,-0.202464,-0.691069,-0.207465,0.570703,-9.886,-3.75641,-0.118499,7.18358,-0.191508,16.8701,6.98096,-6.07279,-2.52705,-4.60243,-6.22729,-16.1208,-10.4243,-9.5993,-0.223068,7.90025,-0.509803,5.41168,-3.21003,7.37383,-0.53051,-0.0701465,0.0239033
0.05,8.87682,1.80455,3.08658,-2.6748,-0.413554,-0.953835,2.81247,8.60155,-2.85707,-0.888779,-1.67579,-0.0586201,-1.44966,9.45919,-1.5395,-0.202599,-0.690669,-0.206212,0.585616,-9.86893,-3.62825,-0.110846,7.19918,-0.172139,16.9223,6.81465,-6.09867,-2.47109,-4.56932,-6.09081,-16.2964,-10.3513,-9.37553,-0.228514,7.81968,-0.471851,5.42474,-3.20692,7.36232,-0.531186,-0.0725514,0.0252183
