Time,RTibialisAnterior,RSoleus,RBicepsFemoris,RGastrocnemiusMedialis,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.071,0.0641095,0.0682043,0.0701459,0.0533127,0.0483829,0.0661209,0.0588766,0.0617758,0.0424631,-0.000275574,0.0666949,0.0557651,0.0639655,0.0618234,0.0520593,0.0618176
0.072,0.0534283,0.083158,0.0457318,0.048735,0.0639468,0.052388,0.0695578,0.063912,0.0629098,0.0497733,0.0727985,0.0438632,0.0532843,0.0642648,0.0316125,0.0526624
0.073,0.0787579,0.120695,0.0649579,0.0554489,0.0566226,0.059407,0.0533835,0.0617758,0.0494821,0.0503836,0.0804279,0.0258578,0.0358893,0.0667062,0.0703699,0.0734143
0.074,0.0558698,0.0920081,0.0527509,0.0670456,0.0450259,0.0728348,0.0393454,0.0275961,0.0534494,0.0589285,0.0560138,0.0447787,0.0587775,0.0557199,0.0438196,0.0654797
0.075,0.063194,0.067594,0.0567181,0.0533127,0.0685245,0.0545242,0.0301901,0.0398032,0.0445993,0.052825,0.0682208,0.059122,0.0426032,0.0438181,0.0606042,0.0566296
0.076,0.0586163,0.0794958,0.0597699,0.0639938,0.0444156,0.062764,0.0518576,0.0507895,0.0574167,0.0906668,0.0660846,0.0640048,0.049317,0.0529733,0.0541956,0.0712781
0.077,0.0500714,0.0514197,0.0469525,0.0603317,0.0669986,0.0655106,0.0478903,0.0532309,0.0644357,0.104705,0.0645587,0.0508823,0.0630499,0.0569406,0.048092,0.0648694
0.078,0.0610577,0.0785803,0.0588544,0.0685715,0.0532657,0.0688675,0.0512473,0.0590292,0.0748117,0.0311575,0.0648639,0.0655307,0.059693,0.0676218,0.0755579,0.0584607
0.079,0.0647198,0.0700354,0.0689252,0.0676559,0.0453311,0.0649002,0.059487,0.0599448,0.0619943,-0.0457468,0.0834796,0.0685825,0.0606085,0.0804392,0.0557214,0.0551038
0.08,0.0445782,0.0538611,0.0579388,0.0484299,0.0596744,0.0615433,0.0527731,0.0645224,0.0497873,-0.0552072,0.0566241,0.0603427,0.0609137,0.0517526,0.0599939,0.045033
0.081,0.0470197,0.0163245,0.0704511,0.0136398,0.0505191,0.0581863,0.0457541,0.0483481,0.0482614,-0.0378122,0.0682208,0.0466098,0.0413824,0.0740305,0.0703699,0.0801282
0.082,0.0256573,0.0032019,0.0344403,0.0636887,0.0554019,0.0688675,0.0402609,0.0755087,0.0751169,0.023223,0.0505206,0.0569858,0.0590826,0.057551,0.0529749,0.0706677
0.083,0.04763,0.0337195,0.0600751,0.0542282,0.046857,0.0484207,0.0726096,0.0535361,0.0812204,0.0641165,0.0700519,0.0484409,0.0569464,0.062739,0.0557214,0.0859265
0.084,0.0815045,0.0334143,0.0695355,0.0514816,0.0648624,0.0560501,0.0610129,0.0553671,0.0455148,0.0714407,0.0401447,0.0585117,0.0554205,0.0612131,0.0438196,0.0700574
0.085,0.0641095,0.0590491,0.0576337,0.0530075,0.0636417,0.0719192,0.043923,0.0559775,0.056196,0.0522147,0.05815,0.0524081,0.0325323,0.0569406,0.0526697,0.0636487
0.086,0.0689923,0.0306677,0.0554974,0.0615524,0.0544864,0.0661209,0.0442282,0.0565878,0.0757272,0.0467215,0.0639484,0.0292148,0.0410773,0.0371042,0.0456506,0.0575452
0.087,0.052818,0.0227332,0.0783856,0.0438522,0.0340396,0.0529984,0.0384299,0.0593344,0.0592477,0.0586234,0.0700519,0.0566806,0.0563361,0.0651804,0.058468,0.0660901
