Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.033,-0.501141,-10.0839,-1.15858,-0.0780873,-0.105474,-0.00455513,1.4353,9.5612,-1.0275,0.0642561,-0.289437,-0.0160767,5.16778,-2.56444,8.09591,-0.100291,0.0726932,0.0222476,-1.61139,10.0981,0.867411,0.0221462,-0.0472197,-0.117401,9.35654,0.265278,3.27192,0.106074,-0.147822,-0.063048,0.0,0.0,0.0,0.0,0.0,0.0,4.664,4.43858,7.43815,0.0634268,-0.00997956,-0.00109761
0.034,-0.506711,-10.074,-1.17923,-0.0765771,-0.101365,-0.00763699,1.42642,9.51141,-0.994823,0.066041,-0.280034,-0.0146861,5.12695,-2.52373,8.09194,-0.105068,0.0717053,0.0245284,-1.5843,10.085,0.85563,0.0202954,-0.0461813,-0.113501,9.34696,0.254743,3.25923,0.106819,-0.149526,-0.061344,0.0,0.0,0.0,0.0,0.0,0.0,4.66353,4.46532,7.41831,0.0639641,-0.00940843,-0.00233507
0.035,-0.512282,-10.0641,-1.19987,-0.0750668,-0.0972557,-0.0107188,1.41754,9.46162,-0.962146,0.0678259,-0.270631,-0.0132956,5.08611,-2.48302,8.08796,-0.109844,0.0707174,0.0268091,-1.55721,10.0719,0.84385,0.0184447,-0.0451428,-0.1096,9.33739,0.244209,3.24654,0.107565,-0.15123,-0.05964,0.0,0.0,0.0,0.0,0.0,0.0,4.66306,4.49206,7.39847,0.0645014,-0.0088373,-0.00357252
0.036,-0.51739,-10.054,-1.21746,-0.0729495,-0.0938093,-0.0122411,1.41601,9.44699,-0.93239,0.069299,-0.260856,-0.0106664,5.05438,-2.44699,8.08483,-0.116178,0.0706872,0.0289049,-1.51846,10.0584,0.815067,0.016466,-0.0430425,-0.10641,9.33499,0.232238,3.23864,0.10847,-0.148195,-0.0576165,0.0,0.0,0.0,0.0,0.0,0.0,4.65343,4.51297,7.3883,0.0652569,-0.00938838,-0.0040596
0.037,-0.521918,-10.0436,-1.23123,-0.0700733,-0.0911911,-0.0118138,1.42365,9.47632,-0.906284,0.0703823,-0.250615,-0.00648889,5.03401,-2.41681,8.08276,-0.124458,0.0718541,0.0307693,-1.46515,10.0446,0.76503,0.0143277,-0.0396148,-0.104108,9.3326,0.220267,3.23074,0.109375,-0.145159,-0.055593,0.0,0.0,0.0,0.0,0.0,0.0,4.63232,4.5266,7.3902,0.0662851,-0.0113422,-0.00360871
0.038,-0.526446,-10.0333,-1.24499,-0.0671972,-0.0885729,-0.0113865,1.43129,9.50565,-0.880178,0.0714656,-0.240374,-0.00231137,5.01364,-2.38664,8.08069,-0.132738,0.073021,0.0326338,-1.41184,10.0309,0.714993,0.0121893,-0.0361871,-0.101807,9.3302,0.208296,3.22283,0.110281,-0.142124,-0.0535695,0.0,0.0,0.0,0.0,0.0,0.0,4.61122,4.54023,7.3921,0.0673134,-0.0132961,-0.00315782
0.039,-0.530974,-10.0229,-1.25875,-0.064321,-0.0859547,-0.0109591,1.43893,9.53498,-0.854072,0.0725489,-0.230133,0.00186615,4.99327,-2.35646,8.07862,-0.141018,0.0741879,0.0344982,-1.35852,10.0171,0.664957,0.0100509,-0.0327594,-0.099505,9.32781,0.196325,3.21493,0.111186,-0.139089,-0.051546,0.0,0.0,0.0,0.0,0.0,0.0,4.59012,4.55386,7.394,0.0683417,-0.01525,-0.00270693
0.04,-0.535502,-10.0126,-1.27252,-0.0614449,-0.0833365,-0.0105318,1.44657,9.56431,-0.827966,0.0736322,-0.219892,0.00604367,4.97291,-2.32629,8.07655,-0.149298,0.0753548,0.0363627,-1.30521,10.0033,0.61492,0.0079125,-0.0293317,-0.0972033,9.32542,0.184354,3.20703,0.112091,-0.136054,-0.0495225,0.0,0.0,0.0,0.0,0.0,0.0,4.56902,4.56748,7.3959,0.0693699,-0.0172038,-0.00225604
0.041,-0.537139,-9.98465,-1.24114,-0.0575271,-0.0855055,-0.00689164,1.41773,9.58352,-0.814137,0.074873,-0.21221,0.00535576,4.99338,-2.35177,8.03645,-0.156109,0.0768511,0.038666,-1.26111,9.98455,0.583832,0.0073659,-0.0279065,-0.0968988,9.32302,0.172383,3.19913,0.112996,-0.133018,-0.047499,0.0,0.0,0.0,0.0,0.0,0.0,4.57281,4.54756,7.40945,0.0702763,-0.0165264,-0.00152837
0.042,-0.538776,-9.95674,-1.20976,-0.0536094,-0.0876746,-0.00325144,1.3889,9.60272,-0.800309,0.0761139,-0.204528,0.00466786,5.01386,-2.37724,7.99634,-0.16292,0.0783474,0.0409694,-1.21701,9.96581,0.552745,0.00681929,-0.0264813,-0.0965943,9.32063,0.160412,3.19123,0.113902,-0.129983,-0.0454755,0.0,0.0,0.0,0.0,0.0,0.0,4.57661,4.52764,7.42299,0.0711826,-0.0158489,-0.000800708
