Time,RTibialisAnterior,RSoleus,RBicepsFemoris,RGastrocnemiusMedialis,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,LBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus
0.084,0.0708234,-0.00290161,0.0637372,0.0499557,0.0471622,0.0688675,0.0701682,0.0709311,0.0476511,0.0485526,0.0670001,0.0636996,0.064881,0.0642648,0.0499231,0.0551038
0.085,0.0439679,-0.00229126,0.0838788,0.0282883,0.0477725,0.0545242,0.0503317,0.0758139,0.0543649,0.0613699,0.0465533,0.06431,0.0505377,0.0615182,0.0569421,0.0490002
0.086,0.0686871,0.0233435,0.0451215,0.013945,0.0547916,0.0444534,0.0616232,0.0623862,0.0827463,0.0796805,0.0810382,0.0575961,0.0612189,0.0606027,0.0493127,0.0566296
0.087,0.0641095,0.0627112,0.047868,0.0090622,0.0428897,0.0197342,0.0539938,0.0666586,0.063215,0.0317679,0.0587604,0.0475253,0.059693,0.0441232,0.0499231,0.0438123
0.088,0.0387799,0.05203,0.0567181,0.0148605,0.0566226,0.057576,0.0561301,0.0483481,0.0622995,0.0567923,0.0502155,0.041727,0.0584723,0.0425973,0.074032,0.0523572
0.089,0.0241315,0.0688147,0.053056,0.0304245,0.0602847,0.0700882,0.0567404,0.044686,0.0601633,0.0699149,0.0544879,0.0218906,0.0480963,0.0596872,0.0450403,0.0462537
0.09,0.0680768,0.0984167,0.0481732,0.0527023,0.0599796,0.0581863,0.0600974,0.0660483,0.0488718,0.0619803,0.0547931,0.0221957,0.0517584,0.0487009,0.0697595,0.0502209
0.091,0.059837,0.100858,0.0341351,0.0615524,0.0529605,0.0621536,0.049111,0.0694052,0.0491769,0.0320731,0.0502155,0.0517978,0.0480963,0.0581613,0.0422937,0.0596814
0.092,0.0625836,0.10391,0.0658734,0.0707077,0.0431949,0.067952,0.0298849,0.013558,0.051008,0.0421439,0.056319,0.0438632,0.052674,0.0654855,0.0627405,0.0551038
0.093,0.0732648,0.0968909,0.0493939,0.0316452,0.0621158,0.0652054,0.0494162,0.029122,0.0409372,0.0888358,0.0630328,0.0890292,0.0368048,0.0773874,0.041073,0.0551038
