Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s
0.03,9.36606,1.80841,2.00066,-0.161556,0.0215749,0.0273714,0.311755,-9.91557,-0.558772,-0.0591786,0.0270782,0.0190549,-1.83032,9.58022,-0.704422,-0.00595592,0.0024353,0.00549266,4.94256,-2.26521,8.07354,-0.00721229,-0.00199919,-0.0122683,-2.42156,9.55103,-1.37778,0.00916497,-0.0190923,-0.00692616,4.13381,1.08382,9.06146,-0.00700376,-0.023507,-0.00342985,-1.49367,-9.93107,-0.619557,-0.0376512,0.0689845,0.0270489
0.031,9.36677,1.80695,2.00135,-0.161551,0.0207698,0.0279726,0.311278,-9.91293,-0.558594,-0.0591527,0.0267519,0.0190074,-1.83119,9.5784,-0.704713,-0.00609314,0.00249702,0.00549141,4.94297,-2.26452,8.0698,-0.00721962,-0.00222063,-0.0123566,-2.42388,9.54632,-1.37671,0.00901932,-0.0185226,-0.00697577,4.1353,1.08363,9.05929,-0.0069796,-0.0235685,-0.00331759,-1.49483,-9.9287,-0.620877,-0.0375595,0.0681605,0.0269591
0.032,9.36751,1.80529,2.00194,-0.161523,0.019989,0.0285826,0.310813,-9.91031,-0.558509,-0.0591423,0.0264421,0.0189606,-1.8321,9.57652,-0.704942,-0.0062341,0.00254607,0.00549042,4.94325,-2.26388,8.06622,-0.00722584,-0.00243057,-0.0124386,-2.42601,9.54172,-1.37548,0.00885742,-0.0179762,-0.00706073,4.1369,1.08347,9.05726,-0.00696861,-0.0236304,-0.00318952,-1.4957,-9.92619,-0.622151,-0.0374513,0.0673604,0.0268713
0.033,9.36827,1.80343,2.0024,-0.16147,0.0192337,0.0292001,0.310379,-9.90774,-0.558477,-0.0591453,0.0261482,0.0189157,-1.83303,9.57457,-0.70509,-0.00638006,0.00258362,0.00548875,4.94345,-2.26327,8.06281,-0.00723183,-0.00262819,-0.0125138,-2.42796,9.53724,-1.37408,0.0086774,-0.0174548,-0.00718105,4.1386,1.0833,9.05536,-0.00697226,-0.0236913,-0.00304821,-1.49635,-9.92356,-0.623407,-0.0373271,0.0665855,0.0267847
0.034,9.36902,1.80138,2.00273,-0.161387,0.018505,0.0298246,0.310003,-9.90527,-0.558451,-0.0591591,0.0258694,0.0188742,-1.83398,9.57254,-0.705145,-0.00653244,0.00261129,0.00548519,4.94358,-2.26265,8.05954,-0.00723798,-0.0028129,-0.0125831,-2.42977,9.53292,-1.37249,0.0084776,-0.0169616,-0.007334,4.14036,1.08311,9.05364,-0.00699015,-0.0237497,-0.00289881,-1.49682,-9.92084,-0.624687,-0.0371879,0.0658385,0.0266984
0.035,9.36973,1.79916,2.00292,-0.161274,0.0178042,0.0304554,0.309711,-9.90294,-0.558383,-0.0591811,0.025605,0.0188379,-1.83493,9.57043,-0.705098,-0.0066927,0.00263073,0.00547854,4.94369,-2.26198,8.05639,-0.00724466,-0.00298416,-0.0126472,-2.43149,9.52877,-1.37069,0.0082564,-0.0165,-0.00751668,4.14215,1.08285,9.0521,-0.00702171,-0.0238042,-0.00274671,-1.49718,-9.91806,-0.626037,-0.0370345,0.0651224,0.0266114
0.036,9.37038,1.79678,2.00297,-0.161128,0.0171321,0.0310914,0.309526,-9.90078,-0.558231,-0.0592085,0.0253542,0.0188078,-1.83589,9.56823,-0.704939,-0.00686182,0.00264328,0.00546782,4.94382,-2.26125,8.05334,-0.00725256,-0.00314145,-0.0127066,-2.43315,9.52483,-1.36868,0.00801227,-0.0160726,-0.00772657,4.14395,1.0825,9.05076,-0.00706607,-0.0238536,-0.00259645,-1.49749,-9.91527,-0.627499,-0.0368678,0.0644402,0.0265226
0.037,9.37094,1.79426,2.00289,-0.160948,0.0164876,0.0317304,0.309458,-9.89881,-0.557979,-0.059239,0.0251168,0.0187835,-1.83684,9.56593,-0.704671,-0.0070391,0.00264943,0.00545281,4.94397,-2.26042,8.05038,-0.00726337,-0.00328451,-0.0127605,-2.43476,9.52108,-1.36648,0.00774424,-0.0156812,-0.00796227,4.14577,1.08204,9.04961,-0.00712124,-0.023897,-0.00244981,-1.49776,-9.91248,-0.629094,-0.0366904,0.0637941,0.0264313
0.038,9.37144,1.79164,2.00271,-0.160734,0.0158681,0.0323684,0.309503,-9.89697,-0.557632,-0.0592702,0.0248927,0.0187631,-1.83779,9.56352,-0.704306,-0.00722208,0.0026487,0.00543415,4.94416,-2.2595,8.04749,-0.00727993,-0.00341331,-0.0128068,-2.43629,9.5175,-1.36412,0.00745191,-0.0153258,-0.00822357,4.14764,1.08145,9.0486,-0.00718406,-0.0239345,-0.00230562,-1.49803,-9.9097,-0.630825,-0.0365058,0.0631862,0.0263371
0.039,9.37186,1.78895,2.00245,-0.160489,0.0152702,0.0330013,0.309651,-9.8952,-0.557207,-0.0593,0.0246821,0.0187437,-1.83874,9.561,-0.70386,-0.00740766,0.00264025,0.00541277,4.94437,-2.25847,8.04467,-0.00730545,-0.00352793,-0.012843,-2.43769,9.51404,-1.36168,0.00713505,-0.0150059,-0.00851073,4.14959,1.0807,9.0477,-0.00725096,-0.0239662,-0.00216165,-1.49831,-9.90693,-0.63269,-0.0363182,0.0626182,0.0262396
0.04,9.37223,1.78624,2.00216,-0.160212,0.0146904,0.0336246,0.309892,-9.89346,-0.556719,-0.0593261,0.0244852,0.0187228,-1.83971,9.55834,-0.703349,-0.00759275,0.00262326,0.00538957,4.94461,-2.25735,8.04191,-0.00734318,-0.0036284,-0.0128665,-2.43892,9.51066,-1.3592,0.00679338,-0.0147211,-0.00882409,4.15168,1.07978,9.04685,-0.00731836,-0.0239922,-0.00201568,-1.49861,-9.90417,-0.634685,-0.0361317,0.0620919,0.0261385
0.041,9.37255,1.78352,2.00186,-0.159904,0.014126,0.034234,0.310213,-9.89169,-0.556192,-0.0593469,0.0243025,0.0186985,-1.84069,9.55555,-0.702779,-0.00777415,0.00259735,0.00536467,4.94487,-2.25614,8.03921,-0.00739516,-0.00371443,-0.0128758,-2.43997,9.50736,-1.35673,0.00642883,-0.0144716,-0.00916321,4.15391,1.07869,9.04601,-0.00738299,-0.024013,-0.00186709,-1.49894,-9.90143,-0.636808,-0.0359496,0.0616097,0.0260332
