Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.03,9.36386,1.1531,3.34281,0.0492954,-0.104641,0.0452858,-0.766671,-9.79741,-1.29049,0.00277062,-0.0351914,0.0450227,-1.65561,9.49842,-0.685967,0.0215396,-0.0108422,-0.043496,5.1212,-1.45927,8.12513,0.0193484,0.0273059,-0.0529956,0.875865,9.77149,-1.6048,-0.0940308,-0.460263,-0.247998,4.66519,1.87152,8.68517,-0.0199605,-0.00855534,0.0587661,-2.50916,-9.75603,-0.345485,0.022293,-0.163991,0.0859911
0.031,9.36988,1.16115,3.33789,0.049964,-0.108157,0.0453544,-0.762888,-9.79437,-1.28932,0.00169596,-0.0358758,0.0450335,-1.65916,9.49494,-0.689187,0.0210728,-0.0101826,-0.044412,5.12037,-1.46003,8.12357,0.0214011,0.0282611,-0.0549741,0.860701,9.76642,-1.61093,-0.0922311,-0.446604,-0.2471,4.6648,1.87218,8.68325,-0.0195185,-0.00845556,0.0587522,-2.50382,-9.75463,-0.341493,0.0221086,-0.164811,0.0850907
0.032,9.37509,1.16901,3.33278,0.0506674,-0.111643,0.0453767,-0.759321,-9.79134,-1.28807,0.000634533,-0.0365246,0.045072,-1.6629,9.4917,-0.691671,0.0206092,-0.00949968,-0.0453066,5.11975,-1.46039,8.12203,0.0234362,0.0292207,-0.0569571,0.846826,9.76176,-1.61579,-0.0903587,-0.432855,-0.246162,4.66449,1.87276,8.68126,-0.0190782,-0.00834878,0.0587321,-2.49807,-9.75324,-0.337626,0.0219178,-0.165563,0.0841958
0.033,9.3795,1.17666,3.32746,0.0514031,-0.115099,0.0453551,-0.755996,-9.78833,-1.28677,-0.000412646,-0.0371396,0.0451407,-1.66683,9.48869,-0.693426,0.0201494,-0.00879831,-0.0461798,5.11931,-1.46034,8.12053,0.0254501,0.0301838,-0.0589393,0.834197,9.75752,-1.61944,-0.0884256,-0.41905,-0.245187,4.66426,1.87324,8.67923,-0.0186389,-0.00823239,0.0587048,-2.49192,-9.75188,-0.333877,0.0217183,-0.166243,0.0833048
0.034,9.38313,1.1841,3.32192,0.0521691,-0.11852,0.0452919,-0.752919,-9.78534,-1.28547,-0.00144565,-0.0377232,0.0452414,-1.67089,9.48593,-0.694463,0.0196939,-0.00808406,-0.0470315,5.11907,-1.45984,8.11914,0.0274386,0.0311492,-0.0609131,0.822756,9.75369,-1.62194,-0.0864421,-0.405218,-0.244179,4.66411,1.87358,8.67718,-0.0182007,-0.00810333,0.0586685,-2.48541,-9.75053,-0.33023,0.0215087,-0.166848,0.0824154
0.035,9.38602,1.19131,3.31613,0.0529632,-0.121903,0.0451889,-0.750093,-9.78238,-1.28422,-0.00246461,-0.0382777,0.0453758,-1.67506,9.48341,-0.694791,0.0192432,-0.00736254,-0.0478613,5.11899,-1.45888,8.11789,0.0293978,0.0321154,-0.0628709,0.812444,9.75027,-1.62338,-0.0844183,-0.391389,-0.24314,4.66405,1.87379,8.67514,-0.0177633,-0.00795841,0.0586218,-2.47856,-9.74919,-0.326668,0.0212879,-0.167377,0.0815255
0.036,9.3882,1.19828,3.31008,0.0537831,-0.125246,0.0450485,-0.747518,-9.77945,-1.28306,-0.00346934,-0.038805,0.045545,-1.6793,9.48112,-0.694416,0.0187977,-0.00663908,-0.0486685,5.11906,-1.45742,8.11683,0.0313241,0.033081,-0.0648056,0.803196,9.74725,-1.6238,-0.0823649,-0.377591,-0.242075,4.66409,1.87383,8.67312,-0.0173272,-0.00779519,0.0585631,-2.47142,-9.74786,-0.323171,0.0210551,-0.167827,0.0806331
0.037,9.3897,1.205,3.30375,0.0546253,-0.128546,0.0448736,-0.74518,-9.77654,-1.282,-0.00445853,-0.039307,0.0457475,-1.68359,9.47908,-0.693343,0.0183582,-0.00591788,-0.0494523,5.11926,-1.45544,8.11599,0.0332155,0.0340436,-0.0667111,0.794918,9.74459,-1.6233,-0.0802938,-0.363852,-0.240986,4.66419,1.87375,8.67115,-0.0168943,-0.00761347,0.0584916,-2.464,-9.74652,-0.319709,0.0208111,-0.168197,0.0797374
0.038,9.39056,1.21144,3.29715,0.0554852,-0.131802,0.0446682,-0.74305,-9.77362,-1.28101,-0.00542975,-0.039785,0.0459796,-1.68794,9.47725,-0.691573,0.0179255,-0.00520202,-0.0502112,5.11952,-1.45292,8.11536,0.0350715,0.0349996,-0.0685833,0.787483,9.74225,-1.62195,-0.0782188,-0.350194,-0.239874,4.66433,1.87359,8.66922,-0.0164679,-0.00741557,0.0584071,-2.45638,-9.74513,-0.316237,0.020558,-0.168487,0.0788382
0.039,9.39082,1.21759,3.29025,0.0563576,-0.13501,0.0444366,-0.741097,-9.77069,-1.28005,-0.00638012,-0.04024,0.0462364,-1.69236,9.47564,-0.689106,0.0175007,-0.00449419,-0.0509437,5.11981,-1.44984,8.11495,0.0368924,0.0359455,-0.0704183,0.780756,9.74018,-1.61983,-0.0761542,-0.336638,-0.238742,4.66448,1.87341,8.66731,-0.0160521,-0.00720466,0.0583099,-2.44858,-9.74367,-0.312708,0.0202986,-0.168699,0.0779358
0.04,9.39054,1.22343,3.28305,0.0572377,-0.138169,0.0441829,-0.739285,-9.76771,-1.2791,-0.0073067,-0.0406733,0.0465132,-1.69685,9.47421,-0.685941,0.0170848,-0.00379707,-0.0516482,5.12006,-1.44617,8.11476,0.0386782,0.0368774,-0.072212,0.774603,9.73832,-1.61703,-0.0741145,-0.323208,-0.237589,4.66459,1.8733,8.66542,-0.015651,-0.00698388,0.0582,-2.44066,-9.7421,-0.309076,0.0200356,-0.168832,0.0770306
0.041,9.38975,1.22893,3.27556,0.0581204,-0.141277,0.0439114,-0.73758,-9.76468,-1.27812,-0.00820915,-0.0410848,0.0468071,-1.70141,9.47298,-0.682075,0.0166786,-0.00311345,-0.0523237,5.12023,-1.44191,8.11477,0.0404278,0.0377921,-0.0739625,0.76889,9.73664,-1.61362,-0.0721121,-0.30992,-0.236421,4.66463,1.87329,8.66354,-0.0152671,-0.00675559,0.0580777,-2.43266,-9.7404,-0.305303,0.0197707,-0.168888,0.0761229
0.042,9.38847,1.23411,3.26779,0.0590007,-0.144329,0.0436269,-0.735939,-9.76164,-1.27711,-0.00909237,-0.0414726,0.0471185,-1.70599,9.47192,-0.677509,0.0162829,-0.00244623,-0.052971,5.12031,-1.43707,8.11497,0.0421376,0.0386871,-0.075671,0.763478,9.73512,-1.60967,-0.0701564,-0.29678,-0.235242,4.66459,1.87336,8.66166,-0.0149002,-0.00652062,0.0579442,-2.42462,-9.73855,-0.301374,0.0195035,-0.168867,0.075213
0.043,9.38672,1.23894,3.2598,0.0598736,-0.147321,0.0433343,-0.734316,-9.75865,-1.27608,-0.00996384,-0.0418334,0.0474496,-1.71054,9.47103,-0.672241,0.0158985,-0.00179844,-0.0535916,5.12029,-1.43164,8.11532,0.043803,0.0395607,-0.0773409,0.758227,9.73378,-1.60524,-0.0682547,-0.283789,-0.234061,4.66445,1.8735,8.65976,-0.0145487,-0.006279,0.0578006,-2.41657,-9.73658,-0.297287,0.0192322,-0.168773,0.0743016
0.044,9.38452,1.24344,3.25163,0.0607341,-0.15025,0.0430386,-0.732664,-9.75577,-1.27503,-0.010831,-0.0421642,0.0478028,-1.715,9.47031,-0.666269,0.0155262,-0.00117312,-0.0541868,5.12016,-1.42566,8.11582,0.0454193,0.0404108,-0.0789751,0.753,9.73262,-1.60041,-0.0664148,-0.270948,-0.232885,4.6642,1.87366,8.65783,-0.0142109,-0.00603077,0.0576484,-2.40856,-9.7345,-0.293035,0.0189555,-0.168608,0.0733891
0.045,9.38188,1.2476,3.2433,0.0615776,-0.153112,0.0427443,-0.730941,-9.75303,-1.27398,-0.0117,-0.0424622,0.0481798,-1.71931,9.46975,-0.659597,0.0151665,-0.000573435,-0.0547581,5.11993,-1.41914,8.11642,0.0469816,0.0412361,-0.0805757,0.747663,9.73165,-1.59522,-0.0646437,-0.258258,-0.231723,4.66383,1.87381,8.65586,-0.0138851,-0.00577594,0.0574886,-2.40062,-9.7323,-0.28862,0.0186715,-0.168374,0.0724756
0.046,9.3788,1.25141,3.23485,0.0624009,-0.155901,0.0424548,-0.729113,-9.75044,-1.27295,-0.0125728,-0.0427256,0.0485817,-1.72345,9.46937,-0.652245,0.0148198,-2.74623e-006,-0.0553069,5.11958,-1.41211,8.11711,0.0484855,0.042036,-0.0821416,0.742102,9.73083,-1.58971,-0.0629476,-0.245716,-0.230585,4.66333,1.87393,8.65386,-0.0135697,-0.00551453,0.0573221,-2.39278,-9.73002,-0.284057,0.0183783,-0.168073,0.0715606
0.047,9.37525,1.25487,3.22631,0.0632017,-0.158617,0.0421726,-0.727154,-9.74794,-1.27196,-0.0134479,-0.0429541,0.0490081,-1.72741,9.46917,-0.644251,0.0144859,0.000535379,-0.0558348,5.11911,-1.40462,8.11791,0.0499266,0.0428115,-0.083669,0.736217,9.73013,-1.58392,-0.0613312,-0.23332,-0.229481,4.66267,1.87399,8.65184,-0.013263,-0.00524653,0.0571496,-2.38508,-9.72765,-0.279373,0.0180736,-0.167709,0.0706428
0.048,9.3712,1.25798,3.2177,0.0639783,-0.161254,0.0419,-0.725043,-9.74547,-1.27104,-0.0143227,-0.0431473,0.0494588,-1.7312,9.46916,-0.635654,0.0141646,0.00103726,-0.0563433,5.11854,-1.39671,8.1188,0.0513008,0.0435635,-0.0851528,0.729913,9.72951,-1.57785,-0.0597992,-0.221066,-0.228421,4.66186,1.87395,8.64982,-0.0129632,-0.00497193,0.0569715,-2.37756,-9.72523,-0.274598,0.0177548,-0.167286,0.0697209
0.049,9.36662,1.26072,3.20903,0.0647287,-0.16381,0.0416392,-0.722758,-9.74296,-1.27022,-0.0151945,-0.0433048,0.0499332,-1.7348,9.46937,-0.626496,0.0138557,0.00149922,-0.0568337,5.11784,-1.38845,8.11979,0.0526036,0.044293,-0.0865884,0.723095,9.72893,-1.57153,-0.058356,-0.208949,-0.227417,4.66086,1.87381,8.64783,-0.0126689,-0.00469062,0.0567883,-2.37025,-9.72276,-0.269766,0.0174197,-0.166807,0.0687932
