Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.091,0.0570905,0.0807166,0.130876,0.0899338,0.0767642,0.0407913,0.0500266,0.0352255,0.058027,0.0577078,0.0679156,0.103678,0.0444342,0.0117746,0.0270349,0.0917249
0.092,0.0342023,0.0514197,0.148881,0.0661301,0.0569278,0.0542191,0.0436179,0.0541464,0.0607736,0.025054,0.0792072,0.104898,0.0361945,0.0328317,0.0178796,0.0718884
0.093,0.0720441,0.119169,0.146135,0.0935959,0.0715762,0.0734451,0.0607077,0.0382773,0.0586374,-0.042695,0.0608966,0.0871982,0.0670172,0.0303903,0.0346643,0.081654
0.094,0.0433575,0.0657629,0.0609906,0.0563644,0.0633365,0.0981644,0.0417868,0.0877158,0.0751169,0.0204764,0.0819537,0.0917758,0.0273444,0.0279489,0.023678,0.115834
0.095,0.0638043,0.0663733,-0.0070636,0.0975632,0.0767642,0.100606,0.0500266,0.0495688,0.0622995,0.0628958,0.0648639,0.0783481,0.0194098,0.0352731,0.0270349,0.0721936
0.096,0.052818,0.267789,-0.0082843,0.0755905,0.0651675,0.106404,0.0546042,0.0642172,0.0653513,0.0604544,0.0663898,0.0902499,0.0313116,0.0483957,0.0151331,0.0782971
0.097,0.0720441,0.235746,-0.0211017,0.059111,0.0770694,0.0713089,0.0607077,0.0300375,0.0601633,0.0726614,0.0663898,0.0780429,0.0307013,0.0404611,0.0383264,0.0758557
0.098,0.0656354,0.16525,0.0158246,0.0704025,0.081647,0.0499466,0.0790183,0.046517,0.0287302,0.0613699,0.0572345,0.101236,0.0328375,0.0413766,0.0261194,0.0789075
0.099,0.0497662,-0.0828577,0.0765546,0.0481247,0.0767642,0.0499466,0.0649802,0.0587241,0.033613,0.0543509,0.0666949,0.0875034,0.0343634,0.0306955,0.0270349,0.0700574
0.1,0.0537335,-0.108187,0.0649579,0.0548386,0.0953799,0.0438431,0.0704733,0.0520102,0.0543649,0.0601492,0.061507,0.101236,0.0227667,0.0468698,0.0459558,0.0621228
0.101,0.0241315,-0.0700403,0.0509198,0.0502609,0.0740176,0.0642899,0.0607077,0.0669638,0.0574167,0.0723563,0.0593707,0.113443,0.0426032,0.034968,0.0227625,0.0633435
0.102,0.0641095,-0.0257898,0.0262006,0.0649094,0.0843936,0.0435379,0.0271384,0.063912,0.0696237,0.0464163,0.0691364,0.102152,0.0352789,0.0572458,0.0383264,0.0575452
0.103,0.0479352,-0.0456262,0.0329144,0.046904,0.0492984,0.0591019,-0.00612579,0.0703207,0.0516183,0.0451956,0.0425861,0.123819,0.0264288,0.0401559,0.0169641,0.0505261
0.104,0.0723492,-0.0218225,0.0506146,0.0481247,0.0630313,0.067952,-0.000632629,0.0858847,0.0696237,0.0345145,0.0608966,0.103067,0.0453497,0.0496164,0.0639612,0.0743298
0.105,0.052818,0.0267004,0.0295575,0.0609421,0.0639468,0.0771072,0.00363983,0.0706259,0.0748117,0.0314627,0.052962,0.106729,0.0227667,0.0526682,0.0291711,0.0374036
0.106,0.0720441,0.0532507,0.0542767,0.0551437,0.0752383,0.0557449,0.0344626,0.0697104,0.0363596,0.0451956,0.0697467,0.109476,0.0300909,0.0487009,0.0471765,0.064259
0.107,0.0604474,0.0495886,0.0655682,0.0594162,0.0608951,0.0877884,0.0512473,0.0849692,0.0525339,0.0726614,0.078902,0.0991,0.0410773,0.0407663,0.0276453,0.045033
0.108,0.0366437,0.0321936,0.0585492,0.0331711,0.0602847,0.042012,0.054299,0.0791708,0.0369699,0.0519095,0.0547931,0.0997104,0.0606085,0.00689178,0.0575525,0.0566296
0.109,0.0464093,0.027616,0.0707562,0.0484299,0.0706607,0.0374344,0.049111,0.0773398,0.0696237,0.0982962,0.0837848,0.112223,0.0322272,0.0279489,0.0819665,0.045033
0.11,0.0573956,0.0138831,0.0594647,0.0350021,0.039838,0.0465897,0.064675,0.0864951,0.0687082,0.0918875,0.0721881,0.0835361,0.0303961,0.024592,0.0761682,0.0526624
0.111,0.0567853,0.0401282,0.0664838,0.0575851,0.0480777,0.0334671,0.0610129,0.0712363,0.0717599,0.0619803,0.0795123,0.112833,0.0465704,0.0291696,0.0783044,0.0374036
0.112,0.0531232,0.034635,0.0768597,0.0389694,0.0535709,0.0389603,0.0237814,0.0843588,0.0812204,0.0549612,0.0651691,0.0768222,0.0194098,0.0355783,0.0941736,0.046864
0.113,0.0592267,0.0355505,0.0680096,0.0462936,0.0459415,0.0288895,0.0396506,0.0718466,0.0812204,0.0519095,0.0718829,0.0981845,0.0419928,0.0532785,0.0926477,0.0407605
0.114,0.0500714,0.072782,0.0509198,0.0575851,0.0477725,0.0346878,0.0207297,0.0919882,0.0397165,0.0647269,0.0624225,0.0685825,0.0221564,0.0450388,0.0642664,0.0465588
0.115,0.070213,0.0697302,0.0661786,0.0496506,0.0410587,0.0340775,0.0478903,0.0858847,0.0894601,0.0613699,0.0566241,0.10734,0.0810553,0.0621286,0.0786096,0.064259
0.116,0.0549542,0.0852942,0.063432,0.0560593,0.0355655,0.0456741,0.0488058,0.0980917,0.0531442,0.0790701,0.0624225,0.0835361,0.0337531,0.0499216,0.0108606,0.0538831
0.117,0.0555646,0.0480627,0.0683148,0.0655197,0.0358707,0.0426224,0.0417868,0.0449912,0.0586374,0.0638113,0.0492999,0.0902499,0.0612189,0.0548044,0.0166589,0.0508313
0.118,0.0592267,0.0633215,0.0490887,0.0652145,0.0401431,0.0630691,0.0384299,0.0901572,0.0491769,0.0863943,0.0520465,0.0820102,0.0459601,0.0190988,-0.0373572,0.0349622
0.119,0.0537335,0.0941443,0.0558026,0.0700973,0.0505191,0.0294998,0.0839011,0.0834433,0.0568063,0.0387869,0.0636432,0.0588168,0.049317,0.054194,-0.0242346,0.0514417
0.12,0.0763165,0.0483679,0.0673993,0.0621628,0.0550967,0.0343826,0.0753561,0.0752036,0.0659616,0.0775442,0.0578448,0.0749912,0.042298,0.0181833,-0.0208777,0.0422864
0.121,0.0531232,0.0834631,0.0518353,0.0551437,0.0361758,0.0447586,0.0759665,0.0745932,0.0662668,0.0659476,0.0621173,0.0597324,0.0551154,0.0450388,0.034054,0.0526624
0.122,0.0613629,0.0956702,0.0820477,0.0777267,0.0422794,0.00417023,0.0616232,0.0837485,0.0790842,0.0693045,0.0691364,0.0771274,0.0599982,0.0371042,0.030697,0.0444226
0.123,0.0723492,0.0892615,0.0677045,0.0710129,0.0514346,-0.00376434,0.049111,0.0779501,0.0537546,0.0519095,0.0593707,0.0685825,0.0477911,0.0483957,0.0416833,0.0609021
0.124,0.0793683,0.0691199,0.0625165,0.0737595,0.0584537,-0.00193329,0.0555197,0.0852744,0.0702341,0.0894461,0.0779864,0.0569858,0.0590826,0.0453439,0.0548059,0.0389294
