Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.1,0.0531232,0.0444006,0.0515302,0.0917648,-0.00471771,0.0563553,0.0588766,0.0489584,0.0662668,0.13156,0.0514362,-0.000692444,0.0532843,0.0493112,0.0590784,0.069447
0.101,0.0628888,0.046842,0.0606854,0.0615524,0.0218326,0.059407,-0.0442728,0.0501791,0.0592477,0.0738821,0.0566241,0.0212802,0.0529791,0.052363,0.0554163,0.0551038
0.102,0.0601422,0.0636267,0.0451215,0.105803,0.0319034,0.0734451,-0.0830301,0.0507895,0.0882394,0.0525198,0.0776813,0.0282993,0.0612189,0.0682321,0.0722009,0.0645642
0.103,0.0589215,0.0639319,0.0173505,0.0801682,0.0483829,0.101826,-0.0357278,0.0495688,0.0812204,0.0442801,0.0624225,0.0310458,0.0563361,0.0642648,0.0630457,0.0496106
0.104,0.0665509,0.0578284,0.0445111,0.085051,0.090192,0.0694778,-0.0189432,0.0584189,0.0629098,0.0555716,0.0492999,0.00663177,0.0590826,0.0465646,0.086239,0.064259
0.105,0.0512921,0.0740027,0.0176556,0.0719284,0.150922,0.0603226,-0.0274881,0.056893,0.043989,0.0589285,0.0651691,-0.0025235,0.0587775,0.0508371,0.0770837,0.0773816
0.106,0.0543439,0.0663733,0.0268109,0.0743698,0.119184,0.0902298,0.0027243,0.0590292,0.0589426,0.0101004,0.0578448,0.02952,0.0535895,0.0709787,0.0673181,0.0670056
0.107,0.0638043,0.0868201,0.0591595,0.0911545,0.0898868,0.087178,-0.0155862,0.0575034,0.0641306,0.0482474,0.0627277,0.0182285,0.052674,0.0792184,0.0593835,0.0599866
0.108,0.0436627,0.0807166,0.0570233,0.0795578,0.0636417,0.0777176,-0.00643097,0.0538412,0.0592477,0.0665579,0.0886676,0.0423373,0.0465704,0.0496164,0.0548059,0.0636487
0.109,0.0396954,0.0498938,0.0725873,0.0786423,0.0550967,0.069783,0.0127951,0.0398032,0.0565012,0.0970755,0.0642535,0.0356235,0.0523688,0.0615182,0.0874597,0.069447
0.11,0.0790631,0.0587439,0.0783856,0.0737595,0.0514346,0.0624588,0.0347678,0.0532309,0.0757272,0.0967703,0.0438068,0.046915,0.0715948,0.0618234,0.0685388,0.0563245
0.111,0.058006,0.0126624,0.0759442,0.0826096,0.0413638,0.0673416,0.0304953,0.0410239,0.0833566,0.0729666,0.0395343,0.0743808,0.0679327,0.0606027,0.0520593,0.0529675
0.112,0.0796735,0.0422644,0.0713666,0.0609421,0.0471622,0.0758865,0.0396506,0.0559775,0.0403268,-0.0536813,0.040755,0.105814,0.0581671,0.0578561,0.0712854,0.062428
0.113,0.0512921,0.0526404,0.0612958,0.0554489,0.0303775,0.0694778,0.0378195,0.0452963,0.0717599,-0.00912567,0.0703571,0.074686,0.0563361,0.0532785,0.0645715,0.0535779
0.114,0.0653302,0.0813269,0.0695355,0.0527023,0.0300723,0.0703934,0.0539938,0.0523154,0.0571115,0.0268851,0.0502155,0.0609531,0.0490118,0.0657907,0.0728113,0.05724
0.115,0.0726544,0.083158,0.06862,0.0710129,0.0334293,0.0615433,0.0411765,0.0501791,0.0626047,-0.00637909,0.0431964,-0.029379,0.0715948,0.0587717,0.0804407,0.0340466
0.116,0.0625836,0.0630164,0.0411542,0.0679611,0.0343448,0.0569656,0.0680319,0.0477377,0.0680978,-0.032319,0.030379,-0.0464688,0.0633551,0.0602975,0.0697595,0.0618176
0.117,0.0448834,0.045011,0.0411542,0.0951218,0.0337344,0.0432327,0.0616232,0.0404135,0.0772531,0.0659476,0.0416705,-0.0553189,0.0725104,0.0660959,0.048092,0.0609021
0.118,0.0692975,0.0498938,0.0558026,0.0621628,0.0319034,0.0533035,0.0549094,0.0462119,0.0775583,0.0622855,0.0596759,-0.0214444,0.0517584,0.0862375,0.0694543,0.0776868
0.119,0.0378644,0.0898718,0.0237592,0.0276779,0.057233,0.0725296,0.0469748,0.0562827,0.0635202,0.0610648,0.0624225,0.0225009,0.0523688,0.114008,0.0596887,0.0889783
0.12,0.0674664,0.0642371,0.0704511,0.0240158,0.0615054,0.0597122,0.0701682,0.0544516,0.0693185,0.0647269,0.0782916,0.0109042,0.0679327,0.0837961,0.0679285,0.0688367
0.121,0.0696027,0.0904822,0.0765546,0.0227951,0.076459,0.074971,0.0652853,0.0553671,0.0537546,-0.00393768,0.0758502,0.0368442,0.0789191,0.0770822,0.0551111,0.0703625
0.122,0.0799786,0.069425,0.128129,0.0496506,0.0727969,0.0713089,0.0643698,0.0587241,0.0949533,0.00338654,0.0865314,0.0423373,0.0618292,0.0554147,0.0621301,0.0639539
0.123,0.0491559,0.072782,0.135148,0.172942,0.0483829,0.0761917,0.0655905,0.0608603,0.0577219,0.0833426,0.0691364,0.00235931,0.049317,0.0673166,0.0471765,0.0776868
0.124,0.0583112,0.0465369,0.0976117,0.132048,0.0410587,0.0740555,0.0719992,0.0806967,0.0574167,0.0711356,0.0438068,0.0112094,0.0593878,0.052363,0.0343591,0.0706677
0.125,0.0616681,0.0529456,0.0323041,0.097258,0.0209171,0.0728348,0.0784079,0.0492636,0.0763376,0.130645,0.0572345,0.0307407,0.0538947,0.0383249,0.0545007,0.0660901
0.126,0.04763,0.132596,0.0390179,0.0957321,0.0389224,0.07314,0.0710837,0.0633017,0.066572,0.123931,0.0837848,0.0231113,0.0468756,0.0258127,0.0422937,0.059071
0.127,0.0760114,0.114896,0.035661,0.09207,0.0584537,0.07314,0.0448386,0.0593344,0.0522287,-0.00668427,0.0639484,0.0609531,0.0548102,0.0261179,0.0535852,0.072804
0.128,0.0567853,0.0697302,0.0350507,0.100615,0.119184,0.0932816,0.0463644,0.0605551,0.058027,0.00949005,0.0895831,0.0414218,0.0694586,0.0514474,0.0569421,0.0529675
0.129,0.0735699,0.067594,0.0527509,0.0917648,0.0770694,0.0752762,0.0393454,0.0758139,0.073591,0.0271902,0.0450275,0.0347079,0.0642706,0.0599924,0.0639612,0.0584607
0.13,0.0622784,0.0352454,0.0646527,0.0911545,0.0666934,0.0719192,0.0622336,0.0480429,0.0565012,0.0937186,0.0731036,0.0368442,0.0679327,0.0416818,0.0648767,0.0657849
0.131,0.0515973,0.0596594,0.0673993,0.0673508,0.0395328,0.0670364,0.0576559,0.0694052,0.0577219,0.18283,0.0636432,0.0484409,0.0532843,0.0877634,0.0465662,0.0660901
0.132,0.0644147,0.024259,0.0536664,0.0682663,-0.0114316,0.0685623,0.0512473,0.0681845,0.0778635,0.105926,0.0773761,0.0377597,0.0529791,0.0459543,0.0560266,0.0605969
0.133,0.018028,-0.00107056,0.0390179,0.0630783,0.0279361,0.0673416,0.0585715,0.0584189,0.0815256,0.0393973,0.0999591,0.0499667,0.0490118,0.0380197,0.0450403,0.0715832
0.134,0.0549542,0.012052,0.00819519,0.0545334,-0.0221127,0.0526932,0.0506369,0.0663535,0.0574167,0.0271902,0.078902,0.0542392,0.00720276,0.0517526,0.0407678,0.0554089
0.135,0.0479352,0.0617957,0.0262006,0.0618576,0.00687897,0.0673416,0.0494162,0.0745932,0.0433786,0.0741873,0.0978229,0.0594272,0.0484015,0.0505319,0.0422937,0.0612073
0.136,0.0656354,0.00900024,0.0295575,0.0646042,0.0251895,0.0557449,0.0427023,0.0648276,0.0543649,0.09616,0.0718829,0.0597324,0.0300909,0.0596872,0.0303918,0.0667004
0.137,0.058006,-0.0270105,0.0381024,0.0630783,0.0358707,0.0621536,0.0451437,0.0834433,0.0619943,0.0879202,0.0590656,0.0517978,0.0273444,0.0374094,0.0407678,0.0593762
0.138,0.0781476,-0.0163293,0.0600751,0.053923,0.0380069,0.0713089,0.0518576,0.0590292,0.0604684,0.0686942,0.0709674,0.0698032,0.052674,0.0477853,0.0459558,0.0718884
0.139,0.0363385,0.00381226,0.056413,0.0505661,0.0431949,0.0789383,0.0503317,0.062081,0.063215,0.0772391,0.0700519,0.06431,0.0908209,0.057551,0.0554163,0.0502209
0.14,0.042442,0.0334143,0.0661786,0.0472092,0.0413638,0.0862625,0.0555197,0.0819174,0.0619943,0.0564871,0.0315997,0.0633945,0.0712897,0.0499216,0.0416833,0.0621228
0.141,0.0427472,0.0230383,0.0731976,0.0655197,0.0373965,0.0554398,0.0539938,0.0700156,0.066572,0.0427542,0.0557086,0.0524081,0.0575568,0.0450388,0.0685388,0.062428
0.142,0.0564801,0.0544714,0.0112469,0.0435471,0.0108463,0.0319412,0.0604025,0.0691,0.0357492,0.0519095,0.0666949,0.0682773,0.064881,0.049006,0.0425989,0.0633435
0.143,0.052818,0.0566077,0.0216229,0.0478195,0.0389224,0.0551346,0.0674216,0.0822226,0.0671823,0.0720511,0.0758502,0.0737704,0.0645758,0.0493112,0.0554163,0.0538831
0.144,0.0479352,0.055387,0.0222333,0.0465988,0.0431949,0.0600174,0.0582663,0.0593344,0.0674875,0.0790701,0.0694415,0.0698032,0.0715948,0.0505319,0.0752527,0.0578503
0.145,0.0747906,0.0462317,0.0310834,0.0575851,0.0425845,0.0670364,0.0561301,0.0843588,0.0522287,0.108062,0.0322101,0.0676669,0.061524,0.0825754,0.0853235,0.0712781
0.146,0.0592267,0.0279211,0.0405438,0.0401901,0.0581485,0.0630691,0.0634543,0.074288,0.0717599,0.0906668,0.0456378,0.057291,0.0450446,0.0480905,0.0932581,0.0639539
0.147,0.0625836,0.0544714,0.0365765,0.0472092,0.0456363,0.0572708,0.0585715,0.0736777,0.051008,0.0293265,0.0535724,0.0618686,0.0468756,0.0612131,0.0743372,0.0648694
