Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s,mm/s�,mm/s�,mm/s�,rad/s,rad/s,rad/s
0.03,9.51582,1.61762,2.3713,-0.123956,-0.0996903,-0.0257667,0.263626,-9.84209,-0.684557,-0.0621332,-0.00607702,0.0315604,-1.42239,9.59826,-0.682052,-0.0213934,-0.00525774,-0.0250562,4.96435,-1.98583,8.12683,0.00538109,0.0411918,-0.0307144,-2.60238,9.42383,-1.27009,0.0073696,-0.0427011,0.0120802,4.11447,1.0184,9.11172,-0.00725488,-0.00143432,0.0287169,-1.40195,-9.8168,-1.54974,-0.0344968,0.0123014,0.0205588
0.031,9.51392,1.6165,2.37126,-0.123718,-0.0987004,-0.0250536,0.264658,-9.8409,-0.684629,-0.0622708,-0.00628423,0.0310317,-1.42278,9.59464,-0.683528,-0.0214959,-0.0040788,-0.0253734,4.96353,-1.9869,8.12384,0.00545703,0.0413386,-0.0300499,-2.59575,9.42142,-1.27075,0.00766621,-0.0413196,0.012192,4.11497,1.01742,9.109,-0.0073512,-0.00119749,0.0288709,-1.39918,-9.81492,-1.55215,-0.0343592,0.0125729,0.020713
0.032,9.51194,1.6151,2.37118,-0.123545,-0.0977184,-0.0242963,0.26554,-9.83982,-0.684673,-0.0624173,-0.00647687,0.030494,-1.42335,9.59111,-0.685042,-0.0215941,-0.00291432,-0.0256995,4.96266,-1.98793,8.12081,0.00553038,0.0414939,-0.0293963,-2.58939,9.41908,-1.27167,0.00795317,-0.039915,0.0123081,4.11554,1.01648,9.10638,-0.00742852,-0.000961804,0.0290128,-1.39646,-9.81333,-1.5543,-0.0342215,0.0128974,0.0208323
0.033,9.50985,1.61345,2.37104,-0.123436,-0.0967431,-0.0234961,0.266263,-9.83883,-0.684696,-0.0625711,-0.00665709,0.0299468,-1.42403,9.58768,-0.686587,-0.0216868,-0.00176393,-0.0260333,4.96178,-1.9889,8.11777,0.00560192,0.0416556,-0.0287551,-2.58331,9.4168,-1.27282,0.00823014,-0.0384888,0.0124294,4.11614,1.01555,9.10385,-0.00748694,-0.000725636,0.0291425,-1.39379,-9.812,-1.5562,-0.0340855,0.01327,0.0209152
0.034,9.50763,1.61154,2.37082,-0.123388,-0.0957737,-0.0226542,0.266835,-9.83791,-0.684699,-0.0627301,-0.00682721,0.0293901,-1.42478,9.58433,-0.688145,-0.021774,-0.000626007,-0.0263721,4.96095,-1.98984,8.11475,0.00567342,0.0418186,-0.0281281,-2.57754,9.41462,-1.2742,0.00849727,-0.0370435,0.0125566,4.11675,1.01463,9.10138,-0.00752844,-0.000487836,0.029261,-1.39117,-9.81091,-1.5579,-0.0339534,0.0136856,0.0209609
0.035,9.50526,1.60941,2.37049,-0.1234,-0.0948094,-0.0217719,0.267262,-9.83705,-0.68468,-0.0628923,-0.00698954,0.0288242,-1.42551,9.58106,-0.689695,-0.0218556,0.000501163,-0.0267133,4.96022,-1.99074,8.11179,0.00574674,0.0419778,-0.027517,-2.57209,9.41256,-1.27578,0.00875475,-0.0355816,0.0126905,4.11735,1.01369,9.09893,-0.00755514,-0.000247308,0.0293697,-1.38863,-9.80999,-1.55941,-0.0338271,0.0141394,0.0209686
0.036,9.50272,1.60707,2.37003,-0.123469,-0.0938492,-0.0208505,0.267554,-9.83623,-0.684639,-0.0630557,-0.00714618,0.0282495,-1.42617,9.57787,-0.69122,-0.0219316,0.00161885,-0.0270541,4.95962,-1.99161,8.10894,0.00582383,0.0421293,-0.026923,-2.56697,9.41065,-1.27753,0.00900242,-0.0341052,0.0128314,4.11791,1.01272,9.09649,-0.00756924,-2.84229e-006,0.0294696,-1.38617,-9.80923,-1.56077,-0.0337087,0.0146271,0.020938
0.037,9.49999,1.60454,2.36941,-0.123592,-0.0928927,-0.0198931,0.267721,-9.83545,-0.684583,-0.0632183,-0.00729855,0.0276686,-1.42673,9.57475,-0.692701,-0.022003,0.0027269,-0.0273925,4.95919,-1.99248,8.10621,0.00590701,0.0422744,-0.0263465,-2.56222,9.40888,-1.27943,0.00923904,-0.0326162,0.0129775,4.11842,1.01171,9.09403,-0.00757337,0.000247125,0.0295615,-1.38381,-9.80859,-1.562,-0.0335996,0.0151468,0.0208696
0.038,9.49704,1.60185,2.36864,-0.123763,-0.0919389,-0.0189039,0.267774,-9.83472,-0.684524,-0.0633782,-0.00744733,0.0270861,-1.42717,9.5717,-0.694125,-0.0220712,0.00382367,-0.0277267,4.95891,-1.99336,8.1036,0.00599896,0.0424192,-0.0257865,-2.55782,9.40724,-1.28141,0.00946217,-0.0311158,0.0131253,4.11885,1.01066,9.09158,-0.00757056,0.000504538,0.0296458,-1.38159,-9.80805,-1.5631,-0.0335007,0.0156988,0.0207653
0.039,9.49388,1.59902,2.3677,-0.123975,-0.0909871,-0.0178881,0.267729,-9.83406,-0.684475,-0.0635334,-0.00759297,0.0265072,-1.42751,9.56871,-0.69548,-0.0221382,0.00490695,-0.028055,4.95877,-1.99426,8.1011,0.00610248,0.0425721,-0.0252416,-2.55378,9.4057,-1.28342,0.00966898,-0.0296049,0.0132706,4.11921,1.0096,9.08914,-0.00756402,0.000771493,0.0297226,-1.37955,-9.80758,-1.56411,-0.0334127,0.0162842,0.0206275
