Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.03,9.41826,1.5758,2.06487,0.00684238,-0.115686,0.0192641,0.733228,-9.85045,-0.238251,-0.0519264,0.0292183,0.0252957,-1.02184,9.66259,-0.497638,-0.0114138,0.0116411,-0.00837564,4.95989,-2.37789,8.01196,-0.0191049,0.00945708,0.00187045,-2.39048,9.5179,-1.13277,-0.0211895,0.0165256,0.00777219,4.52594,1.86495,8.74915,-0.0242262,0.0125899,0.0153817,-1.38527,-9.87811,-0.54252,0.0154815,0.0192953,-0.0373897
0.031,9.41656,1.57552,2.06359,0.00753184,-0.115302,0.0188895,0.733363,-9.84851,-0.237903,-0.0519726,0.0293247,0.0253719,-1.02234,9.65989,-0.497469,-0.0114456,0.0117519,-0.00836516,4.95882,-2.377,8.0101,-0.0190588,0.0094786,0.00178962,-2.3896,9.5152,-1.13277,-0.021412,0.0170143,0.00771271,4.52587,1.86486,8.74775,-0.0241944,0.0126364,0.0153682,-1.38372,-9.87729,-0.542271,0.0154108,0.0185008,-0.0373164
0.032,9.41494,1.5753,2.06196,0.00822869,-0.114889,0.0185071,0.733455,-9.84683,-0.237529,-0.0520258,0.0294275,0.0254417,-1.02279,9.65736,-0.497234,-0.0114761,0.0118606,-0.00835168,4.95776,-2.37613,8.00853,-0.0190089,0.00950061,0.00171468,-2.38883,9.51275,-1.13267,-0.0216312,0.0175343,0.00763747,4.52597,1.86468,8.74646,-0.0241739,0.0126815,0.015368,-1.38208,-9.87669,-0.542208,0.0153497,0.0176993,-0.0372426
0.033,9.41341,1.57516,2.06004,0.00893164,-0.11445,0.0181198,0.733505,-9.84542,-0.237139,-0.0520858,0.0295283,0.0255061,-1.0232,9.65501,-0.496921,-0.0115059,0.0119709,-0.00833701,4.95673,-2.37532,8.00726,-0.0189544,0.00952122,0.00164725,-2.38817,9.51052,-1.13245,-0.0218462,0.0180816,0.00754906,4.52621,1.8644,8.74528,-0.0241627,0.0127226,0.0153803,-1.3804,-9.87631,-0.542329,0.0152974,0.0168945,-0.0371681
0.034,9.41205,1.57511,2.05788,0.00964015,-0.113988,0.0177299,0.733507,-9.84426,-0.236748,-0.0521518,0.0296305,0.0255658,-1.02361,9.65285,-0.496519,-0.011536,0.0120862,-0.00832401,4.95572,-2.37463,8.00626,-0.0188952,0.00953937,0.00158678,-2.38762,9.50848,-1.13215,-0.022057,0.0186515,0.00745084,4.52654,1.86403,8.74418,-0.0241576,0.0127567,0.0154037,-1.37873,-9.87615,-0.542634,0.0152518,0.0160897,-0.0370912
0.035,9.41089,1.57518,2.05556,0.0103537,-0.113506,0.0173392,0.733455,-9.84331,-0.23637,-0.0522229,0.0297379,0.0256217,-1.02404,9.65089,-0.496018,-0.0115675,0.0122101,-0.00831565,4.95471,-2.37409,8.00548,-0.0188316,0.00955407,0.00153249,-2.38713,9.50657,-1.13178,-0.0222637,0.0192389,0.00734619,4.52692,1.86359,8.74315,-0.0241554,0.0127809,0.0154369,-1.37712,-9.87621,-0.543119,0.0152108,0.0152886,-0.0370101
0.036,9.40998,1.57537,2.05315,0.0110721,-0.113009,0.0169494,0.733347,-9.84254,-0.236018,-0.0522983,0.0298534,0.0256746,-1.02451,9.64915,-0.495408,-0.0116013,0.0123453,-0.00831468,4.95371,-2.37376,8.00491,-0.018764,0.00956442,0.00148361,-2.3867,9.50477,-1.13135,-0.0224662,0.0198394,0.00723793,4.52732,1.86308,8.74217,-0.0241537,0.0127928,0.0154784,-1.37561,-9.87649,-0.54378,0.0151724,0.0144944,-0.0369238
0.037,9.40932,1.57566,2.05071,0.0117957,-0.112499,0.0165606,0.733204,-9.84194,-0.235709,-0.0523782,0.0299774,0.0257246,-1.02502,9.64761,-0.494683,-0.0116373,0.012492,-0.00832309,4.9527,-2.37363,8.00449,-0.0186936,0.00956976,0.00143934,-2.38631,9.50302,-1.13088,-0.0226636,0.0204506,0.00712717,4.5277,1.86253,8.74121,-0.0241516,0.012792,0.0155262,-1.37421,-9.87699,-0.544593,0.0151343,0.0137092,-0.0368332
0.038,9.40885,1.576,2.04829,0.0125254,-0.111981,0.016172,0.733064,-9.84146,-0.235462,-0.0524636,0.0301077,0.0257718,-1.02557,9.64627,-0.493842,-0.0116745,0.0126476,-0.00834213,4.95167,-2.37368,8.00417,-0.0186224,0.00956968,0.00139883,-2.386,9.50131,-1.1304,-0.0228542,0.0210726,0.00701313,4.52804,1.86194,8.74026,-0.0241507,0.0127801,0.0155782,-1.37287,-9.87764,-0.545515,0.0150941,0.012934,-0.0367415
0.039,9.40852,1.57632,2.04595,0.0132626,-0.111456,0.015782,0.732974,-9.84109,-0.235293,-0.0525558,0.0302413,0.0258158,-1.02615,9.64511,-0.492882,-0.0117113,0.0128084,-0.00837276,4.95061,-2.37389,8.0039,-0.0185531,0.00956387,0.00136121,-2.38578,9.49962,-1.12993,-0.0230363,0.0217058,0.00689435,4.52835,1.86134,8.7393,-0.0241532,0.0127599,0.015632,-1.37154,-9.87842,-0.546496,0.0150493,0.0121694,-0.0366528
0.04,9.40825,1.57656,2.04375,0.0140085,-0.110928,0.0153893,0.732983,-9.84079,-0.235222,-0.0526561,0.0303752,0.0258563,-1.02676,9.64412,-0.491802,-0.0117464,0.0129707,-0.00841596,4.9495,-2.37421,8.00361,-0.018488,0.00955201,0.00132563,-2.38569,9.49792,-1.12949,-0.0232077,0.0223509,0.00676936,4.52859,1.86074,8.73829,-0.0241611,0.0127337,0.0156853,-1.37014,-9.87927,-0.54749,0.0149976,0.0114161,-0.0365711
0.041,9.40801,1.57669,2.0417,0.0147653,-0.110399,0.0149922,0.733113,-9.84052,-0.235257,-0.0527655,0.0305064,0.0258932,-1.02739,9.64329,-0.490614,-0.0117787,0.0131309,-0.00847153,4.94834,-2.3746,8.00326,-0.0184282,0.00953418,0.00129262,-2.38576,9.49621,-1.12908,-0.0233678,0.0230089,0.00663745,4.52878,1.86018,8.73723,-0.0241767,0.0127037,0.0157364,-1.36865,-9.88014,-0.548455,0.0149373,0.0106745,-0.0364995
0.042,9.4078,1.57668,2.03981,0.0155369,-0.109872,0.0145894,0.733342,-9.84028,-0.235389,-0.0528844,0.0306326,0.0259264,-1.02802,9.6426,-0.489357,-0.011808,0.0132855,-0.00853683,4.94712,-2.37503,8.00282,-0.0183725,0.00951135,0.00126549,-2.38599,9.49452,-1.1287,-0.0235181,0.023681,0.00649939,4.52891,1.85964,8.73612,-0.0242022,0.0126713,0.0157847,-1.36707,-9.88101,-0.549372,0.014869,0.0099448,-0.0364384
0.043,9.40765,1.57657,2.03807,0.016328,-0.109348,0.0141793,0.733625,-9.84004,-0.235597,-0.0530128,0.0307514,0.0259559,-1.02866,9.64209,-0.488083,-0.0118343,0.013431,-0.00860803,4.94587,-2.37544,8.00227,-0.018318,0.00948488,0.00124896,-2.38642,9.4929,-1.12832,-0.023661,0.0243689,0.0063567,4.529,1.85913,8.73499,-0.0242398,0.0126375,0.0158302,-1.3654,-9.88183,-0.550231,0.0147942,0.00922697,-0.0363877
0.044,9.40758,1.57637,2.03644,0.0171434,-0.108829,0.0137606,0.733917,-9.8398,-0.235863,-0.0531507,0.0308607,0.0259817,-1.0293,9.64174,-0.486845,-0.0118578,0.0135638,-0.00868131,4.94459,-2.3758,8.00159,-0.0182622,0.00945614,0.00124775,-2.38706,9.4914,-1.12792,-0.0237994,0.0250741,0.00621088,4.52908,1.85864,8.73383,-0.0242918,0.0126034,0.0158732,-1.36367,-9.88258,-0.55102,0.0147143,0.00852103,-0.0363467
0.045,9.40763,1.57608,2.03491,0.0179872,-0.108318,0.0133318,0.734176,-9.83952,-0.236167,-0.0532978,0.0309589,0.026004,-1.02994,9.64156,-0.485683,-0.0118784,0.0136812,-0.00875328,4.9433,-2.37607,8.00077,-0.0182025,0.00942631,0.00126499,-2.38792,9.49007,-1.12746,-0.0239346,0.025797,0.0060635,4.52915,1.85818,8.73268,-0.0243598,0.0125698,0.0159136,-1.3619,-9.88322,-0.551732,0.0146305,0.00782691,-0.0363149
0.046,9.40781,1.57571,2.03345,0.0188605,-0.107816,0.0128927,0.734372,-9.83921,-0.236501,-0.0534525,0.0310466,0.0260238,-1.03057,9.64153,-0.484615,-0.0118958,0.0137831,-0.00882174,4.94201,-2.37626,7.99982,-0.0181371,0.00939616,0.00129926,-2.38899,9.4889,-1.12693,-0.0240653,0.0265343,0.00591629,4.52922,1.85773,8.73153,-0.0244441,0.0125374,0.0159517,-1.3601,-9.88374,-0.552374,0.0145432,0.00714422,-0.0362907
0.047,9.40814,1.57524,2.03203,0.0197625,-0.107326,0.0124431,0.734483,-9.83885,-0.236859,-0.0536122,0.0311264,0.0260428,-1.0312,9.64163,-0.483629,-0.0119091,0.0138719,-0.00888562,4.94075,-2.37641,7.99877,-0.0180646,0.00936601,0.00134492,-2.39021,9.48787,-1.12629,-0.0241873,0.0272793,0.00577116,4.52931,1.85727,8.73038,-0.0245431,0.0125067,0.0159877,-1.35832,-9.88412,-0.55296,0.0144522,0.00647231,-0.0362718
0.048,9.40865,1.57466,2.03061,0.0206915,-0.10685,0.0119836,0.734491,-9.83843,-0.237239,-0.0537739,0.0312015,0.026063,-1.03182,9.64179,-0.482711,-0.0119175,0.0139507,-0.00894415,4.93955,-2.37656,7.99767,-0.0179838,0.00933605,0.00139506,-2.39155,9.48695,-1.12551,-0.0242955,0.0280244,0.00563005,4.52944,1.85678,8.72923,-0.0246553,0.0124778,0.0160218,-1.35657,-9.88437,-0.553508,0.014357,0.00581044,-0.0362554
0.049,9.40933,1.57394,2.02918,0.0216458,-0.106392,0.0115142,0.73438,-9.83795,-0.237639,-0.0539347,0.031275,0.0260862,-1.03243,9.642,-0.481842,-0.0119202,0.0140223,-0.00899659,4.93843,-2.37677,7.99655,-0.0178934,0.00930656,0.00144294,-2.39295,9.48609,-1.12457,-0.0243852,0.028762,0.00549479,4.5296,1.85623,8.72806,-0.0247787,0.0124512,0.0160542,-1.35489,-9.88446,-0.55404,0.0142571,0.00515793,-0.0362392
