Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.031,-2.4302,9.52259,0.331534,0.0866209,1.1205,-0.194135,-0.986118,9.82229,-0.596394,0.289111,0.396549,-0.26023,5.8984,-7.60878,1.54792,-0.0634109,-0.583297,-0.623379,3.48813,1.92026,9.86791,-0.378398,-0.212373,0.0840197,1.18235,-10.0364,0.0209864,0.232683,0.294153,1.09776,4.32818,-2.88284,8.46592,-0.0282028,0.0255546,0.0436957,4.32818,-2.88284,8.46592,-0.0282028,0.0255546,0.0436957
0.032,-2.42686,9.55557,0.29596,0.0830524,1.09305,-0.189779,-0.988012,9.85284,-0.540443,0.286004,0.389147,-0.26091,5.84219,-7.62425,1.54063,-0.0578937,-0.573939,-0.628807,3.4655,1.91366,9.90436,-0.369871,-0.21543,0.084405,1.18317,-10.0733,0.0261162,0.228439,0.293316,1.11102,4.20465,-2.83466,8.45725,-0.0237271,0.0161417,0.0413739,4.20465,-2.83466,8.45725,-0.0237271,0.0161417,0.0413739
0.033,-2.4182,9.59153,0.260732,0.0789492,1.06598,-0.185649,-0.98383,9.88626,-0.482837,0.282665,0.382032,-0.261692,5.78837,-7.64404,1.53207,-0.0525208,-0.564211,-0.634329,3.44041,1.90436,9.94494,-0.361053,-0.218301,0.0844521,1.18328,-10.1056,0.0319467,0.223797,0.292306,1.12426,4.06693,-2.77874,8.44963,-0.0192399,0.0047579,0.0393225,4.06693,-2.77874,8.44963,-0.0192399,0.0047579,0.0393225
0.034,-2.40954,9.6275,0.225505,0.0748459,1.0389,-0.181519,-0.979648,9.91968,-0.425231,0.279327,0.374917,-0.262474,5.73455,-7.66383,1.52351,-0.047148,-0.554482,-0.639852,3.41532,1.89507,9.98551,-0.352235,-0.221172,0.0844992,1.1834,-10.138,0.0377771,0.219154,0.291296,1.13751,3.9292,-2.72282,8.44201,-0.0147527,-0.00662592,0.0372711,3.9292,-2.72282,8.44201,-0.0147527,-0.00662592,0.0372711
0.035,-2.40087,9.66346,0.190277,0.0707427,1.01183,-0.177389,-0.975466,9.9531,-0.367624,0.275989,0.367802,-0.263256,5.68072,-7.68363,1.51496,-0.0417751,-0.544753,-0.645374,3.39023,1.88577,10.0261,-0.343417,-0.224043,0.0845463,1.18351,-10.1703,0.0436075,0.214512,0.290287,1.15076,3.79148,-2.66691,8.43439,-0.0102655,-0.0180098,0.0352197,3.79148,-2.66691,8.43439,-0.0102655,-0.0180098,0.0352197
0.036,-2.40728,9.70063,0.149728,0.0663696,0.984727,-0.174625,-0.925882,9.98243,-0.331319,0.273829,0.363866,-0.264227,5.62875,-7.70551,1.5294,-0.0367307,-0.536077,-0.650252,3.3668,1.86653,10.0776,-0.33371,-0.226785,0.0870851,1.17787,-10.2147,0.0466264,0.209632,0.288543,1.16325,3.68493,-2.63216,8.43637,-0.00857363,-0.0275363,0.0343127,3.68493,-2.63216,8.43637,-0.00857363,-0.0275363,0.0343127
0.037,-2.43252,9.73932,0.102525,0.0616592,0.957591,-0.173569,-0.819547,10.0066,-0.321639,0.273141,0.363906,-0.265436,5.57908,-7.72998,1.5726,-0.0320968,-0.528718,-0.654323,3.34544,1.83487,10.1427,-0.322894,-0.229366,0.0927385,1.16503,-10.2743,0.046131,0.204456,0.285883,1.17478,3.61735,-2.62388,8.45035,-0.010376,-0.0347412,0.0348364,3.61735,-2.62388,8.45035,-0.010376,-0.0347412,0.0348364
0.038,-2.45776,9.778,0.0553227,0.0569488,0.930456,-0.172512,-0.713212,10.0309,-0.31196,0.272453,0.363946,-0.266644,5.52942,-7.75446,1.61579,-0.0274629,-0.521358,-0.658394,3.32408,1.80322,10.2079,-0.312078,-0.231948,0.0983919,1.1522,-10.3338,0.0456355,0.19928,0.283223,1.18631,3.54977,-2.61559,8.46433,-0.0121783,-0.0419461,0.03536,3.54977,-2.61559,8.46433,-0.0121783,-0.0419461,0.03536
0.039,-2.483,9.81668,0.00812014,0.0522384,0.90332,-0.171456,-0.606877,10.0551,-0.30228,0.271764,0.363986,-0.267852,5.47975,-7.77894,1.65899,-0.022829,-0.513998,-0.662465,3.30272,1.77156,10.273,-0.301261,-0.234529,0.104045,1.13937,-10.3934,0.0451401,0.194104,0.280562,1.19784,3.4822,-2.60731,8.47831,-0.0139806,-0.049151,0.0358837,3.4822,-2.60731,8.47831,-0.0139806,-0.049151,0.0358837
0.04,-2.50824,9.85536,-0.0390824,0.047528,0.876185,-0.1704,-0.500542,10.0793,-0.292601,0.271076,0.364026,-0.26906,5.43008,-7.80342,1.70219,-0.018195,-0.506639,-0.666536,3.28136,1.7399,10.3382,-0.290445,-0.237111,0.109699,1.12654,-10.4529,0.0446446,0.188927,0.277902,1.20937,3.41462,-2.59903,8.49229,-0.015783,-0.056356,0.0364073,3.41462,-2.59903,8.49229,-0.015783,-0.056356,0.0364073
