Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.031,-2.7582,9.37798,-2.13934,0.0201844,-0.00537716,-0.0745779,-3.06692,-9.2295,-0.945468,-0.00402361,-0.0244783,-0.0410009,-0.517543,9.65495,-1.59949,0.0725494,0.0821018,-0.0249723,-0.995339,-9.88138,-0.734943,0.0340238,0.00215964,0.00698827,4.122,-3.64976,7.98497,-0.00457361,0.00843961,0.0243341,4.09218,2.68262,8.68079,-0.0358687,-0.0132701,0.0214474,9.13015,0.567383,3.26128,0.145644,-0.0363117,-0.0185697
0.032,-2.76426,9.37384,-2.13091,0.0214331,-0.00553071,-0.076141,-3.06341,-9.21661,-0.94128,-0.0093656,-0.0304458,-0.0418737,-0.505006,9.64179,-1.60426,0.0706525,0.077432,-0.022431,-1.03179,-9.87708,-0.770199,0.0349626,0.00115153,0.00586735,4.12268,-3.62335,8.0097,-0.00735917,0.00688979,0.0242403,4.08502,2.68351,8.69036,-0.0350702,-0.0129482,0.0219889,9.1347,0.521141,3.21942,0.140986,-0.0342704,-0.0159816
0.033,-2.7669,9.36963,-2.12362,0.0231295,-0.00550915,-0.0780264,-3.06016,-9.20432,-0.938773,-0.0147629,-0.0364062,-0.042677,-0.490797,9.62736,-1.60892,0.0688646,0.0728986,-0.0197765,-1.07681,-9.87165,-0.808349,0.0356157,0.000305556,0.00459088,4.12714,-3.59376,8.0411,-0.0103934,0.00529939,0.0239885,4.07593,2.68237,8.70361,-0.0342196,-0.0127057,0.0226668,9.14297,0.471224,3.16832,0.135509,-0.0320671,-0.0134938
0.034,-2.76954,9.36541,-2.11634,0.0248258,-0.00548759,-0.0799117,-3.05692,-9.19203,-0.936266,-0.0201602,-0.0423665,-0.0434803,-0.476588,9.61293,-1.61357,0.0670767,0.0683651,-0.0171219,-1.12184,-9.86623,-0.846499,0.0362688,-0.000540414,0.00331441,4.1316,-3.56417,8.07249,-0.0134276,0.00370898,0.0237367,4.06685,2.68124,8.71687,-0.033369,-0.0124632,0.0233446,9.15125,0.421306,3.11723,0.130032,-0.0298638,-0.0110059
0.035,-2.77218,9.3612,-2.10906,0.0265221,-0.00546603,-0.0817971,-3.05368,-9.17975,-0.933758,-0.0255575,-0.0483268,-0.0442837,-0.462379,9.5985,-1.61822,0.0652888,0.0638317,-0.0144674,-1.16686,-9.8608,-0.884649,0.036922,-0.00138638,0.00203794,4.13605,-3.53458,8.10389,-0.0164618,0.00211857,0.0234849,4.05776,2.6801,8.73012,-0.0325185,-0.0122207,0.0240225,9.15952,0.371388,3.06613,0.124554,-0.0276605,-0.00851805
0.036,-2.77396,9.3697,-2.10515,0.0263626,-0.00610399,-0.0827842,-3.05806,-9.17783,-0.929542,-0.0304834,-0.0535276,-0.0451657,-0.442594,9.58868,-1.62802,0.0641882,0.0599739,-0.0130492,-1.1958,-9.85121,-0.901676,0.0361826,-0.00271566,0.00174234,4.13074,-3.51504,8.11064,-0.0181903,0.00162238,0.0231026,4.05284,2.67966,8.73511,-0.0325302,-0.0120489,0.0249751,9.12452,0.336325,3.05175,0.122205,-0.0252049,-0.00476833
0.037,-2.77465,9.39408,-2.10545,0.0238832,-0.00756636,-0.0826484,-3.07199,-9.18888,-0.92319,-0.0348199,-0.057779,-0.0461461,-0.415839,9.58462,-1.64426,0.0639466,0.0569604,-0.0131766,-1.20465,-9.83641,-0.892299,0.0337026,-0.00464906,0.00267283,4.11321,-3.50807,8.08658,-0.0182865,0.00249396,0.0225574,4.05313,2.68009,8.72976,-0.0336196,-0.0119654,0.0262711,9.03542,0.31983,3.08329,0.123764,-0.0224341,0.000558701
0.038,-2.77535,9.41847,-2.10576,0.0214038,-0.00902874,-0.0825127,-3.08592,-9.19993,-0.916838,-0.0391565,-0.0620305,-0.0471265,-0.389084,9.58057,-1.6605,0.063705,0.053947,-0.0133039,-1.21349,-9.82161,-0.882922,0.0312226,-0.00658247,0.00360332,4.09569,-3.50111,8.06252,-0.0183827,0.00336554,0.0220121,4.05342,2.68052,8.72441,-0.0347091,-0.0118819,0.0275671,8.94632,0.303335,3.11482,0.125323,-0.0196632,0.00588573
0.039,-2.77605,9.44285,-2.10606,0.0189244,-0.0104911,-0.0823769,-3.09985,-9.21098,-0.910485,-0.043493,-0.0662819,-0.0481069,-0.362328,9.57651,-1.67673,0.0634634,0.0509335,-0.0134312,-1.22233,-9.80681,-0.873546,0.0287425,-0.00851588,0.00453381,4.07817,-3.49414,8.03846,-0.018479,0.00423712,0.0214668,4.05371,2.68095,8.71906,-0.0357986,-0.0117985,0.028863,8.85722,0.286841,3.14635,0.126882,-0.0168923,0.0112128
0.04,-2.77674,9.46724,-2.10637,0.016445,-0.0119535,-0.0822411,-3.11378,-9.22204,-0.904133,-0.0478296,-0.0705334,-0.0490873,-0.335573,9.57245,-1.69297,0.0632218,0.0479201,-0.0135586,-1.23117,-9.79201,-0.864169,0.0262625,-0.0104493,0.0054643,4.06064,-3.48717,8.0144,-0.0185752,0.00510871,0.0209215,4.054,2.68138,8.71371,-0.0368881,-0.011715,0.030159,8.76812,0.270346,3.17789,0.128441,-0.0141214,0.0165398
