Time,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.03,0.510846,9.53116,-1.27628,-0.0160873,0.0416296,-0.0215817,5.01597,3.40392,8.21834,-0.542415,-0.055869,0.105353,-0.513635,9.65937,-1.40949,-0.0213189,0.0916714,-0.0650667,9.37273,0.444037,2.92,0.0629533,0.0212099,0.0871221,0.0561345,-9.6579,-2.35534,-0.0671198,-0.0402656,0.0102679,4.73886,-2.74438,8.12613,-0.00961075,-0.00469197,-0.00756198,0.0520062,-9.74641,-2.0104,-0.140147,-0.0844094,-0.0305639
0.031,0.51621,9.5267,-1.28915,-0.0169447,0.0411539,-0.0216325,5.03342,3.39932,8.2551,-0.537398,-0.0519305,0.105863,-0.518434,9.65996,-1.42072,-0.0230468,0.0905816,-0.0672564,9.37712,0.449158,2.92514,0.063767,0.0219428,0.0876925,0.0767182,-9.66756,-2.38589,-0.0661953,-0.0370955,0.0132621,4.77528,-2.75,8.14798,-0.010827,-0.00480999,-0.00819834,0.0694153,-9.74172,-2.00303,-0.140405,-0.0840307,-0.0293675
0.032,0.494124,9.52569,-1.27767,-0.0166502,0.0437698,-0.0208694,5.07958,3.33095,8.27409,-0.531284,-0.0467165,0.105239,-0.501699,9.65785,-1.40978,-0.022652,0.0895427,-0.0668816,9.38852,0.437837,2.9126,0.0654414,0.0240298,0.0873515,0.0937889,-9.64283,-2.35664,-0.0665303,-0.0332367,0.0120056,4.76232,-2.73978,8.11547,-0.00790536,-0.00286763,-0.0072666,0.0564012,-9.75698,-2.00915,-0.139261,-0.0829393,-0.0282523
0.033,0.468606,9.52513,-1.26316,-0.0162116,0.0467722,-0.0200045,5.12933,3.25461,8.29087,-0.525034,-0.0413431,0.104474,-0.482273,9.65541,-1.39608,-0.0219919,0.0885101,-0.0661863,9.4008,0.424461,2.89785,0.0672233,0.0262861,0.0868966,0.11042,-9.61379,-2.31991,-0.0670228,-0.0292918,0.0102177,4.74319,-2.72759,8.07615,-0.00446648,-0.000667725,-0.00613884,0.0395844,-9.77472,-2.01696,-0.137941,-0.0817588,-0.0271473
0.034,0.443089,9.52456,-1.24864,-0.0157731,0.0497746,-0.0191396,5.17907,3.17826,8.30765,-0.518784,-0.0359698,0.103709,-0.462846,9.65296,-1.38237,-0.0213318,0.0874776,-0.0654911,9.41308,0.411084,2.8831,0.0690052,0.0285424,0.0864417,0.127052,-9.58476,-2.28319,-0.0675153,-0.0253469,0.00842983,4.72406,-2.7154,8.03684,-0.00102759,0.00153218,-0.00501108,0.0227675,-9.79247,-2.02477,-0.136621,-0.0805783,-0.0260423
0.035,0.417571,9.52399,-1.23412,-0.0153345,0.0527769,-0.0182747,5.22882,3.10192,8.32442,-0.512533,-0.0305964,0.102944,-0.44342,9.65051,-1.36867,-0.0206717,0.086445,-0.0647958,9.42536,0.397708,2.86835,0.0707871,0.0307988,0.0859868,0.143684,-9.55572,-2.24646,-0.0680078,-0.0214021,0.00664196,4.70493,-2.7032,7.99752,0.0024113,0.00373209,-0.00388332,0.00595057,-9.81021,-2.03258,-0.135302,-0.0793978,-0.0249373
0.036,0.404173,9.53482,-1.21852,-0.013827,0.0546772,-0.01902,5.25406,3.02767,8.33589,-0.508057,-0.0266693,0.101759,-0.420001,9.64832,-1.35878,-0.021032,0.085706,-0.0650027,9.43281,0.388809,2.86603,0.071931,0.032085,0.0849613,0.140695,-9.54229,-2.2243,-0.0686136,-0.0192782,0.00647827,4.69694,-2.6964,7.98788,0.00440009,0.00438903,-0.0034305,0.000119504,-9.82519,-2.03374,-0.133391,-0.0776721,-0.0242341
0.037,0.405924,9.5599,-1.20156,-0.0109834,0.0551997,-0.0217781,5.24866,2.95603,8.34071,-0.505797,-0.0245501,0.100048,-0.391593,9.64643,-1.35366,-0.0226679,0.085334,-0.0663374,9.43424,0.385506,2.87926,0.0722774,0.0321585,0.0832224,0.113181,-9.54836,-2.22034,-0.069361,-0.0194305,0.00834477,4.70288,-2.69636,8.01533,0.00457628,0.00311726,-0.00382136,0.00802073,-9.83669,-2.02658,-0.130742,-0.0752651,-0.024033
0.038,0.407676,9.58498,-1.1846,-0.00813972,0.0557223,-0.0245363,5.24327,2.8844,8.34553,-0.503537,-0.0224309,0.0983375,-0.363185,9.64455,-1.34853,-0.0243039,0.0849619,-0.067672,9.43567,0.382203,2.89248,0.0726238,0.0322321,0.0814835,0.0856668,-9.55442,-2.21637,-0.0701084,-0.0195828,0.0102113,4.70882,-2.69631,8.04279,0.00475246,0.00184549,-0.00421221,0.015922,-9.8482,-2.01943,-0.128092,-0.0728581,-0.023832
0.039,0.409427,9.61005,-1.16764,-0.00529606,0.0562448,-0.0272944,5.23787,2.81276,8.35035,-0.501278,-0.0203117,0.0966269,-0.334777,9.64266,-1.34341,-0.0259398,0.0845899,-0.0690067,9.4371,0.3789,2.9057,0.0729701,0.0323056,0.0797446,0.0581527,-9.56049,-2.21241,-0.0708558,-0.0197351,0.0120778,4.71477,-2.69626,8.07024,0.00492864,0.000573725,-0.00460306,0.0238232,-9.85971,-2.01227,-0.125443,-0.0704511,-0.023631
