Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.04,4.50756,-3.3662,7.92567,0.00810465,0.0066669,0.03195,2.34788,-9.61269,-3.18184,-0.40352,0.239305,0.0921283,0.168805,8.98664,-3.10818,-0.0289705,0.0572406,-0.0308269,9.08971,1.34451,3.38724,0.014156,0.0341295,0.098734,-1.11024,-9.55267,-2.84661,-0.050055,0.308483,0.0777946,-0.0308973,9.11722,-0.865012,-0.00683252,0.293901,0.013845,4.74041,3.84844,7.97765,-0.0639061,0.0250367,0.0252769
0.041,4.51681,-3.37152,7.92858,0.0086203,0.00512692,0.0313167,2.38719,-9.63751,-3.02916,-0.403939,0.243824,0.0874649,0.154637,8.97837,-3.09979,-0.0293828,0.0608648,-0.0370149,9.08072,1.35898,3.38974,0.0136608,0.0368443,0.0999162,-1.10207,-9.56864,-2.8672,-0.0465742,0.315805,0.0767241,-0.0211848,9.11825,-0.86089,0.00318123,0.292331,0.0107985,4.72214,3.85717,7.96021,-0.0661573,0.0253941,0.0244387
0.042,4.52605,-3.37684,7.93149,0.00913594,0.00358694,0.0306834,2.42649,-9.66233,-2.87648,-0.404358,0.248342,0.0828016,0.140469,8.97011,-3.09139,-0.0297951,0.0644891,-0.0432028,9.07172,1.37344,3.39223,0.0131656,0.0395591,0.101098,-1.09391,-9.58462,-2.8878,-0.0430934,0.323126,0.0756535,-0.0114723,9.11927,-0.856769,0.013195,0.29076,0.00775191,4.70387,3.86589,7.94278,-0.0684084,0.0257514,0.0236006
0.043,4.53529,-3.38216,7.9344,0.00965159,0.00204696,0.0300501,2.4658,-9.68715,-2.72381,-0.404776,0.25286,0.0781382,0.126301,8.96184,-3.083,-0.0302074,0.0681133,-0.0493908,9.06272,1.3879,3.39472,0.0126704,0.0422739,0.102281,-1.08574,-9.6006,-2.90839,-0.0396127,0.330448,0.074583,-0.00175985,9.1203,-0.852647,0.0232087,0.28919,0.00470536,4.68559,3.87462,7.92535,-0.0706595,0.0261088,0.0227624
0.044,4.54453,-3.38748,7.93731,0.0101672,0.000506974,0.0294168,2.5051,-9.71196,-2.57113,-0.405195,0.257378,0.0734749,0.112134,8.95357,-3.07461,-0.0306197,0.0717375,-0.0555787,9.05372,1.40236,3.39722,0.0121752,0.0449887,0.103463,-1.07758,-9.61658,-2.92899,-0.0361319,0.33777,0.0735124,0.00795262,9.12132,-0.848525,0.0332225,0.28762,0.00165882,4.66732,3.88335,7.90791,-0.0729107,0.0264662,0.0219242
0.045,4.56156,-3.37608,7.9312,0.00959698,-5.09375e-005,0.029444,2.52951,-9.74726,-2.43826,-0.401456,0.25448,0.0695326,0.111757,8.9672,-3.07528,-0.0308577,0.0756279,-0.0600901,9.04857,1.41004,3.39779,0.0134289,0.0470736,0.103903,-1.10481,-9.60328,-2.91786,-0.036738,0.343429,0.0724147,0.0179482,9.15082,-0.867884,0.0415006,0.285153,0.00136766,4.67026,3.88755,7.90024,-0.074877,0.0263151,0.0209005
0.046,4.58482,-3.35128,7.91788,0.00815799,0.000176807,0.0299996,2.542,-9.79095,-2.32124,-0.394389,0.245648,0.0661672,0.122415,8.99835,-3.0832,-0.0309563,0.0797312,-0.0632602,9.0465,1.41229,3.39683,0.0160817,0.0486546,0.103749,-1.16037,-9.56656,-2.88134,-0.0406136,0.347759,0.0712951,0.0281703,9.2031,-0.906028,0.0483901,0.281968,0.0032808,4.69018,3.88814,7.90038,-0.0766155,0.0257574,0.0197284
0.047,4.60807,-3.32649,7.90455,0.00671901,0.000404552,0.0305552,2.55449,-9.83463,-2.20423,-0.387322,0.236816,0.0628018,0.133072,9.0295,-3.09111,-0.0310549,0.0838345,-0.0664303,9.04442,1.41454,3.39588,0.0187345,0.0502356,0.103595,-1.21593,-9.52983,-2.84483,-0.0444892,0.352089,0.0701755,0.0383923,9.25538,-0.944171,0.0552797,0.278783,0.00519395,4.71009,3.88873,7.90052,-0.0783539,0.0251996,0.0185563
0.048,4.63133,-3.3017,7.89123,0.00528002,0.000632296,0.0311108,2.56697,-9.87832,-2.08721,-0.380256,0.227984,0.0594365,0.14373,9.06064,-3.09903,-0.0311535,0.0879377,-0.0696005,9.04235,1.41679,3.39492,0.0213872,0.0518167,0.103442,-1.27149,-9.49311,-2.80832,-0.0483648,0.356419,0.0690559,0.0486144,9.30766,-0.982315,0.0621693,0.275599,0.0071071,4.73,3.88931,7.90066,-0.0800924,0.0246419,0.0173841
0.049,4.65186,-3.28191,7.88093,0.00388462,0.00100876,0.0313969,2.58194,-9.9225,-1.97616,-0.372221,0.218249,0.0565037,0.152265,9.09001,-3.1042,-0.0311517,0.0919067,-0.0726872,9.03969,1.42068,3.39626,0.0239346,0.0529624,0.103241,-1.32154,-9.46022,-2.77482,-0.0518815,0.360451,0.0678597,0.0552009,9.35999,-1.02244,0.0688139,0.273097,0.0091843,4.74914,3.88826,7.8997,-0.0816736,0.0239813,0.0164533
0.05,4.65065,-3.30211,7.89486,0.00283792,0.00257497,0.0295275,2.61672,-9.97066,-1.91278,-0.356437,0.201287,0.057032,0.14382,9.10508,-3.08744,-0.0303469,0.0948006,-0.075107,9.0324,1.43778,3.41604,0.0256386,0.0506256,0.102669,-1.32747,-9.458,-2.76544,-0.0525265,0.362098,0.0660507,0.0327035,9.4128,-1.07846,0.0734991,0.276062,0.0125739,4.76209,3.87407,7.88999,-0.0819958,0.0224983,0.017453
