Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.03,-0.447805,-10.1126,-0.962303,-0.199234,-0.438155,0.5327,9.08826,0.973821,5.71709,0.122002,-0.220874,-0.0373975,-0.690887,7.0105,-0.942439,0.32603,-1.74257,0.198315,2.24676,-9.02626,-1.73556,0.0326713,-0.0488937,-0.119735,4.88893,0.462433,8.58328,-0.0409469,0.122965,-0.0230685,-1.00108,8.27238,-2.22653,0.149435,-0.47618,0.00658288,3.71978,4.31689,7.97292,0.0120199,-0.0628516,-0.0470475
0.031,-0.435728,-10.1166,-0.929648,-0.192697,-0.45331,0.531733,9.03764,0.900214,5.68339,0.11304,-0.230843,-0.0487468,-0.758121,7.02509,-0.807375,0.3503,-1.71876,0.20555,2.27464,-9.01994,-1.74202,0.0272451,-0.0474855,-0.118367,4.92486,0.455574,8.57102,-0.0391182,0.121789,-0.0202009,-1.04913,8.34809,-2.24901,0.154291,-0.467188,0.00520962,3.70375,4.32772,7.97157,0.00667776,-0.0599823,-0.0467835
0.032,-0.446626,-10.1071,-0.954235,-0.189034,-0.469549,0.52707,8.99677,0.834793,5.66037,0.107334,-0.239676,-0.0567967,-0.86896,7.07607,-0.718327,0.382949,-1.69762,0.204269,2.30236,-9.02226,-1.74837,0.0234911,-0.0428936,-0.114902,4.9226,0.429822,8.57661,-0.0430288,0.11936,-0.0167734,-1.11518,8.45347,-2.27619,0.152906,-0.44986,0.00170616,3.71135,4.33217,7.94895,0.000563479,-0.0600507,-0.0448388
0.033,-0.460396,-10.0958,-0.985977,-0.18573,-0.485923,0.521945,8.95712,0.770395,5.63869,0.102034,-0.248368,-0.0644342,-0.985249,7.1316,-0.635031,0.416645,-1.67681,0.201925,2.33005,-9.02565,-1.7547,0.0199462,-0.0379038,-0.111174,4.91557,0.401708,8.58443,-0.0476568,0.116775,-0.013276,-1.18348,8.56255,-2.30397,0.150741,-0.431491,-0.00206357,3.7219,4.33581,7.92368,-0.00564733,-0.0604862,-0.0426841
0.034,-0.474166,-10.0846,-1.01772,-0.182426,-0.502297,0.516819,8.91747,0.705998,5.61701,0.0967346,-0.257059,-0.0720717,-1.10154,7.18713,-0.551734,0.450341,-1.656,0.19958,2.35775,-9.02904,-1.76103,0.0164013,-0.032914,-0.107447,4.90853,0.373595,8.59225,-0.0522848,0.11419,-0.00977852,-1.25179,8.67164,-2.33174,0.148576,-0.413122,-0.0058333,3.73246,4.33946,7.8984,-0.0118581,-0.0609218,-0.0405293
0.035,-0.487935,-10.0734,-1.04946,-0.179123,-0.518671,0.511694,8.87782,0.6416,5.59532,0.091435,-0.26575,-0.0797092,-1.21783,7.24266,-0.468438,0.484037,-1.63519,0.197236,2.38544,-9.03243,-1.76737,0.0128564,-0.0279241,-0.10372,4.9015,0.345482,8.60007,-0.0569128,0.111604,-0.00628107,-1.32009,8.78072,-2.35951,0.146411,-0.394753,-0.00960304,3.74302,4.34311,7.87313,-0.0180689,-0.0613574,-0.0383746
0.036,-0.504212,-10.0646,-1.06485,-0.175994,-0.531344,0.508037,8.84387,0.581583,5.58186,0.0865863,-0.275547,-0.0859077,-1.33199,7.3099,-0.416744,0.513749,-1.61323,0.193136,2.39965,-9.04582,-1.77489,0.0104672,-0.0227325,-0.100426,4.89329,0.334601,8.59964,-0.0630278,0.108176,-0.0026448,-1.38096,8.89625,-2.38013,0.142691,-0.371888,-0.0131074,3.74701,4.3331,7.86498,-0.0224745,-0.0608672,-0.036776
0.037,-0.523621,-10.0589,-1.0598,-0.173085,-0.53939,0.506216,8.81706,0.527042,5.57865,0.0823012,-0.286723,-0.0903074,-1.4435,7.39178,-0.404555,0.53848,-1.58981,0.186842,2.39701,-9.0717,-1.7839,0.00952269,-0.0172885,-0.0976758,4.88362,0.345261,8.58889,-0.0710017,0.103694,0.00116501,-1.43254,9.01985,-2.39181,0.137025,-0.343406,-0.0162799,3.7428,4.30603,7.87825,-0.0246233,-0.0592199,-0.0358728
0.038,-0.543031,-10.0533,-1.05475,-0.170175,-0.547435,0.504395,8.79025,0.4725,5.57545,0.078016,-0.2979,-0.0947071,-1.555,7.47367,-0.392365,0.563212,-1.5664,0.180548,2.39437,-9.09758,-1.79291,0.00857817,-0.0118445,-0.0949252,4.87395,0.355921,8.57815,-0.0789755,0.0992117,0.00497482,-1.48412,9.14344,-2.40348,0.131359,-0.314923,-0.0194525,3.73859,4.27897,7.89152,-0.0267722,-0.0575726,-0.0349695
0.039,-0.562441,-10.0476,-1.0497,-0.167266,-0.555481,0.502573,8.76343,0.417959,5.57225,0.0737308,-0.309077,-0.0991068,-1.66651,7.55555,-0.380175,0.587943,-1.54299,0.174254,2.39173,-9.12347,-1.80192,0.00763365,-0.00640057,-0.0921745,4.86428,0.366581,8.56741,-0.0869493,0.0947297,0.00878463,-1.5357,9.26704,-2.41516,0.125693,-0.28644,-0.022625,3.73438,4.2519,7.90479,-0.0289211,-0.0559253,-0.0340662
0.04,-0.581851,-10.0419,-1.04465,-0.164356,-0.563527,0.500752,8.73662,0.363417,5.56905,0.0694457,-0.320254,-0.103506,-1.77801,7.63743,-0.367985,0.612675,-1.51958,0.16796,2.38909,-9.14935,-1.81093,0.00668912,-0.000956608,-0.0894239,4.85461,0.377241,8.55667,-0.0949232,0.0902476,0.0125944,-1.58728,9.39063,-2.42684,0.120028,-0.257958,-0.0257975,3.73017,4.22483,7.91806,-0.03107,-0.054278,-0.033163
