Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z
0.031,8.40587,5.26688,6.00753,-1.25547,-0.362125,-2.03456,-5.0288,10.1448,0.344548,0.143082,-1.79216,-0.10028,-0.210954,-10.2948,-0.400104,-0.190556,-0.149279,-0.247418,9.91226,0.579254,2.52124,-0.172012,0.237147,-0.0375203,4.98254,0.742289,8.23406,0.0096941,0.0320368,-0.0152895,-2.6942,-11.1651,-2.45242,-0.185714,0.292373,0.307177,-2.94342,7.878,-3.37369,0.544339,-0.455833,0.152281
0.032,8.22281,4.90991,5.95448,-1.25452,-0.363868,-2.02477,-5.04146,10.058,0.545622,0.140369,-1.79582,-0.0899031,-0.0652818,-10.294,-0.43471,-0.190684,-0.157459,-0.242752,9.74728,0.518911,2.56223,-0.155962,0.232124,-0.0415403,4.97167,0.804439,8.2703,0.00332175,0.0322191,-0.0133492,-2.6536,-11.0854,-2.2529,-0.163109,0.215568,0.323179,-2.97309,7.83805,-3.59717,0.551964,-0.434208,0.147401
0.033,8.05487,4.41967,5.89412,-1.2524,-0.363307,-2.01415,-5.02572,9.95233,0.726079,0.13771,-1.8003,-0.0795125,0.0824716,-10.2927,-0.462493,-0.19074,-0.164862,-0.23728,9.56588,0.461608,2.60432,-0.138297,0.225167,-0.0462461,4.96889,0.856127,8.30597,-0.00357482,0.0328442,-0.0114089,-2.59546,-11.0085,-2.05097,-0.140864,0.139959,0.338276,-3.01542,7.79484,-3.81991,0.558782,-0.410303,0.142688
0.034,7.88692,3.92943,5.83376,-1.25028,-0.362746,-2.00353,-5.00997,9.84671,0.906535,0.135051,-1.80478,-0.0691218,0.230225,-10.2915,-0.490276,-0.190796,-0.172265,-0.231808,9.38448,0.404306,2.64641,-0.120631,0.218211,-0.0509519,4.96611,0.907814,8.34165,-0.0104714,0.0334693,-0.00946859,-2.53733,-10.9316,-1.84905,-0.11862,0.0643503,0.353374,-3.05775,7.75162,-4.04265,0.565599,-0.386398,0.137974
0.035,7.71898,3.43919,5.77339,-1.24816,-0.362184,-1.99291,-4.99422,9.74109,1.08699,0.132393,-1.80926,-0.0587311,0.377978,-10.2902,-0.518058,-0.190851,-0.179668,-0.226337,9.20308,0.347003,2.6885,-0.102965,0.211255,-0.0556577,4.96332,0.959502,8.37732,-0.017368,0.0340944,-0.00752827,-2.47919,-10.8548,-1.64712,-0.0963755,-0.0112584,0.368471,-3.10007,7.7084,-4.2654,0.572416,-0.362493,0.133261
0.036,7.5827,2.95567,5.73246,-1.23721,-0.352668,-1.98169,-4.89295,9.61469,1.21118,0.129846,-1.81333,-0.0482883,0.518399,-10.2722,-0.495198,-0.191651,-0.185574,-0.222177,9.05071,0.296011,2.71335,-0.0856035,0.204057,-0.060271,4.93561,0.97526,8.39797,-0.0238849,0.0347932,-0.00802491,-2.37203,-10.8006,-1.4584,-0.0752061,-0.0814503,0.380453,-3.1603,7.66248,-4.44949,0.57377,-0.334181,0.129321
0.037,7.48602,2.48055,5.71582,-1.21523,-0.331956,-1.96972,-4.68477,9.46231,1.26503,0.12744,-1.81689,-0.0377803,0.649655,-10.2333,-0.409035,-0.193379,-0.189609,-0.219656,8.93463,0.252908,2.71665,-0.0686217,0.196557,-0.0647687,4.87673,0.946105,8.39982,-0.0299274,0.0355841,-0.0115677,-2.2036,-10.7747,-1.28618,-0.0553806,-0.144871,0.388541,-3.2429,7.61318,-4.58528,0.568294,-0.300362,0.126347
0.038,7.38933,2.00544,5.69917,-1.19324,-0.311244,-1.95774,-4.4766,9.30994,1.31887,0.125034,-1.82045,-0.0272724,0.780911,-10.1944,-0.322871,-0.195108,-0.193644,-0.217136,8.81855,0.209804,2.71995,-0.0516399,0.189057,-0.0692665,4.81784,0.916951,8.40167,-0.0359699,0.036375,-0.0151106,-2.03516,-10.7489,-1.11396,-0.035555,-0.208292,0.396628,-3.3255,7.56387,-4.72107,0.562818,-0.266542,0.123373
0.039,7.29265,1.53032,5.68253,-1.17126,-0.290532,-1.94577,-4.26843,9.15756,1.37272,0.122627,-1.82401,-0.0167644,0.912167,-10.1555,-0.236708,-0.196837,-0.197679,-0.214616,8.70247,0.1667,2.72325,-0.034658,0.181557,-0.0737642,4.75896,0.887797,8.40352,-0.0420124,0.0371659,-0.0186534,-1.86673,-10.723,-0.941745,-0.0157295,-0.271713,0.404716,-3.4081,7.51457,-4.85685,0.557342,-0.232723,0.120399
0.04,7.19596,1.05521,5.66588,-1.14928,-0.269821,-1.93379,-4.06026,9.00518,1.42657,0.120221,-1.82757,-0.00625637,1.04342,-10.1166,-0.150544,-0.198566,-0.201714,-0.212095,8.58638,0.123597,2.72655,-0.0176762,0.174057,-0.0782619,4.70008,0.858642,8.40537,-0.0480549,0.0379569,-0.0221962,-1.69829,-10.6972,-0.769525,0.00409606,-0.335135,0.412804,-3.49069,7.46527,-4.99264,0.551866,-0.198903,0.117425
