Time,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.03,-0.435298,9.62013,-0.0363433,-0.062347,0.562704,-0.0513487,4.42044,2.08935,8.4097,0.472043,0.166793,-0.05953,0.393154,9.4383,-1.07087,-0.164579,0.611715,-0.0267076,9.10591,-0.177527,2.91849,-0.138729,-0.114608,0.0265389,0.884022,-9.60046,-2.24334,-0.0774413,0.384486,-0.318617,4.74229,-0.0660305,8.38227,-0.652559,0.309033,-0.220438,0.143992,-9.88911,-1.63896,0.129901,0.430366,0.20015
0.031,-0.412251,9.59389,-0.10351,-0.0621154,0.563948,-0.0544898,4.48548,1.83692,8.42849,0.475605,0.163566,-0.0588581,0.403119,9.40539,-1.01422,-0.161768,0.604835,-0.0260933,9.06068,-0.196537,2.91649,-0.141094,-0.114953,0.0196752,0.804353,-9.5921,-2.20503,-0.0771765,0.373141,-0.322758,4.67167,-0.0872861,8.38087,-0.655672,0.305892,-0.216437,0.0548984,-9.94842,-1.57007,0.136353,0.418847,0.202436
0.032,-0.438461,9.60308,-0.130916,-0.0644114,0.561432,-0.0572049,4.60803,1.6648,8.42166,0.46968,0.164139,-0.0572568,0.371737,9.4064,-0.945559,-0.156348,0.593669,-0.0224037,9.05169,-0.152565,2.92004,-0.143951,-0.114363,0.0136771,0.719005,-9.58664,-2.15099,-0.0772218,0.359071,-0.325311,4.63686,-0.0914999,8.3866,-0.654809,0.303833,-0.211117,-0.0392846,-9.9536,-1.47564,0.141703,0.40604,0.206585
0.033,-0.470828,9.6167,-0.153352,-0.0670233,0.558447,-0.0598667,4.73777,1.50272,8.41163,0.462569,0.165187,-0.0555393,0.335186,9.41165,-0.875393,-0.150602,0.581968,-0.0183297,9.04723,-0.10072,2.92429,-0.14687,-0.113656,0.00778724,0.632948,-9.58153,-2.09499,-0.077306,0.344661,-0.327665,4.60652,-0.0935835,8.39321,-0.65345,0.301911,-0.205632,-0.134104,-9.95202,-1.37802,0.146916,0.393073,0.210967
0.034,-0.503196,9.63032,-0.175788,-0.0696352,0.555461,-0.0625285,4.86751,1.34064,8.4016,0.455458,0.166234,-0.0538219,0.298636,9.41691,-0.805227,-0.144856,0.570267,-0.0142556,9.04277,-0.0488752,2.92854,-0.149789,-0.112949,0.00189734,0.546891,-9.57643,-2.03899,-0.0773901,0.330251,-0.33002,4.57619,-0.0956671,8.39982,-0.652091,0.299988,-0.200146,-0.228923,-9.95044,-1.2804,0.152129,0.380105,0.215348
0.035,-0.535563,9.64395,-0.198224,-0.0722472,0.552475,-0.0651903,4.99725,1.17856,8.39157,0.448348,0.167282,-0.0521045,0.262085,9.42216,-0.735061,-0.13911,0.558565,-0.0101815,9.0383,0.00296952,2.93279,-0.152708,-0.112242,-0.00399256,0.460833,-9.57132,-1.98299,-0.0774742,0.31584,-0.332374,4.54586,-0.0977508,8.40644,-0.650731,0.298066,-0.194661,-0.323742,-9.94885,-1.18278,0.157342,0.367138,0.21973
0.036,-0.573769,9.66639,-0.211667,-0.0742094,0.547232,-0.0674573,5.08604,1.10477,8.38191,0.439967,0.167938,-0.0500395,0.201993,9.43041,-0.658977,-0.133788,0.546254,-0.00553659,9.03263,0.000238224,2.92591,-0.154015,-0.108401,-0.0102969,0.395968,-9.56865,-1.93895,-0.076863,0.300493,-0.333351,4.53584,-0.106971,8.41233,-0.648497,0.296295,-0.18865,-0.383971,-9.96345,-1.12714,0.161801,0.355914,0.223811
0.037,-0.619274,9.69986,-0.213869,-0.0753596,0.539167,-0.0692308,5.12364,1.14135,8.37271,0.43,0.168104,-0.04754,0.112474,9.44241,-0.575496,-0.128996,0.53318,-0.000178004,9.02543,-0.0707131,2.90511,-0.153306,-0.100643,-0.0171194,0.357592,-9.56901,-1.90986,-0.0753829,0.283974,-0.332607,4.55122,-0.125111,8.41733,-0.645168,0.294714,-0.181982,-0.400963,-9.99827,-1.12399,0.165317,0.346871,0.227518
0.038,-0.664779,9.73333,-0.21607,-0.0765097,0.531101,-0.0710043,5.16124,1.17793,8.36352,0.420033,0.16827,-0.0450406,0.0229542,9.4544,-0.492014,-0.124204,0.520106,0.00518058,9.01823,-0.141664,2.88432,-0.152596,-0.0928846,-0.0239418,0.319217,-9.56937,-1.88077,-0.0739027,0.267455,-0.331862,4.5666,-0.143252,8.42232,-0.64184,0.293133,-0.175314,-0.417954,-10.0331,-1.12083,0.168834,0.337828,0.231224
0.039,-0.710284,9.76679,-0.218272,-0.0776599,0.523036,-0.0727779,5.19883,1.2145,8.35433,0.410067,0.168436,-0.0425411,-0.0665651,9.4664,-0.408533,-0.119412,0.507032,0.0105392,9.01103,-0.212616,2.86353,-0.151887,-0.0851265,-0.0307642,0.280841,-9.56973,-1.85169,-0.0724225,0.250936,-0.331118,4.58198,-0.161392,8.42732,-0.638511,0.291552,-0.168645,-0.434945,-10.0679,-1.11767,0.172351,0.328785,0.23493
0.04,-0.755789,9.80026,-0.220473,-0.07881,0.51497,-0.0745514,5.23643,1.25108,8.34513,0.4001,0.168602,-0.0400416,-0.156084,9.4784,-0.325052,-0.11462,0.493958,0.0158977,9.00383,-0.283567,2.84274,-0.151178,-0.0773684,-0.0375867,0.242466,-9.57009,-1.8226,-0.0709423,0.234417,-0.330373,4.59736,-0.179532,8.43232,-0.635183,0.28997,-0.161977,-0.451937,-10.1027,-1.11451,0.175868,0.319741,0.238637
0.041,-0.814536,9.79292,-0.244273,-0.0789139,0.50722,-0.0791039,5.18557,1.33953,8.38121,0.405236,0.163907,-0.0364817,-0.246121,9.49133,-0.296761,-0.111935,0.481543,0.0195494,9.03312,-0.215798,2.81431,-0.150132,-0.0701836,-0.0434659,0.229643,-9.55313,-1.80304,-0.0690084,0.219042,-0.328729,4.60395,-0.195678,8.43753,-0.633817,0.290619,-0.156626,-0.461812,-10.0785,-1.05543,0.178579,0.309649,0.24068
0.042,-0.873284,9.78558,-0.268072,-0.0790177,0.49947,-0.0836565,5.13471,1.42798,8.4173,0.410371,0.159212,-0.0329219,-0.336157,9.50427,-0.268471,-0.109249,0.469128,0.023201,9.0624,-0.148029,2.78588,-0.149086,-0.0629989,-0.0493451,0.21682,-9.53617,-1.78347,-0.0670744,0.203667,-0.327085,4.61054,-0.211824,8.44274,-0.632452,0.291267,-0.151276,-0.471688,-10.0542,-0.996351,0.18129,0.299558,0.242723
0.043,-0.932031,9.77824,-0.291872,-0.0791216,0.49172,-0.0882091,5.08385,1.51644,8.45338,0.415507,0.154517,-0.029362,-0.426194,9.51721,-0.24018,-0.106563,0.456713,0.0268526,9.09169,-0.0802595,2.75746,-0.14804,-0.0558141,-0.0552243,0.203998,-9.51921,-1.76391,-0.0651404,0.188293,-0.325441,4.61713,-0.22797,8.44796,-0.631086,0.291915,-0.145925,-0.481563,-10.0299,-0.93727,0.184,0.289466,0.244766
