Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.083,0.0573956,0.000760498,0.1559,0.0154709,0.0526553,0.0392654,0.00455536,0.00928558,-0.20595,0.0738821,0.0364825,-0.020834,0.00231995,0.0474802,0.0413782,-0.0654407
0.084,0.0647198,0.112455,0.191301,0.0447678,0.0685245,0.042012,0.049111,0.0303427,-0.240435,0.0686942,0.0328204,0.0148715,0.0407721,0.0554147,0.0425989,-0.0236316
0.085,0.0610577,0.158842,-0.0149982,0.0392746,0.053876,0.0529984,0.0347678,0.0364462,0.0845773,0.0934134,0.0779864,0.0911655,0.161622,0.085322,0.0648767,-0.0401111
0.086,0.0747906,0.0871252,-0.154158,0.0508713,0.0737125,0.0496414,0.0192038,0.0190512,0.174299,0.0610648,0.0935504,0.100626,0.214112,0.0609079,0.0477869,-0.020885
0.087,0.0558698,0.0862097,-0.138289,0.0481247,0.0599796,0.0606277,0.0131003,0.03431,0.139814,0.0540457,0.085921,0.0768222,0.197022,0.0837961,0.0493127,-0.00348999
0.088,0.0332867,0.0709509,-0.0711505,0.0438522,0.0740176,0.0294998,0.0280539,0.0156943,0.0268991,0.0418387,0.0709674,0.0463046,0.0871588,0.0520578,0.0682336,-0.013866
0.089,0.0537335,0.0682043,-0.0311725,0.0383591,0.0267154,0.0484207,-0.00429474,-0.0035318,-0.104937,0.0897513,0.0401447,0.0929965,0.0590826,0.0496164,0.0526697,-0.00471069
0.09,0.0610577,0.057218,-0.0226276,0.03134,0.0425845,0.0472,0.024697,0.0233237,-0.22365,0.0384817,0.0114581,0.0865878,0.162232,0.0230661,0.0157434,-0.0349231
0.091,0.0671613,0.069425,-0.0149982,-0.00558624,-0.00929535,0.034993,-0.00185333,0.0184409,-0.199236,0.0433646,0.0117633,0.0737704,0.146363,0.0511423,0.0389368,-0.00562622
0.092,0.0555646,0.0575232,0.0222333,0.00540009,0.0380069,0.0319412,0.0106589,0.0214926,-0.0924246,0.0448904,0.0328204,0.0499667,0.102723,0.0557199,0.0465662,-0.0239368
0.093,0.0552594,0.0410437,0.0255902,-0.00467072,0.0151187,0.0539139,0.0027243,0.0370566,0.148054,0.0943289,0.0621173,0.0594272,0.09784,0.0691476,0.0529749,-0.00501587
0.094,0.0357281,0.00381226,0.0692303,0.00387421,0.0480777,0.0441483,0.0131003,0.0364462,0.423017,0.0894461,0.0670001,0.052103,0.110352,0.0493112,0.0368005,-0.0071521
0.095,0.0589215,-0.00351196,0.109514,0.0169968,0.0105411,0.045369,0.0134055,0.0166098,0.591474,0.14865,0.0550983,0.0429477,0.0758673,0.0609079,0.0642664,0.0300793
0.096,0.0186383,-0.0462366,0.104936,0.0353073,0.0001651,0.0172928,-0.0113138,0.0102011,0.433698,0.130645,0.045943,0.0508823,0.0758673,0.0422922,0.0602991,0.00719116
0.097,0.0448834,-0.0303674,0.107072,0.0932907,-0.0175351,0.0273636,0.0210349,-0.00597321,0.170332,0.103789,0.0593707,0.0414218,0.0661017,0.0401559,0.0450403,0.0163464
0.098,0.0457989,-0.0624109,0.115922,0.193083,0.00169098,0.0334671,0.0308005,0.0294272,0.0937326,0.0766287,0.045943,0.0505771,0.0966193,0.0572458,0.0325281,-0.00806763
0.099,0.0726544,-0.00717407,0.149492,0.0618576,0.0257999,0.0383499,0.0381247,0.0202719,0.0366647,0.0577078,0.0520465,0.0536288,0.0633551,0.0679269,0.0615198,0.0343518
