Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
0.035,1.50026,10.3514,-1.56838,-0.241065,-0.123349,-0.0846361,0.795204,9.87809,-0.874693,0.193369,-0.207174,0.14166,1.06642,-9.71476,-1.48091,0.107746,0.235413,0.129604,3.90274,-0.424502,8.76355,-0.0321415,0.00127946,0.030739,3.81731,1.18235,9.19333,-0.0864263,0.0312656,0.0361611,8.1283,-0.529647,5.54498,-0.520473,0.0587322,-0.0754108
0.036,1.53631,10.3157,-1.50118,-0.244187,-0.114798,-0.080049,0.796941,9.86483,-0.877625,0.189583,-0.205316,0.14396,1.06093,-9.72459,-1.48142,0.106352,0.23827,0.132064,3.90774,-0.414451,8.76211,-0.0313663,0.00121397,0.0300028,3.80234,1.15916,9.18489,-0.0854525,0.0299025,0.0359649,8.1275,-0.520933,5.54721,-0.525287,0.0601345,-0.0790458
0.037,1.55796,10.2752,-1.41618,-0.246267,-0.109185,-0.0775964,0.806233,9.83554,-0.86264,0.187093,-0.203768,0.14541,1.07873,-9.72075,-1.48695,0.104655,0.240497,0.135437,3.91303,-0.416536,8.7606,-0.0312721,0.00154915,0.0299832,3.79579,1.14737,9.18723,-0.0837766,0.0286598,0.0362292,8.13083,-0.528818,5.55186,-0.530271,0.0611768,-0.0817792
0.038,1.57961,10.2347,-1.33119,-0.248347,-0.103572,-0.0751438,0.815524,9.80624,-0.847656,0.184604,-0.202219,0.146859,1.09654,-9.71691,-1.49249,0.102957,0.242724,0.13881,3.91832,-0.41862,8.75909,-0.0311779,0.00188433,0.0299637,3.78923,1.13559,9.18957,-0.0821006,0.027417,0.0364935,8.13415,-0.536703,5.55651,-0.535256,0.0622191,-0.0845125
0.039,1.60126,10.1942,-1.2462,-0.250428,-0.0979595,-0.0726912,0.824816,9.77694,-0.832671,0.182114,-0.200671,0.148309,1.11435,-9.71307,-1.49802,0.10126,0.244951,0.142182,3.92361,-0.420705,8.75759,-0.0310837,0.00221951,0.0299441,3.78268,1.1238,9.19191,-0.0804247,0.0261743,0.0367577,8.13748,-0.544588,5.56115,-0.54024,0.0632614,-0.0872458
0.04,1.62291,10.1537,-1.16121,-0.252508,-0.0923466,-0.0702386,0.834108,9.74765,-0.817686,0.179624,-0.199123,0.149758,1.13215,-9.70924,-1.50356,0.0995631,0.247179,0.145555,3.9289,-0.42279,8.75608,-0.0309895,0.00255469,0.0299245,3.77612,1.11201,9.19425,-0.0787488,0.0249316,0.037022,8.1408,-0.552473,5.5658,-0.545224,0.0643037,-0.0899791
0.041,1.64032,10.0931,-1.09806,-0.251303,-0.0924728,-0.0700105,0.865384,9.7693,-0.806688,0.17635,-0.196707,0.150755,1.12874,-9.6921,-1.49578,0.101013,0.248115,0.147462,3.94947,-0.421114,8.75467,-0.0306951,0.00184789,0.0299705,3.76815,1.12274,9.1938,-0.0790696,0.024766,0.0381472,8.14505,-0.526699,5.54332,-0.553485,0.0678032,-0.0942541
0.042,1.65773,10.0326,-1.03492,-0.250099,-0.0925989,-0.0697825,0.89666,9.79095,-0.79569,0.173076,-0.194291,0.151751,1.12533,-9.67496,-1.488,0.102462,0.249051,0.149368,3.97004,-0.419438,8.75325,-0.0304007,0.00114108,0.0300164,3.76018,1.13347,9.19334,-0.0793904,0.0246003,0.0392725,8.14929,-0.500926,5.52083,-0.561746,0.0713027,-0.098529
0.043,1.67515,9.97199,-0.971772,-0.248894,-0.092725,-0.0695544,0.927937,9.81261,-0.784692,0.169803,-0.191875,0.152748,1.12193,-9.65782,-1.48021,0.103912,0.249988,0.151274,3.99061,-0.417762,8.75184,-0.0301063,0.000434272,0.0300623,3.75221,1.1442,9.19289,-0.0797112,0.0244347,0.0403978,8.15353,-0.475153,5.49835,-0.570006,0.0748021,-0.102804
0.044,1.69256,9.91144,-0.908627,-0.24769,-0.0928512,-0.0693264,0.959213,9.83426,-0.773694,0.166529,-0.18946,0.153745,1.11852,-9.64068,-1.47243,0.105361,0.250924,0.15318,4.01118,-0.416086,8.75043,-0.0298118,-0.000272535,0.0301083,3.74423,1.15492,9.19244,-0.0800319,0.0242691,0.041523,8.15778,-0.449379,5.47586,-0.578267,0.0783016,-0.107079
0.045,1.70451,9.86693,-0.841276,-0.242627,-0.092807,-0.0691314,0.980251,9.82717,-0.771824,0.163007,-0.18679,0.152902,1.10665,-9.64502,-1.45831,0.106867,0.251073,0.155011,4.0137,-0.407396,8.76732,-0.0300451,-0.000395677,0.03057,3.75009,1.16468,9.18416,-0.0800332,0.0234342,0.0417096,8.16019,-0.419177,5.49483,-0.583311,0.0827697,-0.110062
0.046,1.71207,9.83524,-0.770561,-0.234477,-0.0926266,-0.0689629,0.993099,9.79709,-0.777254,0.159288,-0.183916,0.150588,1.08802,-9.66654,-1.43912,0.108417,0.250593,0.156781,4.00178,-0.393094,8.79885,-0.0307006,-5.19E-05,0.0313643,3.767,1.17366,9.16961,-0.0797789,0.0220638,0.0411452,8.16115,-0.38543,5.54697,-0.585781,0.0880128,-0.112012
0.047,1.71964,9.80356,-0.699846,-0.226327,-0.0924462,-0.0687944,1.00595,9.767,-0.782685,0.155569,-0.181043,0.148273,1.06939,-9.68806,-1.41993,0.109967,0.250112,0.158552,3.98987,-0.378793,8.83039,-0.031356,0.000291906,0.0321587,3.78392,1.18263,9.15506,-0.0795245,0.0206935,0.0405809,8.1621,-0.351684,5.5991,-0.588252,0.0932558,-0.113961
0.048,1.7272,9.77188,-0.629131,-0.218177,-0.0922658,-0.0686259,1.0188,9.73691,-0.788116,0.151849,-0.178169,0.145959,1.05076,-9.70959,-1.40074,0.111517,0.249632,0.160323,3.97795,-0.364491,8.86192,-0.0320115,0.000635697,0.032953,3.80083,1.19161,9.14051,-0.0792702,0.0193231,0.0400165,8.16306,-0.317938,5.65124,-0.590722,0.0984989,-0.115911
0.049,1.7313,9.73933,-0.558228,-0.210129,-0.0921799,-0.0683352,1.03231,9.70821,-0.793181,0.148603,-0.174975,0.143881,1.03193,-9.72787,-1.38463,0.112813,0.24954,0.162066,3.96715,-0.354047,8.88817,-0.0324949,0.00116583,0.0334625,3.81697,1.20086,9.1307,-0.0788489,0.0182085,0.0392681,8.16409,-0.287989,5.6941,-0.593619,0.103894,-0.118232
