Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.032,4.8255,-3.36343,7.75055,-0.0990194,-0.0258979,0.0398763,1.94351,-9.29174,-2.67991,0.0739021,-0.128001,0.0124572,-1.31165,9.17255,-3.28213,0.0121643,0.0181748,-0.0226084,9.18106,0.901804,2.85036,0.182303,-0.00693699,0.0957408,-1.71848,-9.47108,-2.47497,-0.0149573,0.0691051,-0.0014856,-0.60959,9.13027,-2.79416,-0.0151111,-0.14509,-0.0266829,4.67779,3.44953,8.21146,-0.0332536,0.00892279,0.0370173
0.033,4.83909,-3.38967,7.73937,-0.0958889,-0.0261653,0.0370794,1.95821,-9.29602,-2.6859,0.0715004,-0.12665,0.0114057,-1.29594,9.15859,-3.28024,0.00910444,0.0102246,-0.0213656,9.17869,0.923094,2.8488,0.183299,-0.0117263,0.0942132,-1.72282,-9.46579,-2.45071,-0.0170118,0.0667715,-0.00240121,-0.6344,9.10403,-2.83751,-0.013933,-0.155497,-0.0248709,4.66408,3.46553,8.20151,-0.0335833,0.00947597,0.0380482
0.034,4.85268,-3.41591,7.7282,-0.0927585,-0.0264326,0.0342825,1.97292,-9.30029,-2.6919,0.0690986,-0.125299,0.0103543,-1.28022,9.14462,-3.27835,0.00604453,0.00227451,-0.0201228,9.17632,0.944383,2.84724,0.184296,-0.0165157,0.0926856,-1.72716,-9.4605,-2.42646,-0.0190663,0.0644379,-0.00331681,-0.659209,9.07779,-2.88086,-0.0127548,-0.165903,-0.0230589,4.65038,3.48154,8.19156,-0.0339131,0.0100291,0.0390791
0.035,4.86628,-3.44215,7.71702,-0.089628,-0.0267,0.0314856,1.98762,-9.30457,-2.69789,0.0666969,-0.123948,0.00930293,-1.26451,9.13066,-3.27647,0.00298463,-0.00567561,-0.01888,9.17396,0.965673,2.84568,0.185292,-0.0213051,0.091158,-1.7315,-9.4552,-2.4022,-0.0211208,0.0621043,-0.00423242,-0.684018,9.05155,-2.92422,-0.0115767,-0.17631,-0.0212469,4.63668,3.49754,8.18161,-0.0342428,0.0105823,0.0401101
0.036,4.87609,-3.45408,7.72035,-0.0882545,-0.0268418,0.0300148,1.99242,-9.28952,-2.69336,0.0651099,-0.122767,0.00823496,-1.25993,9.11424,-3.26685,0.00231966,-0.0127905,-0.018181,9.1733,0.981188,2.84986,0.186896,-0.0251604,0.0894406,-1.733,-9.4551,-2.39037,-0.0220026,0.0590467,-0.00473758,-0.695327,9.037,-2.96449,-0.0101155,-0.184266,-0.0209979,4.62756,3.49851,8.17565,-0.0349171,0.0115363,0.0408745
0.037,4.88118,-3.44812,7.74181,-0.089077,-0.0268267,0.0302015,1.98485,-9.25029,-2.67567,0.0645412,-0.121801,0.00714627,-1.26928,9.09478,-3.24757,0.00464836,-0.0188613,-0.018162,9.17477,0.989485,2.86121,0.189258,-0.0278483,0.0874858,-1.73096,-9.46147,-2.39405,-0.0214184,0.055084,-0.00472969,-0.689762,9.03706,-3.0009,-0.00830035,-0.189159,-0.0227025,4.62417,3.48071,8.17468,-0.036022,0.0129914,0.0413059
0.038,4.88628,-3.44217,7.76328,-0.0898996,-0.0268115,0.0303882,1.97728,-9.21107,-2.65798,0.0639724,-0.120834,0.00605759,-1.27863,9.07531,-3.22829,0.00697705,-0.024932,-0.018143,9.17624,0.997782,2.87256,0.191619,-0.0305361,0.0855311,-1.72891,-9.46784,-2.39774,-0.0208343,0.0511214,-0.0047218,-0.684198,9.03712,-3.03732,-0.00648525,-0.194053,-0.0244071,4.62077,3.4629,8.17371,-0.0371268,0.0144464,0.0417373
0.039,4.89137,-3.43621,7.78474,-0.0907222,-0.0267964,0.0305749,1.96971,-9.17185,-2.6403,0.0634037,-0.119867,0.00496891,-1.28798,9.05584,-3.20901,0.00930575,-0.0310028,-0.018124,9.17771,1.00608,2.88391,0.193981,-0.0332239,0.0835763,-1.72687,-9.47422,-2.40142,-0.0202502,0.0471588,-0.00471391,-0.678633,9.03718,-3.07373,-0.00467015,-0.198946,-0.0261117,4.61738,3.44509,8.17274,-0.0382317,0.0159014,0.0421686
0.04,4.89647,-3.43025,7.80621,-0.0915447,-0.0267812,0.0307616,1.96214,-9.13263,-2.62261,0.062835,-0.1189,0.00388023,-1.29733,9.03637,-3.18973,0.0116344,-0.0370736,-0.018105,9.17918,1.01438,2.89526,0.196343,-0.0359118,0.0816216,-1.72483,-9.48059,-2.40511,-0.0196661,0.0431962,-0.00470603,-0.673068,9.03725,-3.11015,-0.00285504,-0.203839,-0.0278164,4.61398,3.42729,8.17177,-0.0393365,0.0173565,0.0426
0.041,4.87714,-3.39502,7.80798,-0.0893039,-0.0237557,0.0302765,1.99586,-9.17324,-2.63689,0.0618192,-0.118746,0.00230394,-1.30709,9.01793,-3.17773,0.0118938,-0.0426372,-0.0181045,9.18995,1.01703,2.89298,0.197417,-0.0371513,0.080435,-1.75659,-9.47161,-2.41409,-0.0218144,0.0398437,-0.00479794,-0.631633,9.02163,-3.18602,-0.00116005,-0.204333,-0.0310913,4.60583,3.43401,8.16361,-0.0392085,0.0187222,0.0422169
0.042,4.85782,-3.35978,7.80974,-0.0870631,-0.0207301,0.0297914,2.02958,-9.21385,-2.65117,0.0608034,-0.118592,0.000727644,-1.31685,8.9995,-3.16573,0.0121531,-0.0482008,-0.0181039,9.20072,1.01968,2.89071,0.19849,-0.0383907,0.0792484,-1.78835,-9.46262,-2.42308,-0.0239626,0.0364911,-0.00488985,-0.590197,9.00601,-3.2619,0.000534945,-0.204827,-0.0343662,4.59768,3.44074,8.15546,-0.0390805,0.0200879,0.0418339
0.043,4.8385,-3.32454,7.81151,-0.0848223,-0.0177046,0.0293063,2.06329,-9.25447,-2.66546,0.0597876,-0.118438,-0.000848648,-1.32661,8.98106,-3.15373,0.0124125,-0.0537644,-0.0181034,9.21149,1.02233,2.88843,0.199563,-0.0396302,0.0780618,-1.82011,-9.45364,-2.43206,-0.0261109,0.0331386,-0.00498177,-0.548761,8.99039,-3.33778,0.00222994,-0.205321,-0.0376411,4.58952,3.44746,8.14731,-0.0389524,0.0214536,0.0414508
0.044,4.81918,-3.2893,7.81328,-0.0825815,-0.014679,0.0288211,2.09701,-9.29508,-2.67974,0.0587718,-0.118284,-0.00242494,-1.33636,8.96263,-3.14174,0.0126718,-0.059328,-0.0181029,9.22226,1.02498,2.88615,0.200636,-0.0408696,0.0768752,-1.85187,-9.44466,-2.44105,-0.0282591,0.0297861,-0.00507368,-0.507325,8.97477,-3.41365,0.00392493,-0.205815,-0.040916,4.58137,3.45419,8.13915,-0.0388244,0.0228193,0.0410677
0.045,4.81353,-3.28256,7.8133,-0.0803434,-0.0147111,0.0274493,2.10222,-9.30104,-2.68945,0.0574209,-0.118101,-0.00235516,-1.3318,8.97468,-3.1364,0.0139807,-0.067002,-0.0176939,9.22847,1.02934,2.89633,0.200944,-0.0412417,0.0754632,-1.8533,-9.44936,-2.4522,-0.0297727,0.0274121,-0.00449053,-0.466971,8.96681,-3.46299,0.0044764,-0.204206,-0.0434232,4.58043,3.47161,8.1387,-0.0389301,0.0224796,0.0421404
0.046,4.81883,-3.29861,7.81191,-0.0781075,-0.0171893,0.0253681,2.08462,-9.27928,-2.69549,0.0558019,-0.117896,-0.000968513,-1.31578,9.01113,-3.13639,0.0161292,-0.0763643,-0.0169582,9.23104,1.03508,2.91648,0.200638,-0.0409199,0.0738707,-1.83048,-9.46502,-2.4651,-0.0307785,0.0258211,-0.00336733,-0.427481,8.96498,-3.49109,0.00411306,-0.200915,-0.0453162,4.58526,3.49758,8.14441,-0.0392228,0.0207756,0.0443776
0.047,4.82413,-3.31467,7.81053,-0.0758715,-0.0196675,0.023287,2.06702,-9.25752,-2.70154,0.0541829,-0.11769,0.000418131,-1.29975,9.04758,-3.13638,0.0182778,-0.0857266,-0.0162226,9.2336,1.04081,2.93662,0.200332,-0.0405981,0.0722782,-1.80766,-9.48067,-2.47799,-0.0317843,0.02423,-0.00224413,-0.387991,8.96315,-3.5192,0.00374971,-0.197623,-0.0472092,4.5901,3.52356,8.15011,-0.0395155,0.0190715,0.0466148
