Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.03,4.83793,-1.8342,8.1105,-0.0177315,0.00150866,-0.000115992,0.501256,9.6743,-0.994592,-0.0197572,0.0170746,0.00309952,-0.613535,9.65747,-0.0115129,0.0223825,0.02126,0.00425995,4.69864,1.02654,8.80791,0.00673977,-0.0106752,0.0119348,-1.99862,-9.39928,-2.13587,-0.00622182,0.00647239,-0.0133481,8.99301,-1.89059,3.6276,-0.049767,0.0185938,0.0173478,0.807006,-9.90666,-0.651078,-0.0550871,0.0344439,0.0352783
0.031,4.8341,-1.83772,8.07342,-0.0171092,0.00170592,-0.00245146,0.500808,9.68517,-1.01026,-0.0214026,0.0166383,0.00377505,-0.609973,9.63154,0.0083779,0.0204115,0.020918,0.0042218,4.70718,1.03479,8.81166,0.00834198,-0.0102011,0.0116812,-1.99201,-9.39704,-2.13809,-0.0064846,0.00489782,-0.0138371,8.99203,-1.9292,3.6272,-0.0511255,0.0181766,0.0178657,0.802028,-9.90073,-0.645268,-0.0548397,0.034074,0.0351583
0.032,4.79747,-1.82424,8.09235,-0.0161644,0.000932655,-0.00148253,0.511143,9.67825,-1.01784,-0.0223019,0.0168144,0.00149942,-0.621423,9.62254,0.0026111,0.0205803,0.0223606,0.00356347,4.70859,1.02822,8.80783,0.00839954,-0.0108354,0.0108414,-1.97838,-9.39115,-2.15691,-0.00753367,0.00421787,-0.0145211,8.97484,-1.93906,3.60976,-0.0505539,0.0186356,0.0204915,0.794822,-9.91306,-0.648272,-0.0538316,0.0327255,0.0344769
0.033,4.75673,-1.80863,8.11828,-0.0151793,3.81e-05,-0.000100553,0.522826,9.66911,-1.02442,-0.0231079,0.017067,-0.0011451,-0.634749,9.61566,-0.00636289,0.0210165,0.0240264,0.00282762,4.70912,1.01979,8.80307,0.00826402,-0.0116082,0.00992821,-1.96388,-9.3848,-2.17781,-0.00868104,0.00364974,-0.0152296,8.95562,-1.94533,3.59019,-0.0497411,0.0192041,0.0233808,0.787338,-9.92767,-0.652376,-0.0527285,0.0312547,0.0337253
0.034,4.716,-1.79302,8.14421,-0.0141942,-0.00085651,0.00128142,0.534509,9.65996,-1.031,-0.0239139,0.0173196,-0.00378963,-0.648075,9.60878,-0.0153369,0.0214527,0.0256922,0.00209177,4.70964,1.01137,8.7983,0.00812851,-0.012381,0.00901505,-1.94937,-9.37846,-2.19871,-0.00982841,0.00308162,-0.015938,8.93641,-1.9516,3.57061,-0.0489282,0.0197726,0.0262701,0.779854,-9.94228,-0.656481,-0.0516254,0.0297839,0.0329737
0.035,4.67527,-1.77741,8.17014,-0.0132092,-0.00175109,0.0026634,0.546192,9.65082,-1.03757,-0.0247198,0.0175723,-0.00643415,-0.661401,9.6019,-0.0243109,0.0218889,0.027358,0.00135592,4.71017,1.00295,8.79353,0.00799299,-0.0131537,0.0081019,-1.93486,-9.37211,-2.2196,-0.0109758,0.00251349,-0.0166464,8.91719,-1.95787,3.55104,-0.0481153,0.0203412,0.0291593,0.77237,-9.95688,-0.660586,-0.0505223,0.0283131,0.0322221
0.036,4.66413,-1.77829,8.19935,-0.012301,-0.00216531,0.0026445,0.548788,9.64577,-1.04504,-0.0249436,0.0184539,-0.00861678,-0.669957,9.59813,-0.0322368,0.0230939,0.0283689,0.0014531,4.7038,0.992591,8.78701,0.0074661,-0.0139074,0.00794217,-1.93171,-9.36907,-2.23643,-0.0113598,0.00206886,-0.0174311,8.91381,-1.96522,3.55189,-0.0473983,0.021739,0.0305269,0.761896,-9.97097,-0.667812,-0.0497184,0.0269187,0.0314996
0.037,4.69001,-1.79978,8.23266,-0.011489,-0.00197908,0.000874516,0.540025,9.64585,-1.05363,-0.0244395,0.0201218,-0.010222,-0.672551,9.59825,-0.0388527,0.0252601,0.0285612,0.00259156,4.68884,0.979824,8.77831,0.00644998,-0.0146371,0.00872421,-1.94275,-9.37016,-2.24816,-0.0107895,0.0017786,-0.018311,8.93021,-1.97393,3.57826,-0.0468011,0.0241736,0.0299924,0.747685,-9.9844,-0.678938,-0.0492884,0.0256196,0.0308134
0.038,4.71588,-1.82127,8.26597,-0.010677,-0.00179284,-0.000895472,0.531263,9.64594,-1.06221,-0.0239354,0.0217897,-0.0118273,-0.675144,9.59836,-0.0454685,0.0274262,0.0287535,0.00373003,4.67387,0.967056,8.7696,0.00543387,-0.0153668,0.00950626,-1.9538,-9.37124,-2.2599,-0.0102192,0.00148834,-0.019191,8.94662,-1.98264,3.60463,-0.046204,0.0266082,0.0294579,0.733474,-9.99783,-0.690064,-0.0488584,0.0243205,0.0301273
0.039,4.74175,-1.84277,8.29928,-0.00986505,-0.00160661,-0.00266546,0.5225,9.64602,-1.0708,-0.0234314,0.0234576,-0.0134326,-0.677738,9.59848,-0.0520844,0.0295923,0.0289458,0.00486849,4.6589,0.954288,8.7609,0.00441775,-0.0160966,0.0102883,-1.96484,-9.37233,-2.27163,-0.00964896,0.00119808,-0.0200709,8.96302,-1.99135,3.63101,-0.0456068,0.0290427,0.0289234,0.719263,-10.0113,-0.70119,-0.0484284,0.0230214,0.0294411
0.04,4.76762,-1.86426,8.3326,-0.00905306,-0.00142037,-0.00443545,0.513738,9.6461,-1.07938,-0.0229273,0.0251255,-0.0150378,-0.680332,9.5986,-0.0587002,0.0317585,0.029138,0.00600696,4.64393,0.941521,8.75219,0.00340164,-0.0168263,0.0110703,-1.97588,-9.37342,-2.28336,-0.0090787,0.000907824,-0.0209509,8.97942,-2.00006,3.65738,-0.0450096,0.0314773,0.028389,0.705052,-10.0247,-0.712316,-0.0479984,0.0217223,0.028755
0.041,4.76172,-1.83201,8.31871,-0.0109559,-0.000531305,-0.00305473,0.517549,9.6395,-1.0775,-0.0230002,0.0236681,-0.0160464,-0.658217,9.59544,-0.0452692,0.0325039,0.0266435,0.006494,4.68366,0.981125,8.73635,0.00208574,-0.0162778,0.009691,-2.01046,-9.38485,-2.27856,-0.00906483,-0.000159036,-0.0212372,8.95751,-1.99094,3.65042,-0.0445209,0.0311846,0.0309992,0.694606,-10.0181,-0.713934,-0.0475671,0.0206024,0.0292785
0.042,4.75582,-1.79975,8.30482,-0.0128587,0.000357764,-0.001674,0.521361,9.6329,-1.07562,-0.0230731,0.0222107,-0.0170549,-0.636103,9.59229,-0.0318382,0.0332493,0.0241489,0.00698104,4.72339,1.02073,8.72051,0.000769832,-0.0157293,0.00831166,-2.04503,-9.39627,-2.27377,-0.00905097,-0.0012259,-0.0215235,8.93559,-1.98183,3.64346,-0.0440322,0.0308919,0.0336095,0.68416,-10.0116,-0.715553,-0.0471358,0.0194825,0.029802
0.043,4.74992,-1.7675,8.29094,-0.0147616,0.00124683,-0.000293282,0.525172,9.62629,-1.07374,-0.023146,0.0207533,-0.0180635,-0.613988,9.58913,-0.0184072,0.0339947,0.0216544,0.00746808,4.76311,1.06033,8.70466,-0.000546071,-0.0151808,0.00693232,-2.07961,-9.4077,-2.26897,-0.0090371,-0.00229276,-0.0218098,8.91367,-1.97271,3.6365,-0.0435435,0.0305993,0.0362198,0.673715,-10.005,-0.717172,-0.0467045,0.0183625,0.0303256
0.044,4.74401,-1.73524,8.27705,-0.0166644,0.0021359,0.00108744,0.528984,9.61969,-1.07186,-0.0232189,0.0192958,-0.019072,-0.591874,9.58598,-0.00497614,0.0347401,0.0191598,0.00795512,4.80284,1.09994,8.68882,-0.00186197,-0.0146322,0.00555298,-2.11418,-9.41913,-2.26417,-0.00902324,-0.00335962,-0.0220961,8.89176,-1.9636,3.62954,-0.0430549,0.0303066,0.0388301,0.663269,-9.99845,-0.718791,-0.0462732,0.0172426,0.0308491
0.045,4.74623,-1.73141,8.26175,-0.0171484,0.00318323,0.00234319,0.526853,9.61293,-1.07515,-0.0221548,0.0187827,-0.0190502,-0.571799,9.58024,-0.00320502,0.0352137,0.017316,0.00819582,4.81955,1.12588,8.68145,-0.00184806,-0.013625,0.00537412,-2.13113,-9.42206,-2.25699,-0.00945995,-0.00466948,-0.0222633,8.89332,-1.94794,3.63162,-0.0429288,0.0303737,0.0401833,0.663907,-9.99294,-0.7165,-0.0452596,0.0166052,0.0318433
0.046,4.75493,-1.75032,8.24533,-0.0164973,0.00435717,0.00349895,0.519969,9.60605,-1.08258,-0.0201811,0.0190251,-0.018204,-0.553357,9.57244,-0.0107618,0.0354699,0.0159928,0.00823945,4.81786,1.1409,8.68084,-0.00077028,-0.0122506,0.00615564,-2.13397,-9.41818,-2.24789,-0.0102571,-0.00617374,-0.0223354,8.91368,-1.92705,3.64094,-0.043093,0.0307287,0.0405309,0.673412,-9.98828,-0.711081,-0.0437801,0.0163538,0.0332141
0.047,4.76364,-1.76924,8.22891,-0.0158463,0.0055311,0.00465472,0.513085,9.59917,-1.09001,-0.0182073,0.0192675,-0.0173579,-0.534914,9.56463,-0.0183186,0.0357261,0.0146696,0.00828307,4.81616,1.15593,8.68024,0.000307496,-0.0108763,0.00693715,-2.13681,-9.41431,-2.23879,-0.0110543,-0.00767801,-0.0224075,8.93403,-1.90616,3.65026,-0.0432571,0.0310837,0.0408785,0.682917,-9.98361,-0.705663,-0.0423005,0.0161024,0.0345849
0.048,4.77234,-1.78815,8.21248,-0.0151952,0.00670504,0.00581048,0.506201,9.59229,-1.09743,-0.0162336,0.0195098,-0.0165117,-0.516472,9.55683,-0.0258754,0.0359823,0.0133464,0.0083267,4.81446,1.17095,8.67963,0.00138527,-0.00950202,0.00771867,-2.13965,-9.41043,-2.22969,-0.0118515,-0.00918227,-0.0224796,8.95439,-1.88527,3.65958,-0.0434212,0.0314387,0.041226,0.692422,-9.97894,-0.700244,-0.040821,0.015851,0.0359556
