Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z
0.03,8.59582,-2.52708,3.70023,0.485101,-0.479883,-0.0760961,4.31963,3.1612,8.08843,0.0482401,-0.0197402,-0.00516918,-1.54262,-5.21671,5.76076,1.0107,1.04989,-0.315438,0.422891,-9.60981,-2.54977,0.0390198,-0.187121,0.0947078,-0.689402,-9.39441,-1.04047,0.0310034,-0.638218,0.484999,-2.60314,7.07236,1.62685,0.0526514,-0.152576,0.166508,2.02697,7.60299,-3.71273,-0.239688,-0.724638,-0.202662
0.031,8.62811,-2.5258,3.67864,0.489155,-0.480969,-0.0755781,4.31224,3.16969,8.08644,0.0492655,-0.0186409,-0.00495889,-2.24321,-4.40449,5.25127,0.87503,1.05611,-0.272959,0.422547,-9.60767,-2.54104,0.0406415,-0.18465,0.0973001,-0.653285,-9.39338,-1.06929,0.0225175,-0.651842,0.488759,-2.78348,7.1415,1.65037,0.0914733,-0.232036,0.155536,2.07766,7.47181,-3.9377,-0.226211,-0.733926,-0.157754
0.032,8.62089,-2.53548,3.67645,0.492848,-0.478762,-0.0741593,4.29793,3.19667,8.09494,0.0494393,-0.017584,-0.00501342,-2.28502,-4.31078,5.19935,0.673007,1.02532,-0.205868,0.4251,-9.60587,-2.54092,0.0440715,-0.183422,0.0990698,-0.610045,-9.36924,-1.12314,0.0168802,-0.66478,0.496779,-2.95937,7.2583,1.61686,0.135515,-0.298492,0.149793,1.8605,7.28593,-4.22273,-0.189959,-0.740884,-0.12832
0.033,8.60874,-2.54653,3.67669,0.496495,-0.476144,-0.0726278,4.28276,3.22596,8.10476,0.0495066,-0.0165324,-0.00510105,-2.24447,-4.30688,5.20462,0.462688,0.989913,-0.1357,0.428015,-9.60411,-2.54188,0.0477276,-0.18235,0.100737,-0.565915,-9.34222,-1.18012,0.011599,-0.677633,0.505331,-3.13471,7.38104,1.57623,0.180209,-0.363321,0.144704,1.60985,7.0932,-4.51528,-0.150859,-0.74755,-0.10082
0.034,8.5966,-2.55757,3.67693,0.500143,-0.473526,-0.0710964,4.26758,3.25526,8.11457,0.0495739,-0.0154808,-0.00518868,-2.20392,-4.30298,5.20988,0.25237,0.954504,-0.0655329,0.43093,-9.60236,-2.54284,0.0513837,-0.181277,0.102404,-0.521785,-9.3152,-1.2371,0.00631786,-0.690485,0.513884,-3.31005,7.50379,1.5356,0.224903,-0.428151,0.139615,1.3592,6.90048,-4.80782,-0.11176,-0.754216,-0.0733196
0.035,8.58445,-2.56862,3.67717,0.503791,-0.470907,-0.069565,4.2524,3.28455,8.12439,0.0496412,-0.0144292,-0.00527631,-2.16337,-4.29908,5.21515,0.0420517,0.919094,0.00463456,0.433845,-9.6006,-2.5438,0.0550398,-0.180205,0.10407,-0.477655,-9.28817,-1.29407,0.00103668,-0.703337,0.522436,-3.48539,7.62654,1.49497,0.269597,-0.49298,0.134526,1.10856,6.70775,-5.10037,-0.0726609,-0.760883,-0.0458195
0.036,8.58372,-2.58147,3.68609,0.507065,-0.469456,-0.0678994,4.24679,3.30167,8.12695,0.0491549,-0.0137748,-0.00546533,-1.88626,-4.57793,5.22955,-0.172393,0.888887,0.0574284,0.448062,-9.60309,-2.54761,0.0584363,-0.18033,0.106448,-0.432125,-9.2587,-1.34415,-0.00409133,-0.716111,0.530329,-3.67337,7.72817,1.41336,0.315682,-0.549251,0.129263,0.844108,6.54182,-5.35177,-0.0264219,-0.768895,-0.0263239
0.037,8.59727,-2.59657,3.70588,0.509873,-0.469463,-0.0660661,4.25315,3.30359,8.12044,0.0479766,-0.013617,-0.00578107,-1.31345,-5.2102,5.25536,-0.391994,0.865183,0.0885053,0.476405,-9.6109,-2.55498,0.0615085,-0.181951,0.109715,-0.384845,-9.22617,-1.38559,-0.00902787,-0.728788,0.537399,-3.87716,7.80341,1.28051,0.363505,-0.594821,0.123784,0.56241,6.40937,-5.55175,0.0287418,-0.778588,-0.016834
0.038,8.61082,-2.61168,3.72567,0.51268,-0.469471,-0.0642329,4.2595,3.30551,8.11393,0.0467983,-0.0134591,-0.00609682,-0.740629,-5.84248,5.28118,-0.611596,0.841478,0.119582,0.504748,-9.6187,-2.56236,0.0645807,-0.183572,0.112982,-0.337565,-9.19364,-1.42704,-0.0139644,-0.741464,0.544468,-4.08094,7.87866,1.14767,0.411328,-0.640392,0.118305,0.280712,6.27692,-5.75172,0.0839056,-0.788282,-0.00734405
0.039,8.62436,-2.62679,3.74546,0.515488,-0.469478,-0.0623997,4.26586,3.30743,8.10742,0.0456201,-0.0133012,-0.00641256,-0.167812,-6.47475,5.30699,-0.831197,0.817773,0.150659,0.533092,-9.62651,-2.56973,0.0676528,-0.185194,0.116248,-0.290286,-9.16111,-1.46849,-0.018901,-0.754141,0.551538,-4.28472,7.9539,1.01482,0.459151,-0.685963,0.112826,-0.000986298,6.14446,-5.9517,0.139069,-0.797975,0.0021459
