Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.084,0.0448834,0.0343298,0.0368817,0.0224899,0.0883609,0.069783,0.042092,-0.0242838,0.0659616,0.0244437,0.0560138,0.0466098,0.0621344,0.0377145,0.0651819,0.05724
0.085,0.0317609,0.0376868,0.0307782,0.0380539,0.0883609,0.0444534,0.038735,-0.0337442,0.0677927,0.0461111,0.0462482,0.0316562,0.0496222,0.0468698,0.0276453,0.0404553
0.086,0.059837,0.0459265,0.0725873,0.0588058,0.107892,0.0639847,0.0829855,-0.0136026,0.0864084,0.0519095,0.0590656,0.0386752,0.0728156,0.0596872,0.0477869,0.0587659
0.087,0.0625836,0.045011,0.0405438,0.041716,0.0889712,0.074971,0.0683371,-0.00963532,0.0983102,0.0259695,0.0428912,0.0594272,0.0734259,0.0657907,0.0233728,0.0425916
0.088,0.0479352,0.0199866,0.00697449,0.0389694,0.0612003,0.0850418,0.0536887,-0.0233682,0.0345285,0.0311575,0.0422809,0.0356235,0.0447394,0.034968,0.0267297,0.0425916
0.089,0.0461041,0.0486731,0.0509198,0.0423264,0.0657779,0.0722244,0.0460593,-0.00902496,0.0546701,0.0574026,0.0526569,0.0594272,0.0535895,0.0676218,0.0401575,0.0456433
0.09,0.0543439,0.0483679,0.0301678,0.0688766,0.0795108,0.067952,0.038735,0.00745453,0.0622995,0.042449,0.0419757,0.0481357,0.0453497,0.0606027,0.0444299,0.0554089
0.091,0.0436627,0.0456213,0.0222333,0.0542282,0.0563174,0.0606277,0.0158469,0.00501312,0.0268991,0.0400076,0.0270221,0.0411166,0.0496222,0.0340524,0.0157434,0.0282483
0.092,0.0204694,0.0184607,0.0277264,0.0493454,0.0743228,0.0542191,0.0121848,-0.0169595,0.0330026,0.052825,0.0322101,0.0398959,0.0529791,0.0276437,0.0432092,0.0355725
0.093,0.025047,0.062406,0.0527509,0.074675,0.0785953,0.0578812,0.0262228,0.0175253,0.0577219,0.0540457,0.0288532,0.0395908,0.0630499,0.0569406,0.0563318,0.0538831
0.094,0.0543439,0.0434851,0.056413,0.062468,0.0612003,0.0703934,0.0131003,0.0147787,0.0415475,0.0708304,0.0297687,0.0151767,0.047486,0.0242868,0.070675,0.0285535
0.095,0.0628888,0.0358557,0.0280316,0.0444626,0.0492984,0.0764969,0.014321,-0.0126871,0.0345285,0.0229178,0.0590656,0.0240268,0.0477911,0.0209299,0.0328333,0.0255017
0.096,0.0497662,0.0471472,0.0442059,0.0743698,0.0688296,0.0844315,0.0301901,0.0105063,0.0586374,0.0409232,0.0773761,0.0463046,0.0664069,0.0346628,0.0520593,0.0654797
0.097,0.0601422,0.0428748,0.0588544,0.0527023,0.046857,0.0529984,0.0112692,0.000740662,0.0653513,0.0451956,0.0566241,0.046915,0.0523688,0.0291696,0.0541956,0.0367932
0.098,0.0616681,0.032804,0.0442059,0.0505661,0.0496036,0.040181,0.0164572,0.0053183,0.0604684,2.96E-05,0.0236652,0.0234164,0.047486,0.0535837,0.0377161,0.0102429
0.099,0.0671613,0.0273108,0.0445111,0.0444626,0.0663882,0.0258377,0.0234763,0.00348724,0.0534494,0.0287161,0.0483844,0.0551547,0.0505377,0.031611,0.0386316,0.0526624
0.1,0.0906598,0.0352454,0.06862,0.0575851,0.0557071,0.0511673,0.0393454,0.0294272,0.0436838,0.0311575,0.0508258,0.0716342,0.0514532,0.034968,0.0508386,0.0557141
0.101,0.0577008,0.024259,0.0472577,0.0588058,0.0435001,0.0313309,0.02134,0.027291,0.0571115,0.0256644,0.0291583,0.0511874,0.0364996,0.0425973,0.0331384,0.0502209
0.102,0.0482404,0.0419592,0.0393231,0.0459885,0.0212222,0.0728348,0.0341574,0.0166098,0.028425,0.025054,0.0319049,0.0551547,0.0575568,0.0389352,0.0191003,0.062428
0.103,0.0662457,0.0437903,0.053056,0.0594162,0.0392276,0.0856522,0.0738303,0.0346152,0.0626047,0.058013,0.0386188,0.0646152,0.0621344,0.0511423,0.0218469,0.0734143
0.104,0.0451886,0.0462317,0.0411542,0.0707077,0.0349551,0.0710037,0.0762717,0.0269858,0.0375803,0.0455008,0.0523517,0.0655307,0.0758673,0.026423,0.00933472,0.0657849
0.105,0.0232159,0.0245642,0.030473,0.0530075,-0.00258148,0.0566605,0.0622336,0.0163046,0.0537546,0.0259695,0.0383136,0.046915,0.0297858,0.0166574,-0.0123328,0.0425916
0.106,0.0161969,0.0529456,0.0368817,0.0554489,0.0221378,0.0587967,0.0640646,0.0184409,0.0717599,0.0531302,0.0499103,0.0560703,0.0645758,0.0224558,0.0245935,0.0593762
0.107,0.0470197,0.0444006,0.0652631,0.0585007,0.0319034,0.0694778,0.0585715,0.0385825,0.104109,0.0335989,0.0612018,0.0737704,0.0578619,0.0511423,0.0212366,0.0499158
0.108,0.0543439,0.0132727,0.0603803,0.0304245,0.0291568,0.0563553,0.0347678,0.0214926,0.0937326,0.0628958,0.0554034,0.0496616,0.0514532,0.0425973,0.0590784,0.0514417
0.109,0.0732648,0.0312781,0.0542767,0.0105881,0.0142032,0.0887039,0.0250021,0.044686,0.112654,0.0522147,0.0373981,0.0453891,0.0657965,0.0599924,0.0871545,0.0633435
0.11,0.112327,0.0511145,0.0643475,0.0527023,0.0392276,0.113728,0.0564352,0.041329,0.11601,0.0577078,0.0767657,0.0698032,0.0685431,0.0532785,0.0822717,0.0834851
0.111,0.0732648,0.0324988,0.0600751,0.0328659,0.0187808,0.118001,0.0655905,0.0391928,0.123335,0.0278006,0.0608966,0.0368442,0.0310065,0.0206247,0.0456506,0.0706677
