Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.03,-0.671876,9.36588,-2.34134,-0.155451,0.0764198,0.107873,2.44469,-9.2833,-2.20202,-0.216471,0.136776,0.0122186,5.33674,3.48726,7.6593,-0.0452422,-0.0012846,0.0160429,6.257,-3.08803,6.96687,0.0508072,0.0272955,-0.0538866,9.09442,-1.82247,4.36628,-0.205791,0.0209307,-0.116195,1.46593,9.70184,-1.03642,-0.152831,0.00253055,-0.1035,-0.273425,-9.99665,-1.07208,-0.0668285,0.286903,0.0570789
0.031,-0.674836,9.31153,-2.34725,-0.152749,0.0821289,0.10349,2.43537,-9.27944,-2.17305,-0.220148,0.137232,0.0157812,5.33884,3.5139,7.66548,-0.0474015,-0.00120833,0.0209796,6.25512,-3.09921,6.95901,0.0527108,0.0282551,-0.0537044,9.0804,-1.85128,4.34723,-0.205565,0.0193461,-0.117467,1.46657,9.70478,-1.0258,-0.151714,0.00416947,-0.100919,-0.269689,-10.0059,-1.06013,-0.0681126,0.286752,0.055266
0.032,-0.669907,9.29424,-2.3284,-0.149281,0.0890975,0.0983493,2.43395,-9.29471,-2.18844,-0.219005,0.139568,0.0202292,5.32296,3.47955,7.66545,-0.0458364,-4.11951e-005,0.0232532,6.25791,-3.09922,6.96117,0.0541552,0.0299231,-0.0537164,9.06879,-1.85545,4.34562,-0.206151,0.0186508,-0.116914,1.47271,9.6829,-1.01152,-0.149872,0.007113,-0.0990366,-0.25593,-9.99425,-1.06118,-0.0694716,0.286738,0.0529658
0.033,-0.663992,9.28159,-2.30644,-0.145718,0.0962234,0.0931145,2.43351,-9.31237,-2.20937,-0.217259,0.142138,0.0247877,5.30483,3.43758,7.66463,-0.0438057,0.0012623,0.0251939,6.26128,-3.09784,6.96457,0.0555421,0.0316795,-0.0537526,9.05749,-1.85655,4.34619,-0.206839,0.0180666,-0.116133,1.47954,9.65791,-0.996777,-0.147939,0.0102196,-0.0972418,-0.240917,-9.98,-1.06385,-0.0708399,0.286742,0.0506046
0.034,-0.658077,9.26894,-2.28449,-0.142155,0.103349,0.0878796,2.43308,-9.33003,-2.2303,-0.215513,0.144708,0.0293463,5.2867,3.39561,7.66381,-0.041775,0.00256579,0.0271346,6.26465,-3.09645,6.96798,0.0569291,0.033436,-0.0537888,9.04619,-1.85765,4.34676,-0.207528,0.0174825,-0.115352,1.48637,9.63293,-0.982034,-0.146006,0.0133262,-0.095447,-0.225904,-9.96576,-1.06653,-0.0722083,0.286745,0.0482434
0.035,-0.652163,9.25628,-2.26253,-0.138592,0.110475,0.0826448,2.43264,-9.3477,-2.25124,-0.213767,0.147278,0.0339049,5.26858,3.35363,7.663,-0.0397443,0.00386929,0.0290753,6.26802,-3.09507,6.97139,0.0583161,0.0351925,-0.053825,9.03489,-1.85875,4.34733,-0.208216,0.0168984,-0.114572,1.4932,9.60794,-0.967291,-0.144073,0.0164328,-0.0936521,-0.210892,-9.95151,-1.0692,-0.0735767,0.286749,0.0458822
0.036,-0.64686,9.23391,-2.25073,-0.136871,0.116972,0.0758911,2.42756,-9.35799,-2.25736,-0.212954,0.149696,0.0370384,5.2738,3.3049,7.68736,-0.0398205,0.00504901,0.031087,6.26727,-3.09614,6.9786,0.0596132,0.0362266,-0.0540455,9.0192,-1.86497,4.33997,-0.207942,0.0160506,-0.113832,1.49236,9.58647,-0.965822,-0.142898,0.0199436,-0.0921858,-0.194386,-9.94549,-1.07587,-0.0751085,0.287923,0.0438184
0.037,-0.642323,9.19937,-2.25161,-0.137453,0.122683,0.0672388,2.41665,-9.35908,-2.24497,-0.213308,0.151924,0.0383905,5.30821,3.24772,7.74321,-0.0425301,0.00607401,0.0331875,6.26137,-3.1003,6.99059,0.0607979,0.0363578,-0.0544966,8.99802,-1.87761,4.32269,-0.206465,0.0148732,-0.113143,1.48195,9.56941,-0.980947,-0.14267,0.0239597,-0.0911303,-0.176015,-9.94974,-1.08753,-0.0768446,0.29056,0.0421266
0.038,-0.637785,9.16483,-2.2525,-0.138034,0.128394,0.0585866,2.40575,-9.36017,-2.23258,-0.213663,0.154153,0.0397427,5.34261,3.19054,7.79906,-0.0452398,0.00709902,0.035288,6.25548,-3.10446,7.00257,0.0619826,0.036489,-0.0549477,8.97685,-1.89024,4.30541,-0.204987,0.0136958,-0.112455,1.47154,9.55234,-0.996071,-0.142443,0.0279758,-0.0900747,-0.157643,-9.954,-1.09918,-0.0785806,0.293197,0.0404347
0.039,-0.633248,9.13029,-2.25338,-0.138616,0.134105,0.0499344,2.39485,-9.36126,-2.22019,-0.214017,0.156381,0.0410948,5.37702,3.13336,7.8549,-0.0479494,0.00812402,0.0373885,6.24958,-3.10862,7.01456,0.0631673,0.0366202,-0.0553988,8.95567,-1.90288,4.28813,-0.20351,0.0125185,-0.111766,1.46113,9.53527,-1.0112,-0.142215,0.0319919,-0.0890191,-0.139271,-9.95825,-1.11084,-0.0803167,0.295835,0.0387429
0.04,-0.628711,9.09576,-2.25427,-0.139197,0.139816,0.0412821,2.38395,-9.36235,-2.2078,-0.214371,0.15861,0.042447,5.41143,3.07619,7.91075,-0.0506591,0.00914903,0.0394891,6.24368,-3.11278,7.02654,0.0643521,0.0367514,-0.0558499,8.9345,-1.91551,4.27085,-0.202033,0.0113411,-0.111077,1.45072,9.51821,-1.02632,-0.141987,0.036008,-0.0879635,-0.120899,-9.9625,-1.1225,-0.0820527,0.298472,0.037051
0.041,-0.639478,9.12024,-2.27467,-0.139044,0.144488,0.0368086,2.3694,-9.37294,-2.19848,-0.213731,0.158047,0.0441746,5.43326,3.04192,7.875,-0.0523105,0.0136073,0.0429799,6.2459,-3.10136,7.03419,0.0660509,0.0373525,-0.0559798,8.91144,-1.93358,4.25233,-0.201468,0.013067,-0.111477,1.45276,9.50998,-1.04223,-0.141099,0.0417009,-0.0857624,-0.117903,-9.9729,-1.13067,-0.0838156,0.301367,0.0365908
0.042,-0.650245,9.14472,-2.29507,-0.138892,0.149159,0.032335,2.35485,-9.38352,-2.18916,-0.21309,0.157485,0.0459023,5.45509,3.00765,7.83924,-0.0539619,0.0180657,0.0464708,6.24813,-3.08994,7.04184,0.0677497,0.0379536,-0.0561097,8.88838,-1.95165,4.2338,-0.200903,0.0147929,-0.111877,1.4548,9.50175,-1.05814,-0.14021,0.0473938,-0.0835613,-0.114906,-9.98329,-1.13883,-0.0855785,0.304262,0.0361305
0.043,-0.661012,9.16921,-2.31547,-0.138739,0.153831,0.0278615,2.34029,-9.3941,-2.17983,-0.212449,0.156922,0.04763,5.47693,2.97338,7.80349,-0.0556133,0.022524,0.0499617,6.25036,-3.07851,7.04949,0.0694485,0.0385546,-0.0562395,8.86532,-1.96972,4.21528,-0.200338,0.0165188,-0.112277,1.45684,9.49352,-1.07405,-0.139322,0.0530867,-0.0813602,-0.11191,-9.99369,-1.147,-0.0873415,0.307157,0.0356703
0.044,-0.67178,9.19369,-2.33588,-0.138586,0.158502,0.0233879,2.32574,-9.40468,-2.17051,-0.211809,0.156359,0.0493576,5.49876,2.93911,7.76773,-0.0572647,0.0269823,0.0534526,6.25258,-3.06709,7.05714,0.0711473,0.0391557,-0.0563694,8.84227,-1.9878,4.19675,-0.199773,0.0182448,-0.112677,1.45888,9.4853,-1.08996,-0.138434,0.0587796,-0.0791591,-0.108914,-10.0041,-1.15516,-0.0891044,0.310052,0.0352101
0.045,-0.676422,9.21014,-2.34288,-0.138384,0.163763,0.0206244,2.30783,-9.42877,-2.16212,-0.212952,0.156735,0.05255,5.51054,2.92783,7.75063,-0.0608936,0.0284675,0.0546933,6.25302,-3.05291,7.06513,0.0727807,0.0391358,-0.0554826,8.8226,-1.98898,4.17893,-0.199415,0.020932,-0.112739,1.46322,9.47192,-1.1013,-0.136245,0.0652509,-0.0772895,-0.115022,-10.0113,-1.16364,-0.0909242,0.313213,0.0344656
0.046,-0.676165,9.22017,-2.33917,-0.138142,0.169497,0.0192289,2.28724,-9.46367,-2.15449,-0.215521,0.157863,0.0569143,5.51428,2.93494,7.74843,-0.0661044,0.0275743,0.0541338,6.25202,-3.03653,7.07338,0.0743617,0.038619,-0.0537824,8.80565,-1.97665,4.16168,-0.199223,0.0243884,-0.112529,1.46941,9.45442,-1.10898,-0.133017,0.0723449,-0.0756852,-0.128414,-10.0161,-1.17235,-0.0927897,0.316588,0.0334938
0.047,-0.675909,9.23019,-2.33546,-0.1379,0.17523,0.0178334,2.26665,-9.49857,-2.14686,-0.21809,0.158991,0.0612785,5.51801,2.94206,7.74624,-0.0713153,0.026681,0.0535743,6.25102,-3.02016,7.08163,0.0759428,0.0381022,-0.0520823,8.78869,-1.96433,4.14444,-0.199032,0.0278448,-0.112319,1.47559,9.43693,-1.11666,-0.129789,0.0794389,-0.0740809,-0.141806,-10.0209,-1.18107,-0.0946551,0.319963,0.032522
0.048,-0.675652,9.24022,-2.33175,-0.137658,0.180964,0.0164379,2.24605,-9.53346,-2.13923,-0.220659,0.160118,0.0656427,5.52175,2.94917,7.74405,-0.0765261,0.0257878,0.0530148,6.25002,-3.00378,7.08988,0.0775238,0.0375854,-0.0503821,8.77174,-1.952,4.12719,-0.19884,0.0313011,-0.112109,1.48178,9.41943,-1.12434,-0.126561,0.0865329,-0.0724766,-0.155198,-10.0256,-1.18978,-0.0965205,0.323339,0.0315501
0.049,-0.675646,9.25238,-2.32762,-0.137848,0.186884,0.0150376,2.22745,-9.56485,-2.13196,-0.222748,0.161133,0.0699139,5.52162,2.95537,7.74402,-0.0810069,0.0249564,0.0525589,6.24886,-2.98754,7.09917,0.0791026,0.0370945,-0.0487394,8.75479,-1.94034,4.10837,-0.198581,0.0343726,-0.111963,1.48814,9.40402,-1.13261,-0.123487,0.0935594,-0.0709039,-0.168381,-10.0307,-1.19581,-0.0982956,0.32679,0.0304146
0.05,-0.677648,9.2817,-2.32012,-0.141502,0.194298,0.0135979,2.22477,-9.56817,-2.12755,-0.220991,0.161242,0.073441,5.49059,2.95419,7.7613,-0.0796464,0.0246204,0.0529318,6.24643,-2.97241,7.11677,0.0806635,0.0368108,-0.047556,8.73787,-1.934,4.07701,-0.197788,0.0343652,-0.112329,1.49591,9.40527,-1.14564,-0.121648,0.100046,-0.0695843,-0.179887,-10.0387,-1.18036,-0.0993478,0.330849,0.0279692
