Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z
0.03,8.40323,-0.60493,5.1638,-0.4676,0.223264,0.0398009,4.2186,2.82149,8.50267,-0.0524586,-0.0347051,-0.0295531,-0.482029,-7.36096,3.61469,0.87164,0.302775,-0.183018,-0.415614,-10.3004,-1.06007,-0.307506,0.228617,-0.302045,-0.0987037,-10.601,-1.72131,0.0830303,-0.29198,0.312568,1.47207,9.55909,-0.848709,0.366475,-0.633682,0.0494935,2.7665,9.04328,-2.80949,-0.492498,-1.57513,0.0524959
0.031,8.39609,-0.637537,5.10473,-0.467419,0.233665,0.0312839,4.2109,2.84697,8.4998,-0.0477968,-0.0378041,-0.0311489,-0.51148,-7.23786,3.54327,0.761215,0.283079,-0.0797528,-0.421036,-10.2625,-1.06248,-0.310378,0.207058,-0.311192,-0.166475,-10.5482,-1.69335,0.101741,-0.295199,0.322191,1.46766,9.53539,-0.89249,0.330133,-0.591876,0.036577,3.11122,8.97769,-2.8273,-0.483283,-1.54163,0.0450392
0.032,8.37371,-0.633134,5.07458,-0.467236,0.24549,0.0233051,4.22836,2.80347,8.50851,-0.0467335,-0.043277,-0.034855,-0.540504,-6.94942,3.51584,0.701691,0.25538,-0.0120944,-0.415176,-10.2106,-1.09167,-0.312959,0.194182,-0.316482,-0.237134,-10.4936,-1.65757,0.118783,-0.298325,0.332536,1.54408,9.52104,-0.955554,0.28398,-0.538628,0.0172163,3.55503,8.92911,-2.85422,-0.473318,-1.49599,0.0316503
0.033,8.34942,-0.624105,5.04804,-0.467053,0.257492,0.0153936,4.24897,2.75135,8.51867,-0.04612,-0.0490466,-0.0388248,-0.569475,-6.6403,3.49391,0.648529,0.22668,0.0511131,-0.407905,-10.1568,-1.12422,-0.315504,0.182391,-0.32129,-0.308153,-10.4387,-1.62082,0.135616,-0.301439,0.342971,1.6306,9.50787,-1.02103,0.236601,-0.483951,-0.00294979,4.01122,8.88265,-2.88228,-0.463259,-1.44883,0.0175199
0.034,8.32513,-0.615076,5.02151,-0.46687,0.269495,0.00748201,4.26957,2.69923,8.52883,-0.0455065,-0.0548161,-0.0427947,-0.598447,-6.33119,3.47199,0.595367,0.19798,0.114321,-0.400635,-10.1031,-1.15676,-0.318049,0.170601,-0.326099,-0.379173,-10.3839,-1.58406,0.15245,-0.304554,0.353407,1.71712,9.49469,-1.0865,0.189222,-0.429273,-0.0231159,4.46741,8.83619,-2.91034,-0.4532,-1.40168,0.00338949
0.035,8.30083,-0.606047,4.99497,-0.466687,0.281498,-0.000429535,4.29018,2.6471,8.539,-0.044893,-0.0605857,-0.0467645,-0.627418,-6.02208,3.45006,0.542205,0.16928,0.177528,-0.393364,-10.0493,-1.18931,-0.320594,0.15881,-0.330907,-0.450193,-10.329,-1.54731,0.169283,-0.307668,0.363842,1.80364,9.48151,-1.15197,0.141843,-0.374595,-0.0432821,4.9236,8.78974,-2.9384,-0.443141,-1.35452,-0.0107409
0.036,8.27295,-0.606413,4.97924,-0.467544,0.291364,-0.00713546,4.31138,2.62725,8.53667,-0.0461328,-0.0658867,-0.050479,-0.718965,-5.65767,3.47135,0.500485,0.127536,0.226452,-0.383005,-10.0092,-1.22696,-0.322832,0.15114,-0.335548,-0.51391,-10.276,-1.51369,0.185321,-0.310574,0.373029,1.94758,9.48079,-1.21434,0.0963469,-0.330685,-0.060881,5.37882,8.7603,-2.94529,-0.435144,-1.30596,-0.0280056
0.037,8.24057,-0.618523,4.97702,-0.469702,0.298559,-0.0123344,4.33331,2.64773,8.51874,-0.0496894,-0.070602,-0.0538744,-0.888732,-5.22415,3.54668,0.473069,0.0694858,0.257522,-0.368786,-9.98611,-1.27099,-0.324685,0.148622,-0.339981,-0.5685,-10.2251,-1.48401,0.200366,-0.313218,0.380657,2.1633,9.49564,-1.27282,0.0532036,-0.300233,-0.0752711,5.83281,8.75215,-2.92574,-0.429725,-1.25566,-0.049188
0.038,8.2082,-0.630634,4.9748,-0.47186,0.305755,-0.0175333,4.35525,2.66821,8.5008,-0.0532459,-0.0753172,-0.0572698,-1.0585,-4.79062,3.62201,0.445653,0.0114361,0.288591,-0.354567,-9.96302,-1.31501,-0.326537,0.146103,-0.344414,-0.623091,-10.1742,-1.45433,0.215411,-0.315863,0.388285,2.37902,9.51048,-1.33131,0.0100602,-0.269781,-0.0896611,6.2868,8.744,-2.90619,-0.424306,-1.20536,-0.0703704
0.039,8.17582,-0.642744,4.97258,-0.474018,0.31295,-0.0227322,4.37718,2.68869,8.48287,-0.0568025,-0.0800325,-0.0606651,-1.22827,-4.35709,3.69733,0.418237,-0.0466137,0.319661,-0.340348,-9.93994,-1.35904,-0.32839,0.143585,-0.348847,-0.677681,-10.1233,-1.42464,0.230456,-0.318508,0.395913,2.59475,9.52533,-1.38979,-0.0330831,-0.23933,-0.104051,6.74079,8.73585,-2.88664,-0.418886,-1.15505,-0.0915529
