Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.03,0.556564,10.7611,-1.18663,0.117361,-0.846796,-0.23332,0.287103,-9.7599,-1.20591,0.201423,-0.335139,0.368133,4.94457,1.68491,8.66833,-0.23626,0.211646,0.0174741,5.37249,-3.81176,9.14075,0.0135259,0.400676,0.0707426,8.46913,-1.34068,5.7498,0.0553895,-0.358572,-0.26345,4.94254,8.67191,-2.8723,0.255932,-0.132351,-0.157634,3.2258,-8.96896,-1.41997,0.144351,-0.532026,0.307384
0.031,0.670942,10.8982,-1.18162,0.125342,-0.832886,-0.239833,0.307055,-9.75204,-1.23967,0.201561,-0.328869,0.370457,4.93218,1.66941,8.67103,-0.234845,0.207556,0.0136087,5.577,-3.71448,9.05878,0.0395907,0.397597,0.0529096,8.48315,-1.31969,5.82231,0.0497633,-0.358866,-0.258424,4.74626,8.78476,-2.90766,0.252659,-0.123249,-0.1769,3.31503,-8.94951,-1.44122,0.142396,-0.528642,0.307271
0.032,0.873863,11.0434,-1.2165,0.133402,-0.814559,-0.249305,0.343008,-9.7586,-1.25781,0.202339,-0.320777,0.375701,4.91188,1.68131,8.67932,-0.232677,0.202349,0.0120857,5.79862,-3.57393,9.00423,0.0630386,0.396932,0.0373662,8.52401,-1.28718,5.84737,0.0410819,-0.356239,-0.25162,4.53944,8.9635,-2.86307,0.246788,-0.10608,-0.199783,3.40712,-8.92418,-1.47215,0.140669,-0.525582,0.307369
0.033,1.08785,11.1896,-1.25637,0.141471,-0.79568,-0.259147,0.38096,-9.76696,-1.27399,0.203197,-0.312458,0.381309,4.8906,1.69664,8.6883,-0.230416,0.197002,0.0108555,6.02238,-3.42796,8.9531,0.0861593,0.396569,0.022109,8.56823,-1.25323,5.8665,0.0320187,-0.353247,-0.244595,4.3313,9.15047,-2.80848,0.240592,-0.087903,-0.223117,3.49956,-8.89812,-1.50429,0.138969,-0.522562,0.307495
0.034,1.30184,11.3358,-1.29624,0.149541,-0.776801,-0.268989,0.418912,-9.77532,-1.29017,0.204054,-0.304139,0.386917,4.86931,1.71196,8.69728,-0.228154,0.191655,0.00962527,6.24614,-3.282,8.90197,0.10928,0.396206,0.00685182,8.61246,-1.21928,5.88562,0.0229555,-0.350255,-0.23757,4.12316,9.33745,-2.7539,0.234397,-0.069726,-0.246452,3.592,-8.87205,-1.53644,0.13727,-0.519543,0.30762
0.035,1.51583,11.482,-1.33611,0.157611,-0.757922,-0.278831,0.456865,-9.78368,-1.30635,0.204912,-0.295821,0.392525,4.84802,1.72729,8.70627,-0.225892,0.186307,0.00839505,6.46989,-3.13603,8.85084,0.132401,0.395843,-0.00840538,8.65668,-1.18533,5.90475,0.0138922,-0.347263,-0.230544,3.91502,9.52442,-2.69932,0.228201,-0.051549,-0.269786,3.68445,-8.84599,-1.56858,0.13557,-0.516523,0.307745
0.036,1.74239,11.6179,-1.38554,0.165499,-0.736396,-0.288884,0.478524,-9.79449,-1.3219,0.205768,-0.287761,0.398155,4.8308,1.74984,8.71273,-0.223197,0.182081,0.00726585,6.63571,-2.95807,8.82696,0.149934,0.395423,-0.0213616,8.68081,-1.1523,5.92728,0.00342353,-0.341624,-0.224996,3.7576,9.73251,-2.60467,0.222769,-0.0350451,-0.292105,3.77747,-8.81544,-1.60596,0.133833,-0.513554,0.307585
0.037,1.98468,11.7409,-1.4469,0.173161,-0.711563,-0.299202,0.479817,-9.80837,-1.33667,0.20662,-0.280025,0.403812,4.81867,1.78142,8.71605,-0.219959,0.179256,0.00626292,6.7291,-2.74011,8.83715,0.160482,0.394934,-0.0314416,8.67984,-1.1204,5.95404,-0.00880197,-0.332675,-0.221295,3.66358,9.967,-2.45993,0.218291,-0.0206327,-0.313155,3.87122,-8.77928,-1.64989,0.13205,-0.510648,0.307069
0.038,2.22696,11.8639,-1.50827,0.180822,-0.68673,-0.30952,0.48111,-9.82224,-1.35143,0.207472,-0.272289,0.409469,4.80653,1.813,8.71937,-0.216721,0.176431,0.00525998,6.82249,-2.52214,8.84734,0.17103,0.394444,-0.0415216,8.67886,-1.0885,5.98081,-0.0210275,-0.323727,-0.217594,3.56955,10.2015,-2.31519,0.213814,-0.00622033,-0.334205,3.96497,-8.74312,-1.69382,0.130267,-0.507742,0.306553
0.039,2.46924,11.9868,-1.56964,0.188484,-0.661897,-0.319837,0.482403,-9.83611,-1.36619,0.208325,-0.264553,0.415126,4.79439,1.84459,8.72269,-0.213483,0.173606,0.00425705,6.91587,-2.30418,8.85753,0.181578,0.393954,-0.0516016,8.67789,-1.05661,6.00757,-0.033253,-0.314778,-0.213894,3.47552,10.436,-2.17046,0.209336,0.00819207,-0.355254,4.05872,-8.70697,-1.73774,0.128485,-0.504836,0.306037
