Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.035,9.45428,1.48982,2.09331,-0.0147804,-0.0299837,0.00877559,-1.08764,-9.76809,-0.932353,-0.049459,0.0335064,0.0145876,-1.76174,9.5193,-0.734854,0.00303338,0.0122166,-0.011439,5.0048,-1.15053,8.22394,-0.0160424,0.00777748,-0.00104709,-1.151,9.73026,-1.14645,-0.0213358,0.0350877,0.00650534,4.52077,1.58848,8.81382,-0.0157657,-0.00193785,0.0102875,-2.71868,-9.63104,0.212667,-0.0271589,-0.000498107,-0.01503
0.036,9.45122,1.48907,2.09398,-0.0146572,-0.0295767,0.0088769,-1.08958,-9.7669,-0.932347,-0.0495197,0.03353,0.0145935,-1.76075,9.51791,-0.734445,0.00292438,0.012471,-0.011331,5.0043,-1.15002,8.2221,-0.0160495,0.00790953,-0.000964577,-1.15195,9.72857,-1.14642,-0.0212254,0.0352905,0.00641075,4.52079,1.58841,8.81267,-0.0157312,-0.00193469,0.0102416,-2.72029,-9.62926,0.211556,-0.0271615,-0.000793092,-0.0151169
0.037,9.44835,1.48842,2.09474,-0.0145395,-0.0291596,0.00897727,-1.09159,-9.7657,-0.932382,-0.0495795,0.0335471,0.0145971,-1.7598,9.51673,-0.734109,0.00283134,0.0127237,-0.0112326,5.00379,-1.14954,8.22031,-0.0160658,0.00804723,-0.000878078,-1.15284,9.72695,-1.14637,-0.0211114,0.0355168,0.00631279,4.52079,1.58842,8.81145,-0.0156939,-0.00193656,0.0101967,-2.72191,-9.62751,0.210403,-0.0271661,-0.00108735,-0.0151998
0.038,9.44567,1.48783,2.09558,-0.014425,-0.028732,0.00907767,-1.09367,-9.76452,-0.932441,-0.0496369,0.0335556,0.0145976,-1.75891,9.51574,-0.73382,0.00275411,0.0129747,-0.0111406,5.00329,-1.1491,8.21856,-0.0160933,0.0081888,-0.000788297,-1.15367,9.7254,-1.1463,-0.0209941,0.0357635,0.00620892,4.52074,1.58849,8.81017,-0.0156523,-0.00194383,0.0101526,-2.72361,-9.62578,0.209213,-0.0271738,-0.00138188,-0.0152804
0.039,9.44317,1.48731,2.09646,-0.014311,-0.0282932,0.00917976,-1.09583,-9.76336,-0.932504,-0.04969,0.0335538,0.0145942,-1.75811,9.51492,-0.733557,0.00269237,0.0132238,-0.0110507,5.00281,-1.14874,8.21688,-0.0161339,0.00833205,-0.000696267,-1.15447,9.72392,-1.14622,-0.0208735,0.0360268,0.00609654,4.52061,1.58858,8.80886,-0.0156054,-0.00195657,0.0101092,-2.72544,-9.62406,0.207989,-0.0271861,-0.00167825,-0.0153611
0.04,9.44085,1.48681,2.09734,-0.0141949,-0.0278425,0.00928524,-1.09807,-9.76224,-0.932548,-0.0497372,0.0335397,0.0145858,-1.75742,9.51425,-0.733298,0.00264585,0.013471,-0.0109586,5.0024,-1.14849,8.21528,-0.0161898,0.00847478,-0.000603019,-1.15528,9.72251,-1.14614,-0.0207497,0.036303,0.00597306,4.52038,1.58868,8.80754,-0.0155518,-0.00197487,0.0100663,-2.72747,-9.62232,0.206729,-0.0272046,-0.00197804,-0.0154441
0.041,9.4387,1.48631,2.09821,-0.0140751,-0.0273794,0.00939433,-1.10042,-9.76117,-0.932552,-0.0497771,0.0335118,0.0145712,-1.75686,9.5137,-0.733029,0.00261354,0.0137165,-0.0108612,5.00204,-1.14837,8.21375,-0.0162615,0.00861523,-0.000509693,-1.15611,9.72117,-1.14605,-0.0206229,0.0365894,0.00583707,4.52002,1.58875,8.80621,-0.015491,-0.00199835,0.0100242,-2.72974,-9.62059,0.205436,-0.0272305,-0.00228259,-0.0155315
0.042,9.43671,1.48575,2.09906,-0.0139523,-0.026904,0.00950438,-1.10284,-9.76015,-0.932505,-0.0498093,0.0334698,0.0145493,-1.75639,9.51324,-0.73275,0.00259301,0.0139612,-0.0107576,5.00172,-1.14835,8.21228,-0.0163465,0.00875256,-0.000417659,-1.15697,9.7199,-1.14594,-0.0204929,0.0368855,0.00568956,4.51956,1.58877,8.80488,-0.0154238,-0.00202576,0.00998365,-2.73225,-9.61889,0.204111,-0.0272639,-0.00259277,-0.0156251
0.043,9.43485,1.48505,2.09991,-0.0138282,-0.0264167,0.00961123,-1.10532,-9.75919,-0.932396,-0.0498339,0.0334139,0.014519,-1.75596,9.51285,-0.732471,0.0025811,0.0142064,-0.0106479,5.00142,-1.14839,8.21084,-0.0164406,0.00888636,-0.000328403,-1.15787,9.7187,-1.14579,-0.0203599,0.0371921,0.00553268,4.51904,1.58875,8.80355,-0.0153516,-0.00205537,0.00994584,-2.73497,-9.6173,0.20276,-0.0273044,-0.00290921,-0.0157264
0.044,9.43309,1.48415,2.10075,-0.0137048,-0.0259179,0.00971075,-1.10783,-9.7583,-0.932216,-0.0498509,0.0333444,0.0144789,-1.75552,9.5125,-0.7322,0.00257467,0.0144532,-0.0105322,5.00109,-1.14847,8.2094,-0.0165398,0.00901621,-0.000243418,-1.15881,9.71759,-1.14557,-0.0202237,0.0375099,0.00536859,4.5185,1.58867,8.80222,-0.0152761,-0.00208548,0.00991191,-2.73786,-9.61586,0.201386,-0.0273516,-0.00323253,-0.0158372
