Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.032,-4.44628,8.50678,-2.1345,-0.26642,-0.317962,-0.106193,2.40984,-9.71974,-1.15292,-0.0584914,0.228758,0.0582999,0.555691,9.35591,-2.71263,-0.0761065,0.0922017,-0.0976503,3.71512,-8.78464,-3.02014,-0.180218,0.162154,0.212845,4.94892,-1.75854,8.06522,-0.00964258,-0.0156875,0.041677,3.47055,1.62254,9.24464,0.0659754,0.143729,0.16829,8.94113,-0.0301505,3.62486,-0.303971,-0.130201,0.124533
0.033,-4.45432,8.49856,-2.11117,-0.273299,-0.320008,-0.104431,2.28439,-9.74834,-1.24377,-0.0533965,0.212504,0.0512591,0.518053,9.39023,-2.70993,-0.0776265,0.0930672,-0.096898,3.66939,-8.82038,-3.00717,-0.179689,0.151674,0.21346,4.98166,-1.75902,8.07548,-0.00741185,-0.0137331,0.0379402,3.4972,1.60828,9.23905,0.0603689,0.145331,0.175229,8.94451,-0.0188731,3.63864,-0.306605,-0.133847,0.119932
0.034,-4.46237,8.49034,-2.08784,-0.280177,-0.322054,-0.102668,2.15895,-9.77695,-1.33462,-0.0483015,0.196249,0.0442183,0.480415,9.42455,-2.70724,-0.0791465,0.0939327,-0.0961457,3.62367,-8.85611,-2.9942,-0.179161,0.141194,0.214076,5.01439,-1.7595,8.08574,-0.00518111,-0.0117786,0.0342034,3.52385,1.59402,9.23345,0.0547624,0.146934,0.182168,8.94789,-0.00759567,3.65242,-0.309239,-0.137493,0.115332
0.035,-4.47041,8.48212,-2.06451,-0.287056,-0.324099,-0.100906,2.03351,-9.80555,-1.42548,-0.0432066,0.179995,0.0371775,0.442777,9.45887,-2.70454,-0.0806666,0.0947981,-0.0953933,3.57794,-8.89184,-2.98123,-0.178632,0.130713,0.214692,5.04713,-1.75998,8.09599,-0.00295037,-0.00982412,0.0304666,3.55049,1.57977,9.22786,0.049156,0.148537,0.189106,8.95127,0.00368173,3.66621,-0.311874,-0.141139,0.110731
0.036,-4.46973,8.47314,-2.04283,-0.292615,-0.326781,-0.0988201,1.92549,-9.80768,-1.49942,-0.0402066,0.168307,0.0311895,0.410054,9.46682,-2.69942,-0.0819328,0.0949767,-0.0947241,3.53507,-8.93248,-2.96321,-0.177891,0.121862,0.215676,5.06879,-1.7525,8.10302,0.000433651,-0.00709459,0.0273299,3.60559,1.56882,9.21542,0.0423878,0.150368,0.196821,8.9488,0.0159874,3.66226,-0.314833,-0.14479,0.106277
0.037,-4.45815,8.46321,-2.02319,-0.296527,-0.330257,-0.0963308,1.83924,-9.77673,-1.55222,-0.0398253,0.162329,0.0265175,0.383475,9.4418,-2.69126,-0.0828818,0.0942967,-0.0941589,3.49578,-8.97927,-2.93887,-0.176885,0.115047,0.217121,5.07662,-1.73508,8.10601,0.00525928,-0.00339623,0.0249431,3.69626,1.56199,9.19444,0.0341676,0.152486,0.205507,8.93901,0.0295783,3.63614,-0.318198,-0.148448,0.102004
0.038,-4.44657,8.45328,-2.00356,-0.300438,-0.333733,-0.0938414,1.753,-9.74578,-1.60501,-0.0394441,0.156351,0.0218455,0.356896,9.41678,-2.68311,-0.0838308,0.0936166,-0.0935937,3.45648,-9.02605,-2.91454,-0.175879,0.108232,0.218565,5.08444,-1.71765,8.109,0.0100849,0.000302135,0.0225563,3.78692,1.55517,9.17345,0.0259474,0.154603,0.214192,8.92921,0.0431693,3.61002,-0.321563,-0.152106,0.0977321
0.039,-4.43498,8.44334,-1.98392,-0.30435,-0.337209,-0.0913521,1.66676,-9.71482,-1.65781,-0.0390628,0.150373,0.0171735,0.330316,9.39176,-2.67495,-0.0847798,0.0929366,-0.0930284,3.41719,-9.07283,-2.8902,-0.174873,0.101417,0.22001,5.09227,-1.70022,8.11199,0.0149105,0.0040005,0.0201695,3.87758,1.54834,9.15246,0.0177271,0.15672,0.222878,8.91942,0.0567602,3.58391,-0.324928,-0.155764,0.0934597
0.04,-4.4234,8.43341,-1.96429,-0.308262,-0.340685,-0.0888628,1.58052,-9.68387,-1.71061,-0.0386815,0.144395,0.0125014,0.303737,9.36674,-2.6668,-0.0857288,0.0922565,-0.0924632,3.37789,-9.11961,-2.86587,-0.173867,0.0946019,0.221454,5.10009,-1.6828,8.11498,0.0197362,0.00769886,0.0177827,3.96825,1.54152,9.13148,0.00950691,0.158838,0.231563,8.90962,0.0703512,3.55779,-0.328293,-0.159422,0.0891874
0.041,-4.42385,8.41584,-1.94867,-0.311773,-0.346401,-0.083657,1.48874,-9.70171,-1.76212,-0.0367611,0.145541,0.00923198,0.319334,9.35777,-2.68203,-0.0870999,0.0914924,-0.0896198,3.31266,-9.13711,-2.82176,-0.172178,0.0864685,0.223189,5.08014,-1.69358,8.1012,0.022813,0.00827723,0.0159278,4.02231,1.54576,9.11365,0.00475701,0.159522,0.241879,8.94232,0.0821106,3.52989,-0.327453,-0.164095,0.0846447
