Time,RTibialisAnterior,RSoleus,LGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,LVastusLateralis,LGluteusMaximus,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,RGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris
0.069,0.0577008,0.0486731,0.0539716,0.0575851,0.0544864,0.0386551,0.0671164,0.0712363,-0.0231497,0.0586234,0.0554034,0.0560703,0.049317,0.0410715,0.0554163,0.0596814
0.07,0.0888287,0.027616,0.0625165,0.0588058,0.0502139,0.0212601,0.0744406,0.0571982,0.0183542,0.0351248,0.0526569,0.0551547,0.0316168,0.0535837,0.056637,0.0511365
0.071,0.0522076,0.0483679,0.0698407,0.0743698,0.0392276,0.031636,0.0695578,0.0642172,0.0622995,0.0317679,0.05815,0.057291,0.0462653,0.0386301,0.0441248,0.0535779
0.072,0.0503766,0.0541663,0.0612958,0.052092,0.0477725,0.0258377,0.0512473,0.0654379,0.0738962,0.0314627,0.0557086,0.0615634,0.0529791,0.0526682,0.0371057,0.0529675
0.073,0.0604474,0.0334143,0.0612958,0.0444626,0.0639468,0.0105789,0.0448386,0.0590292,0.0528391,0.040618,0.0715778,0.0640048,0.0651862,0.0599924,0.034054,0.0636487
0.074,0.0628888,0.0459265,0.063432,0.0441574,0.0587589,0.00508575,0.0655905,0.0745932,0.0507028,0.0516043,0.0499103,0.053934,0.0587775,0.0578561,0.0496179,0.064259
0.075,0.0479352,0.0459265,0.0652631,0.0551437,0.057233,0.00142365,0.0585715,0.0486533,0.0424631,0.0393973,0.0422809,0.048746,0.0447394,0.0548044,0.0508386,0.052052
0.076,0.0604474,0.0367712,0.0548871,0.0505661,0.0502139,0.0182083,0.054299,0.0617758,0.0815256,0.042449,0.0383136,0.0447787,0.0419928,0.0596872,0.0670129,0.0615125
0.077,0.0461041,0.0492834,0.053056,0.0392746,0.0438052,0.0386551,0.0613181,0.0651328,0.102888,0.058013,0.040755,0.0405063,0.0618292,0.0578561,0.0401575,0.0663953
0.078,0.052818,0.0447058,0.0631268,0.0527023,0.0505191,0.0127151,0.0469748,0.0504843,0.0827463,0.0427542,0.0502155,0.053934,0.0566412,0.0438181,0.0496179,0.0709729
0.079,0.0583112,0.0474524,0.0979169,0.0380539,0.0355655,-0.0043747,0.0390402,0.0593344,0.0809152,0.0610648,0.08409,0.0865878,0.0566412,0.049006,0.0709802,0.0697522
0.08,0.0567853,0.0544714,0.0637372,0.0569748,0.0523502,0.0105789,0.0365988,0.0575034,0.035444,0.0619803,0.0706622,0.0557651,0.0322272,0.057551,0.0465662,0.0593762
0.081,0.0665509,0.0556921,0.0548871,0.0548386,0.0435001,0.0169876,0.0253073,0.0654379,-0.00239777,0.0586234,0.0651691,0.0359287,0.0484015,0.0477853,0.0694543,0.052052
0.082,0.0586163,0.0505042,0.058244,0.0398849,0.0499088,0.0713089,0.0414816,0.0544516,0.00797821,0.0574026,0.0306842,0.0517978,0.0398566,0.0285593,0.051449,0.0630383
0.083,0.0439679,0.0428748,0.0600751,0.0566696,0.0517398,0.108846,0.04728,0.056893,0.0174387,0.0384817,0.0450275,0.0542392,0.0508429,0.0520578,0.0606042,0.0660901
0.084,0.0503766,0.0602698,0.0533612,0.0542282,0.0489932,0.14333,0.0436179,0.0666586,0.0452097,0.047637,0.0517413,0.0679721,0.0520636,0.036799,0.0639612,0.0328259
0.085,0.052818,0.050199,0.0631268,0.0462936,0.0547916,0.132344,0.0503317,0.0462119,0.0186594,0.0564871,0.0593707,0.0377597,0.0538947,0.0517526,0.0538904,0.0499158
0.086,0.0537335,0.0477576,0.051225,0.05728,0.0462466,0.138448,0.0668112,0.0495688,0.00492645,0.0403128,0.0554034,0.0368442,0.0484015,0.0505319,0.05328,0.0587659
0.087,0.0616681,0.0517249,0.0417645,0.0493454,0.0569278,0.100606,0.0417868,0.0642172,-0.0106375,0.0525198,0.0517413,0.0636996,0.0380255,0.052363,0.0529749,0.0819592
0.088,0.0592267,0.0529456,0.061601,0.046904,0.0569278,0.0844315,0.0234763,0.0513998,-0.0347464,0.0485526,0.0428912,0.0453891,0.044129,0.0581613,0.0483972,0.0679211
0.089,0.0522076,0.0483679,0.0658734,0.0292038,0.0410587,0.0813797,0.0311057,0.0617758,-0.0182669,0.0525198,0.0566241,0.0389804,0.0517584,0.0673166,0.0572473,0.0392346
0.09,0.0442731,0.0392126,0.0545819,0.0453781,0.0767642,0.0887039,0.0430075,0.0596396,0.00797821,0.0531302,0.047774,0.0551547,0.0438239,0.0413766,0.0599939,0.0505261
0.091,0.0418317,0.050199,0.0606854,0.0450729,0.0389224,0.109151,0.0390402,0.0654379,0.04582,0.0467215,0.0624225,0.0615634,0.0343634,0.0487009,0.041073,0.0615125
0.092,0.040611,0.0303625,0.0680096,0.0554489,0.0428897,0.067952,0.0494162,0.0645224,0.0485666,0.0491629,0.0676105,0.0490512,0.042298,0.0285593,0.0392419,0.067616
0.093,0.0512921,0.045011,0.063432,0.0465988,0.0377017,0.0224808,0.0280539,0.0617758,0.0464304,0.0369559,0.056319,0.0640048,0.066712,0.0468698,0.0593835,0.0465588
0.094,0.0503766,0.0437903,0.058244,0.0514816,0.0435001,0.0319412,0.0292746,0.0642172,0.0803049,0.0455008,0.0651691,0.0450839,0.0419928,0.0401559,0.0563318,0.0618176
0.095,0.0500714,0.0584387,0.0713666,0.0456833,0.0615054,0.0343826,0.0341574,0.0608603,0.0690134,0.0723563,0.0489947,0.0585117,0.0566412,0.0465646,0.0541956,0.0529675
0.096,0.0488507,0.0526404,0.0588544,0.0456833,0.0541812,0.0459793,0.0323264,0.0596396,0.108381,0.0482474,0.0419757,0.0459995,0.0374152,0.0432077,0.0630457,0.0480847
0.097,0.0470197,0.0517249,0.0631268,0.0423264,0.0425845,0.0865677,0.0350729,0.0541464,0.109297,0.0378714,0.0447223,0.0517978,0.0352789,0.0248972,0.0676233,0.0505261
