Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.03,-0.758682,-10.1971,0.414437,-0.0662053,-1.68935,-0.627348,7.9741,0.187281,5.13731,1.75646,0.411254,0.968386,-1.01954,9.31675,-2.43062,-0.176772,1.37217,-0.275683,0.887771,-9.91231,-1.57659,-0.445736,-1.04643,-0.582509,4.45411,0.0464725,8.59473,0.0670192,0.124442,-0.00316293,-1.01673,9.24643,-2.84306,-0.0572497,0.360816,-0.222799,5.36831,4.08084,7.72179,0.914372,0.658496,0.696199
0.031,-0.755332,-10.1619,0.422068,-0.062235,-1.69166,-0.62904,7.98534,0.182395,5.11012,1.76157,0.412187,0.973722,-1.00595,9.30139,-2.42605,-0.178585,1.37292,-0.276553,0.907172,-9.9234,-1.56936,-0.45134,-1.05405,-0.580083,4.44167,0.0783181,8.61209,0.0682698,0.125771,-0.00437415,-1.00849,9.23983,-2.83328,-0.0599396,0.363015,-0.223162,5.37692,4.03352,7.72542,0.901102,0.65863,0.705513
0.032,-0.727898,-10.1801,0.414054,-0.058105,-1.694,-0.630374,8.0185,0.194367,5.09583,1.77095,0.414553,0.977698,-1.01767,9.2865,-2.43292,-0.182077,1.37757,-0.279635,0.922117,-9.91882,-1.59517,-0.455924,-1.06135,-0.578021,4.44055,0.102981,8.61614,0.0687547,0.124986,-0.00357592,-1.01246,9.2306,-2.79435,-0.0609707,0.364643,-0.224256,5.33304,4.00444,7.68308,0.882103,0.654852,0.712195
0.033,-0.697455,-10.2049,0.404085,-0.0539549,-1.69633,-0.631663,8.0544,0.208446,5.08315,1.78086,0.417097,0.981503,-1.03257,9.27168,-2.44121,-0.18578,1.38271,-0.282994,0.936506,-9.91228,-1.62511,-0.460381,-1.06861,-0.576005,4.44084,0.126746,8.61852,0.0691438,0.123937,-0.00252651,-1.01794,9.22104,-2.75178,-0.0617946,0.3662,-0.225442,5.28259,3.97763,7.63499,0.862388,0.650585,0.718548
0.034,-0.667011,-10.2298,0.394115,-0.0498049,-1.69867,-0.632953,8.0903,0.222526,5.07047,1.79078,0.419642,0.985309,-1.04746,9.25686,-2.4495,-0.189482,1.38785,-0.286352,0.950895,-9.90574,-1.65505,-0.464838,-1.07587,-0.573988,4.44113,0.150511,8.6209,0.069533,0.122887,-0.00147709,-1.02343,9.21148,-2.70921,-0.0626184,0.367757,-0.226628,5.23215,3.95082,7.5869,0.842674,0.646318,0.724902
0.035,-0.636567,-10.2546,0.384145,-0.0456549,-1.70101,-0.634242,8.1262,0.236605,5.05779,1.80069,0.422186,0.989114,-1.06235,9.24203,-2.4578,-0.193185,1.39299,-0.289711,0.965284,-9.8992,-1.68499,-0.469295,-1.08313,-0.571972,4.44143,0.174277,8.62327,0.0699222,0.121838,-0.00042768,-1.02892,9.20192,-2.66664,-0.0634423,0.369314,-0.227814,5.18171,3.92402,7.53881,0.822959,0.642051,0.731255
0.036,-0.609739,-10.2751,0.370292,-0.0418847,-1.70302,-0.635495,8.16096,0.233813,5.04339,1.80977,0.424524,0.992839,-1.07454,9.24262,-2.45068,-0.195723,1.39699,-0.292844,0.973361,-9.89355,-1.71453,-0.474149,-1.09028,-0.570345,4.43265,0.192586,8.62411,0.0720961,0.122551,0.00107882,-1.04338,9.20684,-2.63739,-0.064192,0.370797,-0.228932,5.12738,3.91825,7.5049,0.806672,0.639187,0.739419
0.037,-0.587433,-10.2903,0.351583,-0.0385895,-1.70462,-0.636704,8.19428,0.209933,5.02683,1.81781,0.426602,0.996463,-1.08336,9.26247,-2.42429,-0.196807,1.39958,-0.295695,0.973547,-9.88899,-1.74357,-0.479499,-1.09729,-0.569205,4.41252,0.204076,8.62302,0.076501,0.125469,0.00315668,-1.06907,9.22985,-2.62479,-0.0648489,0.372187,-0.229965,5.06819,3.93878,7.48872,0.794668,0.638075,0.749846
0.038,-0.565126,-10.3055,0.332875,-0.0352943,-1.70622,-0.637913,8.2276,0.186052,5.01028,1.82585,0.428681,1.00009,-1.09218,9.28232,-2.39791,-0.197891,1.40216,-0.298546,0.973734,-9.88443,-1.77261,-0.484849,-1.10429,-0.568065,4.39239,0.215565,8.62193,0.0809059,0.128386,0.00523454,-1.09475,9.25287,-2.61218,-0.0655059,0.373577,-0.230997,5.00899,3.95931,7.47255,0.782665,0.636963,0.760272
0.039,-0.542819,-10.3206,0.314166,-0.0319991,-1.70783,-0.639122,8.26093,0.162171,4.99372,1.83388,0.43076,1.00371,-1.101,9.30217,-2.37153,-0.198975,1.40474,-0.301397,0.97392,-9.87988,-1.80165,-0.490199,-1.1113,-0.566925,4.37227,0.227055,8.62084,0.0853107,0.131303,0.0073124,-1.12043,9.27589,-2.59958,-0.0661628,0.374967,-0.23203,4.9498,3.97984,7.45638,0.770662,0.635852,0.770699
0.04,-0.520513,-10.3358,0.295458,-0.0287038,-1.70943,-0.64033,8.29426,0.138291,4.97717,1.84192,0.432839,1.00733,-1.10983,9.32203,-2.34514,-0.200059,1.40733,-0.304249,0.974107,-9.87532,-1.83069,-0.495549,-1.1183,-0.565785,4.35214,0.238545,8.61976,0.0897156,0.13422,0.00939026,-1.14612,9.29891,-2.58698,-0.0668198,0.376357,-0.233063,4.89061,4.00038,7.4402,0.758658,0.63474,0.781126
0.041,-0.522227,-10.3217,0.274042,-0.0239149,-1.71438,-0.642568,8.33978,0.157214,4.99776,1.85048,0.436338,1.01045,-1.10711,9.30748,-2.3551,-0.199287,1.4117,-0.306181,0.979148,-9.9012,-1.82763,-0.499349,-1.12825,-0.566339,4.34429,0.177279,8.62625,0.0889017,0.133639,0.00714469,-1.14995,9.31455,-2.58148,-0.0674971,0.376542,-0.234093,4.88384,4.07032,7.4665,0.764059,0.635324,0.791791
0.042,-0.523941,-10.3075,0.252626,-0.0191259,-1.71933,-0.644806,8.38531,0.176138,5.01834,1.85904,0.439838,1.01356,-1.1044,9.29293,-2.36507,-0.198514,1.41608,-0.308113,0.98419,-9.92707,-1.82458,-0.503149,-1.13819,-0.566894,4.33643,0.116014,8.63274,0.0880878,0.133058,0.00489912,-1.15379,9.33018,-2.57599,-0.0681743,0.376727,-0.235122,4.87708,4.14026,7.49279,0.76946,0.635909,0.802456
