Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
0.045,-1.00368,9.68658,-0.885471,0.057434,0.121175,-0.0334866,0.376389,9.59508,-1.65128,-0.0221809,0.0882611,-0.110475,0.563219,-9.89511,-0.809662,-0.00232807,-0.0259028,0.0769409,4.2059,-0.787299,8.74257,0.105669,0.0712563,-0.0452784,3.92957,1.53033,9.08894,-0.0233312,0.000101821,0.0277016,8.06146,-1.31925,5.61426,0.30216,-0.0736325,0.168235
0.046,-1.02317,9.68298,-0.874184,0.0558728,0.118122,-0.0346386,0.387694,9.59803,-1.66659,-0.0219544,0.0845005,-0.109961,0.558859,-9.92341,-0.825189,-0.00441838,-0.0282297,0.0774105,4.15738,-0.81708,8.73434,0.10609,0.0703191,-0.0449632,3.91096,1.52994,9.1166,-0.0239008,-0.00167774,0.0287039,8.07208,-1.36262,5.631,0.302951,-0.0686064,0.166094
0.047,-1.04267,9.67938,-0.862898,0.0543115,0.115069,-0.0357905,0.398999,9.60098,-1.68191,-0.0217279,0.0807399,-0.109448,0.554499,-9.95171,-0.840716,-0.0065087,-0.0305567,0.0778801,4.10885,-0.846861,8.7261,0.106511,0.0693819,-0.0446479,3.89234,1.52956,9.14427,-0.0244705,-0.00345731,0.0297063,8.08271,-1.40598,5.64774,0.303742,-0.0635803,0.163953
0.048,-1.06217,9.67578,-0.851612,0.0527503,0.112016,-0.0369425,0.410304,9.60394,-1.69722,-0.0215014,0.0769793,-0.108934,0.550139,-9.98001,-0.856242,-0.00859901,-0.0328837,0.0783497,4.06033,-0.876642,8.71786,0.106932,0.0684447,-0.0443327,3.87372,1.52918,9.17194,-0.0250401,-0.00523688,0.0307086,8.09333,-1.44935,5.66448,0.304533,-0.0585541,0.161812
0.049,-1.07964,9.67178,-0.844269,0.0513965,0.109098,-0.038287,0.417544,9.60787,-1.70945,-0.0214159,0.0733544,-0.108414,0.547441,-10.0057,-0.867231,-0.0106731,-0.0354057,0.0787418,4.0201,-0.902668,8.71073,0.107313,0.0675277,-0.0442559,3.85635,1.53049,9.19465,-0.0251539,-0.00695022,0.0317615,8.10932,-1.48846,5.68162,0.305327,-0.0538187,0.159697
0.05,-1.08096,9.66458,-0.868469,0.0517026,0.107267,-0.0411723,0.392265,9.61967,-1.69704,-0.022459,0.0708148,-0.107838,0.558038,-10.0106,-0.841916,-0.0126174,-0.0394885,0.0785138,4.04629,-0.89866,8.71243,0.107371,0.066772,-0.0460871,3.84893,1.54524,9.1777,-0.021621,-0.00813375,0.0332197,8.1682,-1.49353,5.70197,0.306143,-0.0514092,0.157784
0.051,-1.08227,9.65738,-0.892668,0.0520086,0.105437,-0.0440575,0.366986,9.63146,-1.68462,-0.0235022,0.0682752,-0.107263,0.568634,-10.0154,-0.816601,-0.0145617,-0.0435714,0.0782859,4.07247,-0.894652,8.71413,0.107429,0.0660163,-0.0479183,3.8415,1.55999,9.16075,-0.0180881,-0.00931729,0.0346779,8.22709,-1.4986,5.72231,0.306959,-0.0489996,0.15587
0.052,-1.08359,9.65018,-0.916867,0.0523147,0.103606,-0.0469428,0.341707,9.64326,-1.67221,-0.0245453,0.0657356,-0.106688,0.579231,-10.0203,-0.791286,-0.016506,-0.0476542,0.0780579,4.09865,-0.890643,8.71583,0.107487,0.0652606,-0.0497494,3.83408,1.57475,9.14381,-0.0145551,-0.0105008,0.0361361,8.28598,-1.50367,5.74266,0.307775,-0.0465901,0.153957
0.053,-1.0849,9.64299,-0.941066,0.0526208,0.101775,-0.049828,0.316428,9.65505,-1.6598,-0.0255884,0.063196,-0.106112,0.589828,-10.0251,-0.765971,-0.0184503,-0.051737,0.0778299,4.12483,-0.886635,8.71753,0.107546,0.0645049,-0.0515806,3.82666,1.5895,9.12686,-0.0110222,-0.0116844,0.0375943,8.34486,-1.50874,5.76301,0.308591,-0.0441805,0.152044
0.054,-1.09944,9.66818,-0.941033,0.0521266,0.102357,-0.0502135,0.302307,9.67064,-1.63776,-0.0268718,0.0623341,-0.104965,0.596245,-9.99874,-0.76238,-0.0195836,-0.0540824,0.0785466,4.12979,-0.860091,8.72092,0.106271,0.0634809,-0.0524937,3.83943,1.5891,9.12253,-0.0081575,-0.0142355,0.0396155,8.37556,-1.50727,5.78707,0.307825,-0.0420654,0.149391
0.055,-1.12059,9.70956,-0.928883,0.0512324,0.104145,-0.049349,0.293764,9.68813,-1.61091,-0.0282753,0.0623109,-0.103532,0.600574,-9.95671,-0.769651,-0.0203114,-0.0555592,0.0797355,4.12414,-0.82228,8.72516,0.104329,0.0623228,-0.0529477,3.86231,1.58113,9.12451,-0.00562687,-0.0174704,0.0419183,8.39216,-1.50253,5.81298,0.306269,-0.0400976,0.146369
