Time,RTibialisAnterior,RSoleus,LGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,LVastusLateralis,LGluteusMaximus,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,RGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris
0.069,0.0448834,0.0718665,0.0350507,0.0481247,0.0373965,0.0539139,-0.0674661,0.131661,-0.140337,0.270415,0.0114581,0.0621738,0.052674,0.0599924,0.0242883,0.132924
0.07,0.0689923,0.0529456,0.0213177,0.0441574,0.0181705,0.0557449,-0.0226053,0.151803,-0.0970023,0.277129,-0.0483563,0.0655307,0.0535895,0.0630441,0.0551111,0.136891
0.071,0.0696027,0.0648474,0.0463422,0.0456833,0.0224429,0.0572708,0.009133,0.136849,-0.0475638,0.280791,0.371566,0.0716342,0.0557257,0.0700632,0.0667078,0.168019
0.072,0.080589,0.0587439,0.0603803,0.0136398,0.0166446,0.0417068,0.0274435,0.139901,-0.0210135,0.254851,0.187545,0.0557651,0.0401617,0.0508371,0.0541956,0.187245
0.073,0.0760114,0.0718665,0.0368817,0.0282883,0.00871002,0.0615433,0.0445334,0.146615,0.0375803,0.290252,-0.0715497,0.02952,0.0551154,0.0548044,0.074032,0.200978
0.074,-0.0143207,0.0410437,0.0249799,0.0279831,0.0013858,0.0517776,0.0784079,0.159432,0.0558908,0.272552,0.0245807,0.0472202,0.0535895,0.0660959,0.0609094,0.197926
0.075,-0.0622333,0.0617957,0.0515302,0.0969528,0.00993073,0.0664261,0.123269,0.13868,0.0827463,0.255767,-0.0263837,0.0508823,0.049317,0.0563303,0.0786096,0.209218
0.076,-0.0353778,0.0324988,0.0469525,0.140898,0.0172549,0.0786331,0.129067,0.170418,0.0903757,0.258513,-0.23726,0.0792636,0.044129,0.0480905,0.0743372,0.183278
0.077,-0.0188983,0.0718665,0.0457318,0.128996,0.0132877,0.0652054,0.110451,0.149972,0.126386,0.275908,-0.10756,0.0994052,0.0438239,0.0352731,0.0633508,0.155812
0.078,0.0415265,0.0657629,0.0622113,0.114043,0.0224429,0.0481155,0.115029,0.158211,0.110822,0.274993,0.164046,0.125345,0.0462653,0.0371042,0.107601,0.137806
0.079,0.068382,0.055387,0.0725873,0.102751,0.00687897,0.0371292,0.0845114,0.165536,0.171247,0.266143,0.533614,0.0801791,0.0453497,0.0456491,0.0923425,0.13567
0.08,0.0509869,0.0617957,0.0368817,0.0942062,0.0227481,0.0417068,0.0854269,0.166146,0.16667,0.240508,0.28459,0.0383701,0.0392462,0.0609079,0.0938684,0.128956
0.081,0.0317609,0.0392126,0.0481732,0.0636887,0.0337344,0.0383499,0.0600974,0.17347,0.164228,0.236541,-0.179277,0.0289096,0.0563361,0.0444284,0.0944788,0.114308
0.082,0.0430524,0.0376868,0.0313886,0.0844406,0.0273257,0.0633743,0.0253073,0.183846,0.133405,0.241424,-0.170732,0.0362338,0.0447394,0.0432077,0.0801355,0.0959973
0.083,0.0436627,0.0498938,0.0652631,0.0597214,0.0462466,0.0441483,0.0121848,0.172249,0.0970895,0.212127,0.0462482,0.00998871,0.0407721,0.0544992,0.0819665,0.104542
0.084,0.092796,0.0556921,0.0591595,0.0560593,0.0236636,0.0511673,0.0256125,0.170113,0.0702341,0.185882,0.00352356,0.00388519,0.0444342,0.0313058,0.109738,0.0990491
0.085,0.10012,0.0550818,0.0463422,0.059111,0.019086,0.0557449,0.0295798,0.177132,0.0546701,0.175506,0.0169513,0.0234164,0.0407721,0.0453439,0.0834924,0.114918
