Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.036,-4.21532,3.71217,7.77523,-0.348835,0.135734,-0.121091,-5.44758,-15.6543,-2.32885,-0.264752,0.320599,-0.719742,1.56502,-10.4493,2.1917,0.0310012,-0.414775,0.645718,0.189629,9.52566,-1.58822,-0.0197427,-0.208297,-0.0428238,-12.3497,2.32843,7.74252,0.452502,-0.401819,0.353693,9.27152,0.345638,2.56722,-0.560912,0.480624,0.241129,0.354474,9.38641,-2.84008,0.0558507,-0.114988,-0.0159941
0.037,-4.24681,3.6493,7.87233,-0.346594,0.142969,-0.120908,-5.47976,-16.2018,-2.15852,-0.269466,0.301846,-0.673822,2.03537,-10.715,2.38549,0.0321896,-0.478057,0.671991,0.0960964,9.58213,-1.49498,-0.0220762,-0.220083,-0.0448024,-12.6382,2.32929,8.41065,0.428113,-0.375968,0.329017,9.40153,0.305979,2.65081,-0.562196,0.498579,0.227838,0.389772,9.40755,-2.91304,0.0506594,-0.1306,-0.0145412
0.038,-4.2783,3.58642,7.96943,-0.344352,0.150203,-0.120725,-5.51194,-16.7493,-1.9882,-0.27418,0.283093,-0.627903,2.50572,-10.9807,2.57929,0.0333779,-0.541339,0.698263,0.00256407,9.6386,-1.40173,-0.0244097,-0.231869,-0.0467811,-12.9268,2.33014,9.07877,0.403724,-0.350118,0.304342,9.53154,0.26632,2.7344,-0.56348,0.516534,0.214548,0.42507,9.42869,-2.986,0.0454681,-0.146212,-0.0130882
0.039,-4.30978,3.52354,8.06654,-0.342111,0.157438,-0.120542,-5.54412,-17.2968,-1.81787,-0.278895,0.26434,-0.581983,2.97607,-11.2463,2.77308,0.0345663,-0.604621,0.724535,-0.0909682,9.69507,-1.30849,-0.0267432,-0.243655,-0.0487598,-13.2153,2.331,9.7469,0.379335,-0.324267,0.279666,9.66155,0.226661,2.81798,-0.564764,0.534489,0.201257,0.460368,9.44983,-3.05896,0.0402768,-0.161824,-0.0116352
0.04,-4.34127,3.46067,8.16364,-0.339869,0.164672,-0.120358,-5.5763,-17.8443,-1.64755,-0.283609,0.245587,-0.536064,3.44642,-11.512,2.96688,0.0357546,-0.667903,0.750808,-0.184501,9.75154,-1.21525,-0.0290768,-0.255441,-0.0507384,-13.5038,2.33186,10.415,0.354946,-0.298417,0.254991,9.79156,0.187002,2.90157,-0.566048,0.552444,0.187966,0.495666,9.47097,-3.13193,0.0350855,-0.177436,-0.0101822
0.041,-4.42568,3.39205,8.18747,-0.337923,0.173864,-0.119397,-4.88432,-18.4165,-1.2368,-0.262121,0.184954,-0.497367,3.94973,-11.9113,3.02504,0.027608,-0.750952,0.796667,-0.279165,9.82061,-1.24167,-0.0300874,-0.262626,-0.0566995,-13.6677,1.76587,10.7881,0.277459,-0.287815,0.172858,9.95614,0.150467,3.07082,-0.566034,0.551982,0.172936,0.517635,9.47324,-3.23986,0.0309921,-0.194721,-0.00729524
0.042,-4.51008,3.32343,8.21129,-0.335977,0.183056,-0.118436,-4.19234,-18.9886,-0.826051,-0.240634,0.12432,-0.458671,4.45303,-12.3105,3.0832,0.0194615,-0.834002,0.842527,-0.373829,9.88968,-1.2681,-0.0310981,-0.269812,-0.0626606,-13.8317,1.19989,11.1611,0.199972,-0.277213,0.0907248,10.1207,0.113931,3.24007,-0.566019,0.551521,0.157907,0.539605,9.4755,-3.3478,0.0268988,-0.212005,-0.00440824
0.043,-4.59448,3.25481,8.23511,-0.33403,0.192248,-0.117475,-3.50036,-19.5607,-0.415302,-0.219147,0.0636869,-0.419974,4.95634,-12.7098,3.14136,0.0113149,-0.917051,0.888387,-0.468493,9.95874,-1.29453,-0.0321088,-0.276998,-0.0686216,-13.9956,0.633901,11.5341,0.122486,-0.266611,0.00859172,10.2853,0.0773947,3.40932,-0.566004,0.55106,0.142877,0.561575,9.47777,-3.45573,0.0228055,-0.229289,-0.00152125
0.044,-4.67889,3.1862,8.25894,-0.332084,0.201441,-0.116514,-2.80838,-20.1328,-0.00455238,-0.197659,0.00305346,-0.381278,5.45964,-13.109,3.19952,0.00316834,-1.0001,0.934247,-0.563158,10.0278,-1.32095,-0.0331194,-0.284184,-0.0745827,-14.1595,0.0679142,11.9071,0.0449993,-0.256009,-0.0735414,10.4499,0.0408588,3.57857,-0.56599,0.550598,0.127848,0.583544,9.48003,-3.56367,0.0187122,-0.246574,0.00136575
0.045,-4.76647,3.16373,8.24898,-0.334714,0.211031,-0.110734,-1.96247,-20.4813,0.319402,-0.169274,-0.0536326,-0.35721,5.94634,-13.5425,3.08177,-0.0119554,-1.08365,0.988943,-0.595574,10.083,-1.37798,-0.0345374,-0.288158,-0.0797516,-13.9364,-0.462684,12.1018,-0.0374452,-0.262608,-0.147976,10.5983,-0.0259314,3.76601,-0.563133,0.534389,0.11228,0.591847,9.46963,-3.66158,0.0153162,-0.264054,0.00502474
0.046,-4.8566,3.17819,8.21199,-0.341005,0.220941,-0.101098,-0.993404,-20.651,0.573922,-0.13537,-0.107161,-0.344844,6.41976,-14.0034,2.82329,-0.0326609,-1.16759,1.05071,-0.578192,10.1272,-1.45949,-0.0362813,-0.289563,-0.0842867,-13.4036,-0.964971,12.1538,-0.123856,-0.282968,-0.216251,10.7337,-0.116925,3.968,-0.558002,0.505581,0.0962803,0.589215,9.4491,-3.75148,0.0124781,-0.28169,0.00930132
0.047,-4.94673,3.19264,8.175,-0.347296,0.230851,-0.0914623,-0.0243418,-20.8206,0.828441,-0.101466,-0.160689,-0.332479,6.89317,-14.4642,2.56481,-0.0533664,-1.25154,1.11247,-0.56081,10.1714,-1.541,-0.0380252,-0.290967,-0.0888219,-12.8708,-1.46726,12.2058,-0.210267,-0.303328,-0.284527,10.8692,-0.207918,4.16998,-0.552872,0.476773,0.080281,0.586583,9.42857,-3.84138,0.00964002,-0.299326,0.0135779
0.048,-5.03686,3.2071,8.13801,-0.353586,0.240761,-0.0818265,0.944721,-20.9903,1.08296,-0.0675627,-0.214217,-0.320114,7.36659,-14.9251,2.30633,-0.074072,-1.33548,1.17424,-0.543427,10.2155,-1.62251,-0.0397691,-0.292371,-0.093357,-12.3379,-1.96954,12.2578,-0.296678,-0.323688,-0.352803,11.0047,-0.298912,4.37197,-0.547741,0.447965,0.0642817,0.583952,9.40804,-3.93128,0.00680192,-0.316962,0.0178545
0.049,-5.12321,3.23514,8.09125,-0.359783,0.250332,-0.0727801,1.8851,-21.0664,1.29942,-0.0357804,-0.262159,-0.311197,7.82755,-15.3789,2.02258,-0.0935834,-1.41443,1.23465,-0.526832,10.2559,-1.70772,-0.0412826,-0.293536,-0.0981199,-11.7042,-2.43342,12.2886,-0.380745,-0.345568,-0.411477,11.1354,-0.394581,4.57371,-0.542311,0.416196,0.0478756,0.576652,9.38432,-4.02054,0.00440083,-0.334378,0.0217499
0.05,-5.17934,3.37192,7.96634,-0.365227,0.257189,-0.0684487,2.59605,-20.394,1.21138,-0.0209699,-0.26541,-0.329871,8.18894,-15.7766,1.53665,-0.103543,-1.45335,1.28419,-0.516534,10.2664,-1.82253,-0.040953,-0.292785,-0.104704,-10.2636,-2.59,12.1492,-0.446064,-0.379607,-0.393335,11.2279,-0.527657,4.7734,-0.534481,0.360739,0.0282148,0.532006,9.33506,-4.10467,0.00549584,-0.350034,0.0225953
