Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.116,0.0366437,0.0465369,0.0396283,-0.0159622,0.00199615,0.127766,0.026528,-0.0297769,0.035444,0.0360403,0.0660846,0.0356235,-0.0159906,0.02978,0.0722009,0.0309949
0.117,0.0570905,0.0251746,0.0374921,-0.00192413,0.0282413,0.111287,0.0173727,-0.0197061,0.0525339,0.0134573,0.0450275,0.0328769,0.0178839,-0.00287384,0.0331384,-0.000743408
0.118,0.0577008,0.0260901,0.056413,0.0981735,-0.0196713,0.097554,0.0164572,-0.0309976,0.0381906,0.0241385,0.0404498,0.0707187,0.0203253,0.0450388,0.0438196,0.00139282
0.119,0.0522076,0.0218176,0.0405438,0.149443,0.0871402,0.113423,0.042092,-0.0261148,0.0574167,0.0320731,0.0483844,0.0163974,0.0795294,0.052363,0.0450403,-0.00135376
0.12,0.0592267,0.0297522,0.0805219,0.12686,0.142987,0.0893143,0.0826804,-0.036796,0.0589426,0.0348196,0.0648639,0.0588168,0.0908209,0.0413766,0.0581628,0.0169568
0.121,0.0705182,0.0541663,0.025285,0.0356125,0.0819522,0.131734,0.0414816,-0.021232,0.0348337,0.0671683,0.0596759,0.0490512,0.054505,0.0664011,0.0371057,0.045033
0.122,0.0674664,0.0352454,0.0588544,-0.00619659,0.0734073,0.0960281,0.0930563,-0.00749908,0.0626047,0.042449,0.0605914,0.0612582,0.0664069,0.0480905,0.0145227,0.0401501
0.123,0.0500714,0.0404334,0.0518353,-0.0129105,0.123761,0.0993851,0.0610129,-0.0288614,0.0464304,0.0455008,0.0624225,0.024332,0.0374152,0.0731149,0.0297815,0.0532727
0.124,0.0393903,0.0337195,0.0268109,-0.0437332,0.0605899,0.095723,0.0521628,-0.0392374,0.0503976,0.0378714,0.0422809,0.053934,0.0630499,0.0520578,0.0215417,0.0547986
0.125,0.0558698,0.0453162,0.0692303,-0.0473953,0.0459415,0.0844315,0.0756613,-0.0523599,0.0659616,0.0531302,0.0566241,0.0173129,0.0548102,0.0483957,0.0313074,0.0563245
0.126,0.0345074,0.0556921,0.0445111,-0.0107742,0.0547916,0.0951126,0.0555197,-0.0493082,0.0604684,0.0799857,0.035567,0.0362338,0.0453497,0.0554147,0.0279504,0.0557141
0.127,0.0454938,0.0431799,0.0637372,0.210173,0.081647,0.0996902,0.0719992,-0.064567,0.0479562,0.0348196,0.0520465,0.0316562,0.00659241,0.0371042,0.0294763,0.0834851
0.128,0.0515973,0.0160193,0.0030072,0.125945,0.031293,0.110677,0.059487,-0.054191,0.051008,0.0610648,0.0312946,0.0722446,0.026734,0.0740305,0.0474817,0.0703625
0.129,0.0430524,0.0453162,0.0396283,0.00509491,-0.0355405,0.131429,0.0845114,-0.0383218,0.0314767,0.0323782,0.0499103,0.0423373,0.03711,0.0447336,0.046261,0.0761609
0.13,0.0705182,-0.000155029,0.0414594,-0.0342728,-0.0700253,0.121358,0.0839011,-0.02642,0.0742014,0.0769339,0.045943,0.0475253,0.0584723,0.0578561,0.0517542,0.0584607
0.131,0.0552594,0.0324988,0.0750287,-0.0534988,-0.110003,0.122273,0.0655905,0.00592865,0.0513132,0.0647269,0.0499103,0.0484409,0.047486,0.0462595,0.05328,0.0877576
0.132,0.0686871,0.00594849,0.063432,-0.0132156,-0.0559872,0.105489,0.0466696,-0.0227579,0.0516183,0.0757132,0.05815,0.0212802,0.0535895,0.0590768,0.0575525,0.0667004
0.133,0.0442731,0.0440955,0.0826581,-0.013826,-0.0172299,0.0978592,0.0308005,-0.0148233,0.0442941,0.0351248,0.0520465,0.0374545,0.0337531,0.059382,0.0670129,0.0752454
0.134,0.0537335,0.0282263,0.0588544,-0.0464798,0.0172549,0.0609329,0.0173727,-0.0322183,0.0720651,0.0448904,0.0627277,0.00113861,0.0432135,0.0630441,0.0712854,0.0596814
0.135,0.0561749,0.0407385,0.03383,0.186675,0.0596744,0.0499466,0.0298849,-0.0120767,0.0311716,0.050994,0.045943,0.0234164,0.0227667,0.0187936,0.0355798,0.0691418
0.136,0.04763,0.0544714,0.00727966,0.0612473,0.0688296,0.0581863,-0.00429474,-0.0306924,0.0330026,0.0384817,0.0517413,0.0398959,0.0444342,0.0377145,0.061825,0.0563245
0.137,0.0515973,0.0416541,0.0646527,-0.0605179,0.0904971,0.0365189,0.0262228,-0.0105508,0.056196,0.0162039,0.0166461,0.06431,0.0480963,0.00872284,0.0450403,0.0673108
0.138,0.040611,0.0596594,0.0384076,-0.102327,0.000775452,0.0502518,0.0240866,-0.0172647,0.0442941,0.0473318,0.0456378,0.0810947,0.0575568,0.0505319,0.063656,0.0660901
0.139,0.0555646,0.0617957,0.058244,0.0151657,-0.00258148,0.0475052,0.0442282,-0.0273355,0.0629098,0.0360403,0.040755,0.105814,0.0590826,0.0319162,0.0578577,0.0734143
0.14,0.0506818,0.0855994,0.0704511,0.0118088,0.0126773,0.0572708,0.0451437,-0.00749908,0.0778635,0.0360403,0.0773761,0.121378,0.0429083,0.0380197,0.0499231,0.0898938
0.141,0.0396954,0.057218,0.0640424,0.1705,0.13078,0.042012,0.0433127,-0.0297769,0.0729806,0.0345145,0.0523517,0.0823154,0.0676276,0.0398508,0.0795251,0.0786023
0.142,0.0558698,0.0569128,0.0268109,0.276701,0.213178,0.0441483,0.0451437,0.00135101,0.0516183,0.0296317,0.0663898,0.081705,0.0416876,0.0395456,0.0609094,0.10088
0.143,0.0659406,0.0456213,0.0332196,0.358183,0.248883,0.0487259,0.0308005,-0.0313028,0.0525339,0.0326834,0.0447223,0.0615634,0.0737311,0.0252023,0.0526697,0.0593762
0.144,0.0589215,0.0367712,0.0411542,0.108855,0.105451,0.0218704,0.0308005,-0.0276407,0.0531442,0.019866,0.0483844,0.0450839,0.054505,0.0255075,0.0612146,0.0612073
0.145,0.0592267,0.0349402,0.0326093,0.0661301,0.0727969,0.0371292,0.0167624,0.00470795,0.043989,0.050994,0.0261066,0.0350131,0.0273444,0.0670114,0.0633508,0.0508313
0.146,0.0418317,0.00869507,0.0365765,0.0484299,0.0789004,0.0117996,0.087258,-0.0398477,0.0558908,0.0293265,0.052962,0.046915,0.0465704,0.0435129,0.0737268,0.0490002
0.147,0.0744855,0.0657629,0.0506146,0.104582,0.0801212,0.0267532,0.0784079,-0.00658356,0.0220163,0.0415335,0.0453326,0.0682773,0.0282599,0.0584665,0.0523645,0.0703625
