Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z
0.031,8.90347,-0.537705,4.58364,-0.675119,-0.23123,-0.45291,7.90757,10.8841,-2.11116,0.498912,-0.971523,-1.0027,2.15853,14.2442,-0.199095,-0.241058,1.0347,0.453571,-1.37,-10.1503,-1.01994,0.197898,-0.178095,0.27134,4.64177,2.14162,8.70095,0.00653657,-0.0485922,-0.0482436,-0.776394,-9.85579,-0.775033,0.140371,-0.08499,0.199345,3.399,-6.78609,8.65197,0.21242,0.428792,0.63863
0.032,8.92453,-0.51074,4.5791,-0.674101,-0.229571,-0.450879,7.9223,10.9763,-2.07225,0.486712,-0.923118,-0.996254,2.52784,14.2219,-0.141108,-0.240839,0.974725,0.49713,-1.33125,-10.138,-1.01153,0.195928,-0.188936,0.264035,4.65974,2.13848,8.70222,0.00740669,-0.0490857,-0.0491814,-0.777918,-9.88217,-0.781841,0.144479,-0.0800883,0.202469,3.01317,-6.85773,8.5845,0.201379,0.420583,0.601806
0.033,8.94561,-0.480438,4.5736,-0.67341,-0.227944,-0.448829,7.92481,11.0668,-2.03516,0.472447,-0.872952,-0.990034,2.86964,14.1876,-0.113769,-0.237863,0.912527,0.543172,-1.30231,-10.1259,-1.00464,0.193607,-0.200187,0.256768,4.68011,2.13364,8.70072,0.00794417,-0.0494893,-0.0499886,-0.778451,-9.91327,-0.786854,0.14885,-0.0751595,0.205785,2.64726,-6.89817,8.50224,0.191474,0.412043,0.564062
0.034,8.96669,-0.450136,4.5681,-0.672719,-0.226318,-0.446779,7.92731,11.1573,-1.99808,0.458182,-0.822785,-0.983815,3.21144,14.1534,-0.0864289,-0.234887,0.850329,0.589214,-1.27337,-10.1139,-0.997755,0.191285,-0.211438,0.249502,4.70049,2.12879,8.69922,0.00848165,-0.0498929,-0.0507958,-0.778984,-9.94438,-0.791866,0.153221,-0.0702307,0.209101,2.28135,-6.93861,8.41997,0.181569,0.403502,0.526318
0.035,8.98777,-0.419835,4.5626,-0.672028,-0.224691,-0.444729,7.92982,11.2478,-1.96099,0.443918,-0.772619,-0.977595,3.55323,14.1191,-0.0590891,-0.231911,0.788131,0.635256,-1.24444,-10.1018,-0.990869,0.188964,-0.222688,0.242235,4.72086,2.12395,8.69772,0.00901913,-0.0502965,-0.0516029,-0.779517,-9.97548,-0.796879,0.157593,-0.065302,0.212417,1.91545,-6.97905,8.3377,0.171663,0.394962,0.488574
0.036,8.99694,-0.385113,4.54654,-0.671097,-0.223224,-0.441625,7.86424,11.3432,-1.92532,0.42408,-0.715314,-0.974161,3.75297,14.0292,-0.142724,-0.218153,0.726468,0.679657,-1.1922,-10.077,-0.996903,0.185864,-0.233253,0.235185,4.7254,2.12347,8.69593,0.00986615,-0.0510864,-0.0522031,-0.778958,-9.99094,-0.800985,0.16096,-0.0609637,0.215066,1.71366,-6.96241,8.25193,0.172204,0.386804,0.451484
0.037,8.99123,-0.344867,4.51726,-0.669866,-0.221956,-0.437203,7.71354,11.4446,-1.89144,0.397276,-0.649085,-0.974209,3.77512,13.8698,-0.365078,-0.190916,0.665473,0.722006,-1.11083,-10.0364,-1.01909,0.181792,-0.242959,0.228406,4.71016,2.12842,8.69378,0.0111001,-0.0523591,-0.0525446,-0.777035,-9.98684,-0.803958,0.163072,-0.0573635,0.216882,1.71703,-6.87442,8.16177,0.185802,0.379125,0.415211
0.038,8.98552,-0.30462,4.48799,-0.668635,-0.220688,-0.432781,7.56285,11.5461,-1.85755,0.370471,-0.582856,-0.974257,3.79728,13.7104,-0.587431,-0.16368,0.604478,0.764355,-1.02946,-9.99572,-1.04127,0.177719,-0.252665,0.221627,4.69491,2.13337,8.69164,0.012334,-0.0536319,-0.052886,-0.775113,-9.98274,-0.806931,0.165185,-0.0537634,0.218697,1.72039,-6.78642,8.07161,0.199401,0.371446,0.378939
0.039,8.9798,-0.264374,4.45871,-0.667404,-0.21942,-0.428359,7.41216,11.6475,-1.82367,0.343667,-0.516628,-0.974305,3.81943,13.551,-0.809785,-0.136443,0.543483,0.806704,-0.94809,-9.95506,-1.06345,0.173647,-0.262371,0.214848,4.67966,2.13833,8.68949,0.013568,-0.0549046,-0.0532275,-0.77319,-9.97864,-0.809904,0.167297,-0.0501632,0.220513,1.72376,-6.69843,7.98145,0.212999,0.363767,0.342667
0.04,8.97409,-0.224128,4.42944,-0.666173,-0.218153,-0.423938,7.26147,11.7489,-1.78978,0.316863,-0.450399,-0.974353,3.84158,13.3915,-1.03214,-0.109206,0.482488,0.849053,-0.866722,-9.9144,-1.08564,0.169574,-0.272077,0.208069,4.66441,2.14328,8.68734,0.0148019,-0.0561774,-0.053569,-0.771267,-9.97454,-0.812877,0.169409,-0.046563,0.222329,1.72713,-6.61043,7.89129,0.226598,0.356087,0.306394
0.041,8.98916,-0.220504,4.46121,-0.663359,-0.216942,-0.420984,6.92379,11.8471,-1.79403,0.285385,-0.366662,-0.976664,3.56763,13.177,-1.2645,-0.0844641,0.436012,0.868256,-0.84097,-9.87203,-1.10954,0.164272,-0.280792,0.199631,4.65072,2.17161,8.70045,0.0167276,-0.0577588,-0.0538358,-0.761695,-9.97794,-0.824032,0.173664,-0.0449994,0.221618,2.00899,-6.5447,7.82622,0.247656,0.34891,0.275871
0.042,9.00422,-0.21688,4.49298,-0.660545,-0.215732,-0.418031,6.58612,11.9453,-1.79828,0.253908,-0.282926,-0.978975,3.29368,12.9624,-1.49685,-0.0597218,0.389536,0.887459,-0.815217,-9.82965,-1.13343,0.15897,-0.289507,0.191192,4.63702,2.19994,8.71356,0.0186534,-0.0593401,-0.0541026,-0.752124,-9.98134,-0.835187,0.177918,-0.0434358,0.220908,2.29086,-6.47896,7.76114,0.268715,0.341733,0.245347
0.043,9.01929,-0.213256,4.52476,-0.65773,-0.214521,-0.415077,6.24844,12.0435,-1.80253,0.22243,-0.199189,-0.981286,3.01973,12.7479,-1.72921,-0.0349796,0.343061,0.906662,-0.789465,-9.78728,-1.15733,0.153668,-0.298222,0.182754,4.62332,2.22827,8.72667,0.0205792,-0.0609215,-0.0543694,-0.742553,-9.98474,-0.846342,0.182173,-0.0418722,0.220197,2.57272,-6.41322,7.69606,0.289773,0.334556,0.214823
0.044,9.03436,-0.209632,4.55653,-0.654916,-0.213311,-0.412123,5.91077,12.1417,-1.80678,0.190952,-0.115453,-0.983597,2.74578,12.5333,-1.96157,-0.0102373,0.296585,0.925865,-0.763713,-9.74491,-1.18123,0.148365,-0.306937,0.174316,4.60962,2.2566,8.73978,0.0225049,-0.0625028,-0.0546362,-0.732981,-9.98813,-0.857497,0.186427,-0.0403086,0.219486,2.85459,-6.34749,7.63098,0.310831,0.327379,0.184299
0.045,9.05305,-0.200838,4.58977,-0.654873,-0.213102,-0.407849,5.52973,12.2381,-1.84861,0.160114,-0.025782,-0.98225,2.38006,12.3199,-2.09312,0.00891432,0.259206,0.932622,-0.738989,-9.71991,-1.20645,0.141719,-0.316564,0.16947,4.61143,2.2939,8.73818,0.0232369,-0.0647017,-0.0545403,-0.728779,-9.99805,-0.843043,0.190221,-0.0400233,0.220259,3.19403,-6.30582,7.59355,0.328107,0.321923,0.157345
0.046,9.07465,-0.187908,4.62418,-0.657045,-0.213693,-0.402517,5.114,12.3329,-1.92052,0.129788,0.0686355,-0.977978,1.94094,12.1074,-2.14403,0.0235935,0.229105,0.929423,-0.715087,-9.70881,-1.23274,0.133997,-0.326922,0.167498,4.62565,2.33836,8.72483,0.0230139,-0.0673947,-0.0541542,-0.728873,-10.0132,-0.808101,0.193647,-0.0407606,0.222218,3.57954,-6.28341,7.57823,0.342358,0.317844,0.133245
0.047,9.09625,-0.174978,4.65859,-0.659218,-0.214285,-0.397185,4.69827,12.4277,-1.99242,0.0994614,0.163053,-0.973706,1.50181,11.8949,-2.19495,0.0382727,0.199004,0.926223,-0.691185,-9.69771,-1.25902,0.126276,-0.33728,0.165526,4.63987,2.38282,8.71147,0.0227908,-0.0700877,-0.0537681,-0.728966,-10.0283,-0.77316,0.197073,-0.0414978,0.224177,3.96506,-6.26099,7.56291,0.356608,0.313765,0.109146
0.048,9.11785,-0.162048,4.693,-0.66139,-0.214877,-0.391854,4.28253,12.5226,-2.06433,0.0691352,0.257471,-0.969433,1.06269,11.6824,-2.24586,0.0529519,0.168903,0.923024,-0.667284,-9.68661,-1.28531,0.118554,-0.347638,0.163554,4.65409,2.42729,8.69812,0.0225678,-0.0727806,-0.053382,-0.72906,-10.0434,-0.738219,0.200499,-0.0422351,0.226136,4.35057,-6.23858,7.54759,0.370858,0.309687,0.0850468
0.049,9.13824,-0.149303,4.72408,-0.663172,-0.215662,-0.386462,3.86341,12.6083,-2.13764,0.0386351,0.350749,-0.96445,0.640059,11.4752,-2.27332,0.0661757,0.139052,0.918334,-0.643794,-9.67315,-1.31694,0.110916,-0.357236,0.161343,4.6655,2.46832,8.68624,0.0224627,-0.0752801,-0.0530663,-0.732121,-10.0598,-0.708519,0.204102,-0.0430327,0.228024,4.72832,-6.2102,7.53853,0.38364,0.305735,0.0615259
0.05,9.14889,-0.138036,4.72845,-0.66183,-0.217995,-0.380588,3.41711,12.6212,-2.22218,0.00674386,0.43491,-0.953787,0.349386,11.3102,-2.11313,0.0677564,0.111194,0.901724,-0.623597,-9.64089,-1.39139,0.103943,-0.360754,0.157221,4.65445,2.48185,8.68616,0.0233007,-0.076231,-0.0533136,-0.758916,-10.0865,-0.720752,0.209125,-0.0443131,0.229336,5.04398,-6.13408,7.57955,0.384671,0.302798,0.0426326
0.051,9.15954,-0.126769,4.73282,-0.660488,-0.220328,-0.374714,2.97082,12.6341,-2.30671,-0.0251474,0.519072,-0.943123,0.0587129,11.1452,-1.95295,0.0693371,0.0833355,0.885114,-0.6034,-9.60862,-1.46583,0.096971,-0.364273,0.153099,4.64339,2.49537,8.68609,0.0241387,-0.077182,-0.0535609,-0.785711,-10.1131,-0.732986,0.214147,-0.0455936,0.230648,5.35963,-6.05795,7.62057,0.385703,0.299862,0.0237393
