Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.031,4.9727,-2.24526,7.99078,-0.0165545,-0.00234364,0.00558277,-0.0401779,9.66591,-0.984212,-0.0493683,0.02736,-0.027326,-0.584822,9.50123,1.15924,-0.0219769,-0.102914,-0.0132142,4.78514,1.46289,8.68989,-0.0092718,0.00489915,0.0072297,-1.54663,-9.7001,-1.19375,-0.0481604,0.00114593,0.0296165,9.55831,-0.865589,2.3232,-0.0369668,0.00544315,-0.0198857,0.016986,-9.81271,-1.5712,-0.0770347,0.0334141,0.0173344
0.032,4.97152,-2.23715,7.98942,-0.0167659,-0.00199252,0.00497141,-0.0317872,9.67021,-0.970116,-0.0494021,0.0291343,-0.0278536,-0.568876,9.48981,1.14433,-0.021822,-0.0997236,-0.0128183,4.78214,1.45575,8.68736,-0.00832163,0.0036571,0.00652769,-1.53364,-9.68326,-1.19661,-0.047565,0.00130547,0.0280896,9.54382,-0.857965,2.34373,-0.0380797,0.005191,-0.0176287,0.00663127,-9.82734,-1.55768,-0.0781347,0.0342825,0.0174184
0.033,4.97212,-2.22968,7.98783,-0.0169085,-0.00156303,0.00419999,-0.0227082,9.67612,-0.953381,-0.0492244,0.0310625,-0.0285101,-0.550262,9.47673,1.12744,-0.0216556,-0.0966159,-0.0124492,4.77925,1.44706,8.68299,-0.00731254,0.00229596,0.00569057,-1.52151,-9.66349,-1.20066,-0.0469313,0.0012924,0.0263715,9.52623,-0.845442,2.36927,-0.0395281,0.00494666,-0.0149774,-0.00741506,-9.84465,-1.54228,-0.0793926,0.0352674,0.0174031
0.034,4.97272,-2.22221,7.98623,-0.017051,-0.00113354,0.00342858,-0.0136291,9.68204,-0.936645,-0.0490467,0.0329908,-0.0291666,-0.531649,9.46365,1.11055,-0.0214891,-0.0935081,-0.01208,4.77637,1.43837,8.67862,-0.00630345,0.000934824,0.00485344,-1.50938,-9.64373,-1.20472,-0.0462976,0.00127932,0.0246534,9.50864,-0.832918,2.3948,-0.0409764,0.00470232,-0.0123261,-0.0214614,-9.86196,-1.52688,-0.0806505,0.0362524,0.0173878
0.035,4.97333,-2.21474,7.98464,-0.0171935,-0.000704047,0.00265716,-0.00455005,9.68795,-0.91991,-0.048869,0.0349191,-0.029823,-0.513036,9.45058,1.09367,-0.0213227,-0.0904004,-0.0117109,4.77349,1.42968,8.67426,-0.00529436,-0.000426312,0.00401632,-1.49725,-9.62396,-1.20877,-0.045664,0.00126625,0.0229354,9.49106,-0.820395,2.42034,-0.0424247,0.00445799,-0.00967483,-0.0355077,-9.87927,-1.51148,-0.0819085,0.0372374,0.0173726
0.036,4.9777,-2.21104,7.98351,-0.0174182,0.000171804,0.00287171,0.00106522,9.69066,-0.919901,-0.0480928,0.0357362,-0.029725,-0.500988,9.44304,1.08381,-0.020886,-0.0872028,-0.0113377,4.77076,1.41715,8.6661,-0.00498847,-0.00079389,0.00365081,-1.49782,-9.62623,-1.21709,-0.0445496,0.00150366,0.0213661,9.48723,-0.811177,2.42746,-0.0430681,0.0047255,-0.00853669,-0.047202,-9.886,-1.50128,-0.0827159,0.0377206,0.0177084
0.037,4.9868,-2.21204,7.98295,-0.0177456,0.0016056,0.00431871,0.00235075,9.68938,-0.9408,-0.0465684,0.0351643,-0.0286837,-0.497146,9.44243,1.08274,-0.0201115,-0.0838929,-0.0109593,4.76822,1.39984,8.65319,-0.0055616,8.05e-05,0.0038748,-1.51425,-9.65606,-1.23073,-0.0428342,0.00205419,0.019983,9.50059,-0.80609,2.41156,-0.0427055,0.00563284,-0.00928998,-0.0559563,-9.87951,-1.49756,-0.0829603,0.0375767,0.018483
0.038,4.99589,-2.21304,7.98239,-0.018073,0.0030394,0.00576571,0.00363629,9.68809,-0.961698,-0.045044,0.0345925,-0.0276425,-0.493305,9.44181,1.08166,-0.0193369,-0.080583,-0.0105809,4.76568,1.38252,8.64029,-0.00613473,0.000954846,0.0040988,-1.53069,-9.68588,-1.24437,-0.0411188,0.00260472,0.0185999,9.51396,-0.801003,2.39565,-0.0423429,0.00654017,-0.0100433,-0.0647106,-9.87301,-1.49383,-0.0832046,0.0374328,0.0192576
0.039,5.00499,-2.21404,7.98183,-0.0184003,0.00447319,0.0072127,0.00492183,9.68681,-0.982597,-0.0435196,0.0340207,-0.0266012,-0.489463,9.4412,1.08059,-0.0185623,-0.0772732,-0.0102025,4.76313,1.3652,8.62738,-0.00670786,0.00182921,0.0043228,-1.54712,-9.7157,-1.25802,-0.0394034,0.00315524,0.0172168,9.52732,-0.795916,2.37974,-0.0419802,0.00744751,-0.0107966,-0.0734649,-9.86651,-1.49011,-0.0834489,0.0372888,0.0200322
0.04,5.01409,-2.21504,7.98127,-0.0187277,0.00590699,0.0086597,0.00620736,9.68552,-1.0035,-0.0419952,0.0334488,-0.02556,-0.485621,9.44058,1.07952,-0.0177877,-0.0739633,-0.00982415,4.76059,1.34789,8.61448,-0.00728099,0.00270358,0.00454679,-1.56356,-9.74553,-1.27166,-0.037688,0.00370577,0.0158337,9.54069,-0.790829,2.36384,-0.0416176,0.00835484,-0.0115498,-0.0822192,-9.86002,-1.48639,-0.0836933,0.0371449,0.0208068
0.041,4.99706,-2.22674,7.97804,-0.0182498,0.0041381,0.00737527,0.00283738,9.68354,-1.00409,-0.041372,0.0355078,-0.02521,-0.512345,9.45342,1.09704,-0.0173624,-0.0709919,-0.00950736,4.77435,1.35526,8.6187,-0.0071051,0.00325531,0.0046838,-1.5583,-9.72852,-1.25718,-0.0387564,0.00323006,0.0166266,9.5603,-0.819196,2.34305,-0.0392485,0.00956725,-0.0101767,-0.0747604,-9.86269,-1.48857,-0.0852761,0.0395192,0.0190897
0.042,4.98004,-2.23844,7.9748,-0.0177719,0.00236921,0.00609084,-0.000532609,9.68156,-1.00469,-0.0407489,0.0375668,-0.02486,-0.539068,9.46625,1.11456,-0.016937,-0.0680204,-0.00919057,4.78811,1.36262,8.62293,-0.00692921,0.00380704,0.0048208,-1.55304,-9.71151,-1.2427,-0.0398248,0.00275435,0.0174194,9.5799,-0.847563,2.32226,-0.0368794,0.0107797,-0.00880357,-0.0673016,-9.86537,-1.49075,-0.0868589,0.0418934,0.0173726
0.043,4.96301,-2.25013,7.97156,-0.017294,0.000600316,0.00480641,-0.0039026,9.67958,-1.00529,-0.0401257,0.0396259,-0.0245101,-0.565791,9.47908,1.13208,-0.0165116,-0.065049,-0.00887379,4.80187,1.36999,8.62716,-0.00675333,0.00435877,0.00495781,-1.54778,-9.6945,-1.22822,-0.0408932,0.00227864,0.0182123,9.59951,-0.87593,2.30147,-0.0345104,0.0119921,-0.00743044,-0.0598428,-9.86804,-1.49293,-0.0884418,0.0442676,0.0156555
0.044,4.94599,-2.26183,7.96832,-0.0168161,-0.00116858,0.00352197,-0.00727258,9.6776,-1.00589,-0.0395026,0.0416849,-0.0241601,-0.592514,9.49192,1.1496,-0.0160862,-0.0620775,-0.008557,4.81563,1.37736,8.63139,-0.00657744,0.00491049,0.00509482,-1.54252,-9.6775,-1.21374,-0.0419616,0.00180294,0.0190051,9.61912,-0.904297,2.28068,-0.0321413,0.0132045,-0.0060573,-0.052384,-9.87072,-1.49511,-0.0900246,0.0466419,0.0139385
0.045,4.94168,-2.26028,7.97421,-0.0155497,-0.00159265,0.00314885,-0.0144442,9.66692,-1.00237,-0.0390885,0.0426,-0.0236533,-0.608163,9.50421,1.15546,-0.0164389,-0.059158,-0.00849752,4.83522,1.37969,8.63664,-0.0061406,0.00457117,0.00512251,-1.54677,-9.66273,-1.20796,-0.0421407,0.00219975,0.0199165,9.61368,-0.910031,2.27601,-0.0318612,0.0130899,-0.00609716,-0.0481611,-9.87043,-1.49335,-0.0906157,0.0480635,0.0137966
